threeday_yrmo,threeday_yr,year,dayofyear,vartemp2_C_0-4m
528,44,2015,131,11.5
529,45,2015,134,12.0
530,45,2015,134,12.0
531,45,2015,134,12.0
532,45,2015,134,12.0
533,45,2015,134,12.0
534,45,2015,134,12.0
535,45,2015,134,12.0
536,45,2015,134,12.0
537,45,2015,134,12.0
538,45,2015,134,12.0
539,45,2015,134,12.0
540,45,2015,134,12.0
541,46,2015,137,12.2
542,46,2015,137,12.2
543,46,2015,137,12.2
544,46,2015,137,12.2
545,46,2015,137,12.2
546,46,2015,137,12.2
547,46,2015,137,12.2
548,46,2015,137,12.2
549,46,2015,137,12.2
550,46,2015,137,12.2
551,46,2015,137,12.2
552,46,2015,137,12.2
553,47,2015,140,12.4
554,47,2015,140,12.4
555,47,2015,140,12.4
556,47,2015,140,12.4
557,47,2015,140,12.4
558,47,2015,140,12.4
559,47,2015,140,12.4
560,47,2015,140,12.4
561,47,2015,140,12.4
562,47,2015,140,12.4
563,47,2015,140,12.4
564,47,2015,140,12.4
565,48,2015,143,12.7
566,48,2015,143,12.7
567,48,2015,143,12.7
568,48,2015,143,12.7
569,48,2015,143,12.7
570,48,2015,143,12.7
571,48,2015,143,12.7
572,48,2015,143,12.7
573,48,2015,143,12.7
574,48,2015,143,12.7
575,48,2015,143,12.7
576,48,2015,143,12.7
577,49,2015,146,13.2
578,49,2015,146,13.2
579,49,2015,146,13.2
580,49,2015,146,13.2
581,49,2015,146,13.2
582,49,2015,146,13.2
583,49,2015,146,13.2
584,49,2015,146,13.2
585,49,2015,146,13.2
586,49,2015,146,13.2
587,49,2015,146,13.2
588,49,2015,146,13.2
589,50,2015,149,13.8
590,50,2015,149,13.8
591,50,2015,149,13.8
592,50,2015,149,13.8
593,50,2015,149,13.8
594,50,2015,149,13.8
595,50,2015,149,13.8
596,50,2015,149,13.8
597,50,2015,149,13.8
598,50,2015,149,13.8
599,50,2015,149,13.8
600,50,2015,149,13.8
601,51,2015,152,14.1
602,51,2015,152,14.1
603,51,2015,152,14.1
604,51,2015,152,14.1
605,51,2015,152,14.1
606,51,2015,152,14.1
607,51,2015,152,14.1
608,51,2015,152,14.1
609,51,2015,152,14.1
610,51,2015,152,14.1
611,51,2015,152,14.1
612,51,2015,152,14.1
613,52,2015,155,13.8
614,52,2015,155,13.8
615,52,2015,155,13.8
616,52,2015,155,13.8
617,52,2015,155,13.8
618,52,2015,155,13.8
619,52,2015,155,13.8
620,52,2015,155,13.8
621,52,2015,155,13.8
622,52,2015,155,13.8
623,52,2015,155,13.8
624,52,2015,155,13.8
625,53,2015,158,13.9
626,53,2015,158,13.9
627,53,2015,158,13.9
628,53,2015,158,13.9
629,53,2015,158,13.9
630,53,2015,158,13.9
631,53,2015,158,13.9
632,53,2015,158,13.9
633,53,2015,158,13.9
634,53,2015,158,13.9
635,53,2015,158,13.9
636,53,2015,158,13.9
637,54,2015,161,14.0
638,54,2015,161,14.0
639,54,2015,161,14.0
640,54,2015,161,14.0
641,54,2015,161,14.0
642,54,2015,161,14.0
643,54,2015,161,14.0
644,54,2015,161,14.0
645,54,2015,161,14.0
646,54,2015,161,14.0
647,54,2015,161,14.0
648,54,2015,161,14.0
649,55,2015,164,13.7
650,55,2015,164,13.7
651,55,2015,164,13.7
652,55,2015,164,13.7
653,55,2015,164,13.7
654,55,2015,164,13.7
655,55,2015,164,13.7
656,55,2015,164,13.7
657,55,2015,164,13.7
658,55,2015,164,13.7
659,55,2015,164,13.7
660,55,2015,164,13.7
661,56,2015,167,13.7
662,56,2015,167,13.7
663,56,2015,167,13.7
664,56,2015,167,13.7
665,56,2015,167,13.7
666,56,2015,167,13.7
667,56,2015,167,13.7
668,56,2015,167,13.7
669,56,2015,167,13.7
670,56,2015,167,13.7
671,56,2015,167,13.7
672,56,2015,167,13.7
673,57,2015,170,13.8
674,57,2015,170,13.8
675,57,2015,170,13.8
676,57,2015,170,13.8
677,57,2015,170,13.8
678,57,2015,170,13.8
679,57,2015,170,13.8
680,57,2015,170,13.8
681,57,2015,170,13.8
682,57,2015,170,13.8
683,57,2015,170,13.8
684,57,2015,170,13.8
685,58,2015,173,14.1
686,58,2015,173,14.1
687,58,2015,173,14.1
688,58,2015,173,14.1
689,58,2015,173,14.1
690,58,2015,173,14.1
691,58,2015,173,14.1
692,58,2015,173,14.1
693,58,2015,173,14.1
694,58,2015,173,14.1
695,58,2015,173,14.1
696,58,2015,173,14.1
697,59,2015,176,14.6
698,59,2015,176,14.6
699,59,2015,176,14.6
700,59,2015,176,14.6
701,59,2015,176,14.6
702,59,2015,176,14.6
703,59,2015,176,14.6
704,59,2015,176,14.6
705,59,2015,176,14.6
706,59,2015,176,14.6
707,59,2015,176,14.6
708,59,2015,176,14.6
709,60,2015,179,15.1
710,60,2015,179,15.1
711,60,2015,179,15.1
712,60,2015,179,15.1
713,60,2015,179,15.1
714,60,2015,179,15.1
715,60,2015,179,15.1
716,60,2015,179,15.1
717,60,2015,179,15.1
718,60,2015,179,15.1
719,60,2015,179,15.1
720,60,2015,179,15.1
721,61,2015,182,14.9
722,61,2015,182,14.9
723,61,2015,182,14.9
724,61,2015,182,14.9
725,61,2015,182,14.9
726,61,2015,182,14.9
727,61,2015,182,14.9
728,61,2015,182,14.9
729,61,2015,182,14.9
730,61,2015,182,14.9
731,61,2015,182,14.9
732,61,2015,182,14.9
733,62,2015,185,14.3
734,62,2015,185,14.3
735,62,2015,185,14.3
736,62,2015,185,14.3
737,62,2015,185,14.3
738,62,2015,185,14.3
739,62,2015,185,14.3
740,62,2015,185,14.3
741,62,2015,185,14.3
742,62,2015,185,14.3
743,62,2015,185,14.3
744,62,2015,185,14.3
745,63,2015,188,14.4
746,63,2015,188,14.4
747,63,2015,188,14.4
748,63,2015,188,14.4
749,63,2015,188,14.4
750,63,2015,188,14.4
751,63,2015,188,14.4
752,63,2015,188,14.4
753,63,2015,188,14.4
754,63,2015,188,14.4
755,63,2015,188,14.4
756,63,2015,188,14.4
757,64,2015,191,15.0
758,64,2015,191,15.0
759,64,2015,191,15.0
760,64,2015,191,15.0
761,64,2015,191,15.0
762,64,2015,191,15.0
763,64,2015,191,15.0
764,64,2015,191,15.0
765,64,2015,191,15.0
766,64,2015,191,15.0
767,64,2015,191,15.0
768,64,2015,191,15.0
769,65,2015,194,15.0
770,65,2015,194,15.0
771,65,2015,194,15.0
772,65,2015,194,15.0
773,65,2015,194,15.0
774,65,2015,194,15.0
775,65,2015,194,15.0
776,65,2015,194,15.0
777,65,2015,194,15.0
778,65,2015,194,15.0
779,65,2015,194,15.0
780,65,2015,194,15.0
781,66,2015,197,14.9
782,66,2015,197,14.9
783,66,2015,197,14.9
