threeday_yrmo,threeday_yr,year,dayofyear,Ksal
117,10,2015,29,0.198
118,10,2015,29,0.198
119,10,2015,29,0.198
120,10,2015,29,0.198
121,11,2015,32,0.195
122,11,2015,32,0.195
123,11,2015,32,0.195
124,11,2015,32,0.195
125,11,2015,32,0.195
126,11,2015,32,0.195
127,11,2015,32,0.195
128,11,2015,32,0.195
129,11,2015,32,0.195
130,11,2015,32,0.195
131,11,2015,32,0.195
132,11,2015,32,0.195
133,12,2015,35,0.196
134,12,2015,35,0.196
135,12,2015,35,0.196
136,12,2015,35,0.196
137,12,2015,35,0.196
138,12,2015,35,0.196
139,12,2015,35,0.196
140,12,2015,35,0.196
141,12,2015,35,0.196
142,12,2015,35,0.196
143,12,2015,35,0.196
144,12,2015,35,0.196
145,13,2015,38,0.204
146,13,2015,38,0.204
147,13,2015,38,0.204
148,13,2015,38,0.204
149,13,2015,38,0.204
150,13,2015,38,0.204
151,13,2015,38,0.204
152,13,2015,38,0.204
153,13,2015,38,0.204
154,13,2015,38,0.204
155,13,2015,38,0.204
156,13,2015,38,0.204
157,14,2015,41,0.198
158,14,2015,41,0.198
159,14,2015,41,0.198
160,14,2015,41,0.198
161,14,2015,41,0.198
162,14,2015,41,0.198
163,14,2015,41,0.198
164,14,2015,41,0.198
165,14,2015,41,0.198
166,14,2015,41,0.198
167,14,2015,41,0.198
168,14,2015,41,0.198
169,15,2015,44,0.204
170,15,2015,44,0.204
171,15,2015,44,0.204
172,15,2015,44,0.204
173,15,2015,44,0.204
174,15,2015,44,0.204
175,15,2015,44,0.204
176,15,2015,44,0.204
177,15,2015,44,0.204
178,15,2015,44,0.204
179,15,2015,44,0.204
180,15,2015,44,0.204
181,16,2015,47,0.21
182,16,2015,47,0.21
183,16,2015,47,0.21
184,16,2015,47,0.21
185,16,2015,47,0.21
186,16,2015,47,0.21
187,16,2015,47,0.21
188,16,2015,47,0.21
189,16,2015,47,0.21
190,16,2015,47,0.21
191,16,2015,47,0.21
192,16,2015,47,0.21
193,17,2015,50,0.197
194,17,2015,50,0.197
195,17,2015,50,0.197
196,17,2015,50,0.197
197,17,2015,50,0.197
198,17,2015,50,0.197
199,17,2015,50,0.197
200,17,2015,50,0.197
201,17,2015,50,0.197
202,17,2015,50,0.197
203,17,2015,50,0.197
204,17,2015,50,0.197
205,18,2015,53,0.191
206,18,2015,53,0.191
207,18,2015,53,0.191
208,18,2015,53,0.191
209,18,2015,53,0.191
210,18,2015,53,0.191
211,18,2015,53,0.191
212,18,2015,53,0.191
213,18,2015,53,0.191
214,18,2015,53,0.191
215,18,2015,53,0.191
216,18,2015,53,0.191
217,19,2015,56,0.189
218,19,2015,56,0.189
219,19,2015,56,0.189
220,19,2015,56,0.189
221,19,2015,56,0.189
222,19,2015,56,0.189
223,19,2015,56,0.189
224,19,2015,56,0.189
225,19,2015,56,0.189
226,19,2015,56,0.189
227,19,2015,56,0.189
228,19,2015,56,0.189
229,20,2015,59,0.195
230,20,2015,59,0.195
231,20,2015,59,0.195
232,20,2015,59,0.195
233,20,2015,59,0.195
234,20,2015,59,0.195
235,20,2015,59,0.195
236,20,2015,59,0.195
237,20,2015,59,0.195
238,20,2015,59,0.195
239,20,2015,59,0.195
240,20,2015,59,0.195
241,21,2015,62,0.194
242,21,2015,62,0.194
243,21,2015,62,0.194
244,21,2015,62,0.194
245,21,2015,62,0.194
246,21,2015,62,0.194
247,21,2015,62,0.194
248,21,2015,62,0.194
249,21,2015,62,0.194
250,21,2015,62,0.194
251,21,2015,62,0.194
252,21,2015,62,0.194
253,22,2015,65,0.195
254,22,2015,65,0.195
255,22,2015,65,0.195
256,22,2015,65,0.195
257,22,2015,65,0.195
258,22,2015,65,0.195
259,22,2015,65,0.195
260,22,2015,65,0.195
261,22,2015,65,0.195
262,22,2015,65,0.195
263,22,2015,65,0.195
264,22,2015,65,0.195
265,23,2015,68,0.188
266,23,2015,68,0.188
267,23,2015,68,0.188
268,23,2015,68,0.188
269,23,2015,68,0.188
270,23,2015,68,0.188
271,23,2015,68,0.188
272,23,2015,68,0.188
273,23,2015,68,0.188
274,23,2015,68,0.188
275,23,2015,68,0.188
276,23,2015,68,0.188
277,24,2015,71,0.195
278,24,2015,71,0.195
279,24,2015,71,0.195
280,24,2015,71,0.195
281,24,2015,71,0.195
282,24,2015,71,0.195
283,24,2015,71,0.195
284,24,2015,71,0.195
285,24,2015,71,0.195
286,24,2015,71,0.195
287,24,2015,71,0.195
288,24,2015,71,0.195
289,25,2015,74,0.201
290,25,2015,74,0.201
291,25,2015,74,0.201
292,25,2015,74,0.201
293,25,2015,74,0.201
294,25,2015,74,0.201
295,25,2015,74,0.201
296,25,2015,74,0.201
297,25,2015,74,0.201
298,25,2015,74,0.201
299,25,2015,74,0.201
300,25,2015,74,0.201
301,26,2015,77,0.196
302,26,2015,77,0.196
303,26,2015,77,0.196
304,26,2015,77,0.196
305,26,2015,77,0.196
306,26,2015,77,0.196
307,26,2015,77,0.196
308,26,2015,77,0.196
309,26,2015,77,0.196
310,26,2015,77,0.196
311,26,2015,77,0.196
312,26,2015,77,0.196
313,27,2015,80,0.202
314,27,2015,80,0.202
315,27,2015,80,0.202
316,27,2015,80,0.202
317,27,2015,80,0.202
318,27,2015,80,0.202
319,27,2015,80,0.202
320,27,2015,80,0.202
321,27,2015,80,0.202
322,27,2015,80,0.202
323,27,2015,80,0.202
324,27,2015,80,0.202
325,28,2015,83,0.202
326,28,2015,83,0.202
327,28,2015,83,0.202
328,28,2015,83,0.202
329,28,2015,83,0.202
330,28,2015,83,0.202
331,28,2015,83,0.202
332,28,2015,83,0.202
333,28,2015,83,0.202
334,28,2015,83,0.202
335,28,2015,83,0.202
336,28,2015,83,0.202
337,29,2015,86,0.207
338,29,2015,86,0.207
339,29,2015,86,0.207
340,29,2015,86,0.207
341,29,2015,86,0.207
342,29,2015,86,0.207
343,29,2015,86,0.207
344,29,2015,86,0.207
345,29,2015,86,0.207
346,29,2015,86,0.207
347,29,2015,86,0.207
348,29,2015,86,0.207
349,30,2015,89,0.219
350,30,2015,89,0.219
351,30,2015,89,0.219
352,30,2015,89,0.219
353,30,2015,89,0.219
354,30,2015,89,0.219
355,30,2015,89,0.219
356,30,2015,89,0.219
357,30,2015,89,0.219
358,30,2015,89,0.219
359,30,2015,89,0.219
360,30,2015,89,0.219
361,31,2015,92,0.219
362,31,2015,92,0.219
363,31,2015,92,0.219
364,31,2015,92,0.219
365,31,2015,92,0.219
366,31,2015,92,0.219
367,31,2015,92,0.219
368,31,2015,92,0.219
369,31,2015,92,0.219
370,31,2015,92,0.219
371,31,2015,92,0.219
372,31,2015,92,0.219
373,32,2015,95,0.239
374,32,2015,95,0.239
375,32,2015,95,0.239
376,32,2015,95,0.239
377,32,2015,95,0.239
378,32,2015,95,0.239
379,32,2015,95,0.239
380,32,2015,95,0.239
381,32,2015,95,0.239
382,32,2015,95,0.239
383,32,2015,95,0.239
384,32,2015,95,0.239
385,33,2015,98,0.228
386,33,2015,98,0.228
387,33,2015,98,0.228
388,33,2015,98,0.228
389,33,2015,98,0.228
390,33,2015,98,0.228
391,33,2015,98,0.228
392,33,2015,98,0.228
393,33,2015,98,0.228
394,33,2015,98,0.228
395,33,2015,98,0.228
396,33,2015,98,0.228
397,34,2015,101,0.231
398,34,2015,101,0.231
399,34,2015,101,0.231
400,34,2015,101,0.231
401,34,2015,101,0.231
402,34,2015,101,0.231
403,34,2015,101,0.231
404,34,2015,101,0.231
405,34,2015,101,0.231
406,34,2015,101,0.231
407,34,2015,101,0.231
408,34,2015,101,0.231
409,35,2015,104,0.234
410,35,2015,104,0.234
411,35,2015,104,0.234
412,35,2015,104,0.234
413,35,2015,104,0.234
414,35,2015,104,0.234
415,35,2015,104,0.234
416,35,2015,104,0.234
417,35,2015,104,0.234
418,35,2015,104,0.234
419,35,2015,104,0.234
420,35,2015,104,0.234
421,36,2015,107,0.221
422,36,2015,107,0.221
423,36,2015,107,0.221
424,36,2015,107,0.221
425,36,2015,107,0.221
426,36,2015,107,0.221
427,36,2015,107,0.221
428,36,2015,107,0.221
429,36,2015,107,0.221
430,36,2015,107,0.221
431,36,2015,107,0.221
432,36,2015,107,0.221
433,37,2015,110,0.206
434,37,2015,110,0.206
435,37,2015,110,0.206
436,37,2015,110,0.206
437,37,2015,110,0.206
438,37,2015,110,0.206
439,37,2015,110,0.206
440,37,2015,110,0.206
441,37,2015,110,0.206
442,37,2015,110,0.206
443,37,2015,110,0.206
444,37,2015,110,0.206
445,38,2015,113,0.201
446,38,2015,113,0.201
447,38,2015,113,0.201
448,38,2015,113,0.201
449,38,2015,113,0.201
450,38,2015,113,0.201
451,38,2015,113,0.201
452,38,2015,113,0.201
453,38,2015,113,0.201
454,38,2015,113,0.201
455,38,2015,113,0.201
456,38,2015,113,0.201
457,39,2015,116,0.205
458,39,2015,116,0.205
459,39,2015,116,0.205
460,39,2015,116,0.205
461,39,2015,116,0.205
462,39,2015,116,0.205
463,39,2015,116,0.205
464,39,2015,116,0.205
465,39,2015,116,0.205
466,39,2015,116,0.205
467,39,2015,116,0.205
468,39,2015,116,0.205
469,40,2015,119,0.208
470,40,2015,119,0.208
471,40,2015,119,0.208
472,40,2015,119,0.208
473,40,2015,119,0.208
474,40,2015,119,0.208
475,40,2015,119,0.208
476,40,2015,119,0.208
477,40,2015,119,0.208
478,40,2015,119,0.208
479,40,2015,119,0.208
480,40,2015,119,0.208
481,41,2015,122,0.219
482,41,2015,122,0.219
483,41,2015,122,0.219
484,41,2015,122,0.219
485,41,2015,122,0.219
486,41,2015,122,0.219
487,41,2015,122,0.219
488,41,2015,122,0.219
489,41,2015,122,0.219
490,41,2015,122,0.219
491,41,2015,122,0.219
492,41,2015,122,0.219
493,42,2015,125,0.224
494,42,2015,125,0.224
495,42,2015,125,0.224
496,42,2015,125,0.224
497,42,2015,125,0.224
498,42,2015,125,0.224
499,42,2015,125,0.224
500,42,2015,125,0.224
501,42,2015,125,0.224
502,42,2015,125,0.224
503,42,2015,125,0.224
504,42,2015,125,0.224
505,43,2015,128,0.217
506,43,2015,128,0.217
507,43,2015,128,0.217
508,43,2015,128,0.217
509,43,2015,128,0.217
510,43,2015,128,0.217
511,43,2015,128,0.217
512,43,2015,128,0.217
513,43,2015,128,0.217
514,43,2015,128,0.217
515,43,2015,128,0.217
516,43,2015,128,0.217
517,44,2015,131,0.212
518,44,2015,131,0.212
519,44,2015,131,0.212
520,44,2015,131,0.212
521,44,2015,131,0.212
522,44,2015,131,0.212
523,44,2015,131,0.212
524,44,2015,131,0.212
525,44,2015,131,0.212
526,44,2015,131,0.212
527,44,2015,131,0.212
528,44,2015,131,0.212
529,45,2015,134,0.249
530,45,2015,134,0.249
531,45,2015,134,0.249
532,45,2015,134,0.249
533,45,2015,134,0.249
534,45,2015,134,0.249
535,45,2015,134,0.249
536,45,2015,134,0.249
537,45,2015,134,0.249
538,45,2015,134,0.249
539,45,2015,134,0.249
540,45,2015,134,0.249
541,46,2015,137,0.249
542,46,2015,137,0.249
543,46,2015,137,0.249
544,46,2015,137,0.249
545,46,2015,137,0.249
546,46,2015,137,0.249
547,46,2015,137,0.249
548,46,2015,137,0.249
549,46,2015,137,0.249
550,46,2015,137,0.249
551,46,2015,137,0.249
552,46,2015,137,0.249
553,47,2015,140,0.231
554,47,2015,140,0.231
555,47,2015,140,0.231
556,47,2015,140,0.231
557,47,2015,140,0.231
558,47,2015,140,0.231
559,47,2015,140,0.231
560,47,2015,140,0.231
561,47,2015,140,0.231
562,47,2015,140,0.231
563,47,2015,140,0.231
564,47,2015,140,0.231
565,48,2015,143,0.249
566,48,2015,143,0.249
567,48,2015,143,0.249
568,48,2015,143,0.249
569,48,2015,143,0.249
570,48,2015,143,0.249
571,48,2015,143,0.249
572,48,2015,143,0.249
573,48,2015,143,0.249
574,48,2015,143,0.249
575,48,2015,143,0.249
576,48,2015,143,0.249
577,49,2015,146,0.281
578,49,2015,146,0.281
579,49,2015,146,0.281
580,49,2015,146,0.281
581,49,2015,146,0.281
582,49,2015,146,0.281
583,49,2015,146,0.281
584,49,2015,146,0.281
585,49,2015,146,0.281
586,49,2015,146,0.281
587,49,2015,146,0.281
588,49,2015,146,0.281
589,50,2015,149,0.281
590,50,2015,149,0.281
591,50,2015,149,0.281
592,50,2015,149,0.281
593,50,2015,149,0.281
594,50,2015,149,0.281
595,50,2015,149,0.281
596,50,2015,149,0.281
597,50,2015,149,0.281
598,50,2015,149,0.281
599,50,2015,149,0.281
600,50,2015,149,0.281
601,51,2015,152,0.293
602,51,2015,152,0.293
603,51,2015,152,0.293
604,51,2015,152,0.293
605,51,2015,152,0.293
606,51,2015,152,0.293
607,51,2015,152,0.293
608,51,2015,152,0.293
609,51,2015,152,0.293
610,51,2015,152,0.293
611,51,2015,152,0.293
612,51,2015,152,0.293
613,52,2015,155,0.324
614,52,2015,155,0.324
615,52,2015,155,0.324
616,52,2015,155,0.324
617,52,2015,155,0.324
618,52,2015,155,0.324
619,52,2015,155,0.324
620,52,2015,155,0.324
621,52,2015,155,0.324
622,52,2015,155,0.324
623,52,2015,155,0.324
624,52,2015,155,0.324
625,53,2015,158,0.312
626,53,2015,158,0.312
627,53,2015,158,0.312
628,53,2015,158,0.312
629,53,2015,158,0.312
630,53,2015,158,0.312
631,53,2015,158,0.312
632,53,2015,158,0.312
633,53,2015,158,0.312
634,53,2015,158,0.312
635,53,2015,158,0.312
636,53,2015,158,0.312
637,54,2015,161,0.302
638,54,2015,161,0.302
639,54,2015,161,0.302
640,54,2015,161,0.302
641,54,2015,161,0.302
642,54,2015,161,0.302
643,54,2015,161,0.302
644,54,2015,161,0.302
645,54,2015,161,0.302
646,54,2015,161,0.302
647,54,2015,161,0.302
648,54,2015,161,0.302
649,55,2015,164,0.285
650,55,2015,164,0.285
651,55,2015,164,0.285
652,55,2015,164,0.285
653,55,2015,164,0.285
654,55,2015,164,0.285
655,55,2015,164,0.285
656,55,2015,164,0.285
657,55,2015,164,0.285
658,55,2015,164,0.285
659,55,2015,164,0.285
660,55,2015,164,0.285
661,56,2015,167,0.261
662,56,2015,167,0.261
663,56,2015,167,0.261
664,56,2015,167,0.261
665,56,2015,167,0.261
666,56,2015,167,0.261
667,56,2015,167,0.261
668,56,2015,167,0.261
669,56,2015,167,0.261
670,56,2015,167,0.261
671,56,2015,167,0.261
672,56,2015,167,0.261
673,57,2015,170,0.263
674,57,2015,170,0.263
675,57,2015,170,0.263
676,57,2015,170,0.263
677,57,2015,170,0.263
678,57,2015,170,0.263
679,57,2015,170,0.263
680,57,2015,170,0.263
681,57,2015,170,0.263
682,57,2015,170,0.263
683,57,2015,170,0.263
684,57,2015,170,0.263
685,58,2015,173,0.265
686,58,2015,173,0.265
687,58,2015,173,0.265
688,58,2015,173,0.265
689,58,2015,173,0.265
690,58,2015,173,0.265
691,58,2015,173,0.265
692,58,2015,173,0.265
693,58,2015,173,0.265
694,58,2015,173,0.265
695,58,2015,173,0.265
696,58,2015,173,0.265
697,59,2015,176,0.287
698,59,2015,176,0.287
699,59,2015,176,0.287
700,59,2015,176,0.287
701,59,2015,176,0.287
702,59,2015,176,0.287
703,59,2015,176,0.287
704,59,2015,176,0.287
705,59,2015,176,0.287
706,59,2015,176,0.287
707,59,2015,176,0.287
708,59,2015,176,0.287
709,60,2015,179,0.291
710,60,2015,179,0.291
711,60,2015,179,0.291
712,60,2015,179,0.291
713,60,2015,179,0.291
714,60,2015,179,0.291
715,60,2015,179,0.291
716,60,2015,179,0.291
717,60,2015,179,0.291
718,60,2015,179,0.291
719,60,2015,179,0.291
720,60,2015,179,0.291
721,61,2015,182,0.274
722,61,2015,182,0.274
723,61,2015,182,0.274
724,61,2015,182,0.274
725,61,2015,182,0.274
726,61,2015,182,0.274
727,61,2015,182,0.274
728,61,2015,182,0.274
729,61,2015,182,0.274
730,61,2015,182,0.274
731,61,2015,182,0.274
732,61,2015,182,0.274
733,62,2015,185,0.237
734,62,2015,185,0.237
735,62,2015,185,0.237
736,62,2015,185,0.237
737,62,2015,185,0.237
738,62,2015,185,0.237
739,62,2015,185,0.237
740,62,2015,185,0.237
741,62,2015,185,0.237
742,62,2015,185,0.237
743,62,2015,185,0.237
744,62,2015,185,0.237
745,63,2015,188,0.226
746,63,2015,188,0.226
747,63,2015,188,0.226
748,63,2015,188,0.226
749,63,2015,188,0.226
750,63,2015,188,0.226
751,63,2015,188,0.226
752,63,2015,188,0.226
753,63,2015,188,0.226
754,63,2015,188,0.226
755,63,2015,188,0.226
756,63,2015,188,0.226
757,64,2015,191,0.234
758,64,2015,191,0.234
759,64,2015,191,0.234
760,64,2015,191,0.234
761,64,2015,191,0.234
762,64,2015,191,0.234
763,64,2015,191,0.234
764,64,2015,191,0.234
765,64,2015,191,0.234
766,64,2015,191,0.234
767,64,2015,191,0.234
768,64,2015,191,0.234
769,65,2015,194,0.246
770,65,2015,194,0.246
771,65,2015,194,0.246
772,65,2015,194,0.246
773,65,2015,194,0.246
774,65,2015,194,0.246
775,65,2015,194,0.246
776,65,2015,194,0.246
777,65,2015,194,0.246
778,65,2015,194,0.246
779,65,2015,194,0.246
780,65,2015,194,0.246
781,66,2015,197,0.243
782,66,2015,197,0.243
783,66,2015,197,0.243
784,66,2015,197,0.243
785,66,2015,197,0.243
786,66,2015,197,0.243
787,66,2015,197,0.243
788,66,2015,197,0.243
789,66,2015,197,0.243
790,66,2015,197,0.243
791,66,2015,197,0.243
792,66,2015,197,0.243
793,67,2015,200,0.229
794,67,2015,200,0.229
795,67,2015,200,0.229
796,67,2015,200,0.229
797,67,2015,200,0.229
798,67,2015,200,0.229
799,67,2015,200,0.229
800,67,2015,200,0.229
801,67,2015,200,0.229
802,67,2015,200,0.229
803,67,2015,200,0.229
804,67,2015,200,0.229
805,68,2015,203,0.242
806,68,2015,203,0.242
807,68,2015,203,0.242
808,68,2015,203,0.242
809,68,2015,203,0.242
810,68,2015,203,0.242
811,68,2015,203,0.242
812,68,2015,203,0.242
813,68,2015,203,0.242
814,68,2015,203,0.242
815,68,2015,203,0.242
816,68,2015,203,0.242
817,69,2015,206,0.252
818,69,2015,206,0.252
819,69,2015,206,0.252
820,69,2015,206,0.252
821,69,2015,206,0.252
822,69,2015,206,0.252
823,69,2015,206,0.252
824,69,2015,206,0.252
825,69,2015,206,0.252
826,69,2015,206,0.252
827,69,2015,206,0.252
828,69,2015,206,0.252
829,70,2015,209,0.247
830,70,2015,209,0.247
831,70,2015,209,0.247
832,70,2015,209,0.247
833,70,2015,209,0.247
834,70,2015,209,0.247
835,70,2015,209,0.247
836,70,2015,209,0.247
837,70,2015,209,0.247
838,70,2015,209,0.247
839,70,2015,209,0.247
840,70,2015,209,0.247
841,71,2015,212,0.23
842,71,2015,212,0.23
843,71,2015,212,0.23
844,71,2015,212,0.23
845,71,2015,212,0.23
846,71,2015,212,0.23
847,71,2015,212,0.23
848,71,2015,212,0.23
849,71,2015,212,0.23
850,71,2015,212,0.23
851,71,2015,212,0.23
852,71,2015,212,0.23
853,72,2015,215,0.22
854,72,2015,215,0.22
855,72,2015,215,0.22
856,72,2015,215,0.22
857,72,2015,215,0.22
858,72,2015,215,0.22
859,72,2015,215,0.22
860,72,2015,215,0.22
861,72,2015,215,0.22
862,72,2015,215,0.22
863,72,2015,215,0.22
864,72,2015,215,0.22
865,73,2015,218,0.212
866,73,2015,218,0.212
867,73,2015,218,0.212
868,73,2015,218,0.212
869,73,2015,218,0.212
870,73,2015,218,0.212
871,73,2015,218,0.212
872,73,2015,218,0.212
873,73,2015,218,0.212
874,73,2015,218,0.212
875,73,2015,218,0.212
876,73,2015,218,0.212
877,74,2015,221,0.217
878,74,2015,221,0.217
879,74,2015,221,0.217
880,74,2015,221,0.217
881,74,2015,221,0.217
882,74,2015,221,0.217
883,74,2015,221,0.217
884,74,2015,221,0.217
885,74,2015,221,0.217
886,74,2015,221,0.217
887,74,2015,221,0.217
888,74,2015,221,0.217
889,75,2015,224,0.21
890,75,2015,224,0.21
891,75,2015,224,0.21
892,75,2015,224,0.21
893,75,2015,224,0.21
894,75,2015,224,0.21
895,75,2015,224,0.21
896,75,2015,224,0.21
897,75,2015,224,0.21
898,75,2015,224,0.21
899,75,2015,224,0.21
900,75,2015,224,0.21
901,76,2015,227,0.209
902,76,2015,227,0.209
903,76,2015,227,0.209
904,76,2015,227,0.209
905,76,2015,227,0.209
906,76,2015,227,0.209
907,76,2015,227,0.209
908,76,2015,227,0.209
909,76,2015,227,0.209
910,76,2015,227,0.209
911,76,2015,227,0.209
912,76,2015,227,0.209
913,77,2015,230,0.203
914,77,2015,230,0.203
915,77,2015,230,0.203
916,77,2015,230,0.203
917,77,2015,230,0.203
918,77,2015,230,0.203
919,77,2015,230,0.203
920,77,2015,230,0.203
921,77,2015,230,0.203
922,77,2015,230,0.203
923,77,2015,230,0.203
924,77,2015,230,0.203
925,78,2015,233,0.194
926,78,2015,233,0.194
927,78,2015,233,0.194
928,78,2015,233,0.194
929,78,2015,233,0.194
930,78,2015,233,0.194
931,78,2015,233,0.194
932,78,2015,233,0.194
933,78,2015,233,0.194
934,78,2015,233,0.194
935,78,2015,233,0.194
936,78,2015,233,0.194
937,79,2015,236,0.185
938,79,2015,236,0.185
939,79,2015,236,0.185
940,79,2015,236,0.185
941,79,2015,236,0.185
942,79,2015,236,0.185
943,79,2015,236,0.185
944,79,2015,236,0.185
945,79,2015,236,0.185
946,79,2015,236,0.185
947,79,2015,236,0.185
948,79,2015,236,0.185
949,80,2015,239,0.182
950,80,2015,239,0.182
951,80,2015,239,0.182
952,80,2015,239,0.182
953,80,2015,239,0.182
954,80,2015,239,0.182
955,80,2015,239,0.182
956,80,2015,239,0.182
957,80,2015,239,0.182
958,80,2015,239,0.182
959,80,2015,239,0.182
960,80,2015,239,0.182
961,81,2015,242,0.189
962,81,2015,242,0.189
963,81,2015,242,0.189
964,81,2015,242,0.189
965,81,2015,242,0.189
966,81,2015,242,0.189
967,81,2015,242,0.189
968,81,2015,242,0.189
969,81,2015,242,0.189
970,81,2015,242,0.189
971,81,2015,242,0.189
972,81,2015,242,0.189
973,82,2015,245,0.184
974,82,2015,245,0.184
975,82,2015,245,0.184
976,82,2015,245,0.184
977,82,2015,245,0.184
978,82,2015,245,0.184
979,82,2015,245,0.184
980,82,2015,245,0.184
981,82,2015,245,0.184
982,82,2015,245,0.184
983,82,2015,245,0.184
984,82,2015,245,0.184
985,83,2015,248,0.181
986,83,2015,248,0.181
987,83,2015,248,0.181
988,83,2015,248,0.181
989,83,2015,248,0.181
990,83,2015,248,0.181
991,83,2015,248,0.181
992,83,2015,248,0.181
993,83,2015,248,0.181
994,83,2015,248,0.181
995,83,2015,248,0.181
996,83,2015,248,0.181
997,84,2015,251,0.185
998,84,2015,251,0.185
999,84,2015,251,0.185
1000,84,2015,251,0.185
1001,84,2015,251,0.185
1002,84,2015,251,0.185
1003,84,2015,251,0.185
1004,84,2015,251,0.185
1005,84,2015,251,0.185
1006,84,2015,251,0.185
1007,84,2015,251,0.185
1008,84,2015,251,0.185
1009,85,2015,254,0.186
1010,85,2015,254,0.186
1011,85,2015,254,0.186
1012,85,2015,254,0.186
1013,85,2015,254,0.186
1014,85,2015,254,0.186
1015,85,2015,254,0.186
1016,85,2015,254,0.186
1017,85,2015,254,0.186
1018,85,2015,254,0.186
1019,85,2015,254,0.186
1020,85,2015,254,0.186
1021,86,2015,257,0.177
1022,86,2015,257,0.177
1023,86,2015,257,0.177
1024,86,2015,257,0.177
1025,86,2015,257,0.177
1026,86,2015,257,0.177
1027,86,2015,257,0.177
1028,86,2015,257,0.177
1029,86,2015,257,0.177
1030,86,2015,257,0.177
1031,86,2015,257,0.177
1032,86,2015,257,0.177
1033,87,2015,260,0.176
1034,87,2015,260,0.176
1035,87,2015,260,0.176
1036,87,2015,260,0.176
1037,87,2015,260,0.176
1038,87,2015,260,0.176
1039,87,2015,260,0.176
1040,87,2015,260,0.176
1041,87,2015,260,0.176
1042,87,2015,260,0.176
1043,87,2015,260,0.176
1044,87,2015,260,0.176
1045,88,2015,263,0.178
1046,88,2015,263,0.178
1047,88,2015,263,0.178
1048,88,2015,263,0.178
1049,88,2015,263,0.178
1050,88,2015,263,0.178
1051,88,2015,263,0.178
1052,88,2015,263,0.178
1053,88,2015,263,0.178
1054,88,2015,263,0.178
1055,88,2015,263,0.178
1056,88,2015,263,0.178
1057,89,2015,266,0.174
1058,89,2015,266,0.174
1059,89,2015,266,0.174
1060,89,2015,266,0.174
1061,89,2015,266,0.174
1062,89,2015,266,0.174
1063,89,2015,266,0.174
1064,89,2015,266,0.174
1065,89,2015,266,0.174
1066,89,2015,266,0.174
1067,89,2015,266,0.174
