threeday_yrmo,threeday_yr,year,dayofyear,varupwelZ1_mmsec_4-12mAvg
342,29,2015,86,1e-05
343,29,2015,86,1e-05
344,29,2015,86,1e-05
345,29,2015,86,1e-05
346,29,2015,86,1e-05
347,29,2015,86,1e-05
348,29,2015,86,1e-05
349,30,2015,89,4e-05
350,30,2015,89,4e-05
351,30,2015,89,4e-05
352,30,2015,89,4e-05
353,30,2015,89,4e-05
354,30,2015,89,4e-05
355,30,2015,89,4e-05
356,30,2015,89,4e-05
357,30,2015,89,4e-05
358,30,2015,89,4e-05
359,30,2015,89,4e-05
360,30,2015,89,4e-05
361,31,2015,92,2e-05
362,31,2015,92,2e-05
363,31,2015,92,2e-05
364,31,2015,92,2e-05
365,31,2015,92,2e-05
366,31,2015,92,2e-05
367,31,2015,92,2e-05
368,31,2015,92,2e-05
369,31,2015,92,2e-05
370,31,2015,92,2e-05
371,31,2015,92,2e-05
372,31,2015,92,2e-05
373,32,2015,95,0.0
374,32,2015,95,0.0
375,32,2015,95,0.0
376,32,2015,95,0.0
377,32,2015,95,0.0
378,32,2015,95,0.0
379,32,2015,95,0.0
380,32,2015,95,0.0
381,32,2015,95,0.0
382,32,2015,95,0.0
383,32,2015,95,0.0
384,32,2015,95,0.0
385,33,2015,98,-2e-05
386,33,2015,98,-2e-05
387,33,2015,98,-2e-05
388,33,2015,98,-2e-05
389,33,2015,98,-2e-05
390,33,2015,98,-2e-05
391,33,2015,98,-2e-05
392,33,2015,98,-2e-05
393,33,2015,98,-2e-05
394,33,2015,98,-2e-05
395,33,2015,98,-2e-05
396,33,2015,98,-2e-05
397,34,2015,101,2e-05
398,34,2015,101,2e-05
399,34,2015,101,2e-05
400,34,2015,101,2e-05
401,34,2015,101,2e-05
402,34,2015,101,2e-05
403,34,2015,101,2e-05
404,34,2015,101,2e-05
405,34,2015,101,2e-05
406,34,2015,101,2e-05
407,34,2015,101,2e-05
408,34,2015,101,2e-05
409,35,2015,104,8e-05
410,35,2015,104,8e-05
411,35,2015,104,8e-05
412,35,2015,104,8e-05
413,35,2015,104,8e-05
414,35,2015,104,8e-05
415,35,2015,104,8e-05
416,35,2015,104,8e-05
417,35,2015,104,8e-05
418,35,2015,104,8e-05
419,35,2015,104,8e-05
420,35,2015,104,8e-05
421,36,2015,107,6e-05
422,36,2015,107,6e-05
423,36,2015,107,6e-05
424,36,2015,107,6e-05
425,36,2015,107,6e-05
426,36,2015,107,6e-05
427,36,2015,107,6e-05
428,36,2015,107,6e-05
429,36,2015,107,6e-05
430,36,2015,107,6e-05
431,36,2015,107,6e-05
432,36,2015,107,6e-05
433,37,2015,110,0.0
434,37,2015,110,0.0
435,37,2015,110,0.0
436,37,2015,110,0.0
437,37,2015,110,0.0
438,37,2015,110,0.0
439,37,2015,110,0.0
440,37,2015,110,0.0
441,37,2015,110,0.0
442,37,2015,110,0.0
443,37,2015,110,0.0
444,37,2015,110,0.0
445,38,2015,113,1e-05
446,38,2015,113,1e-05
447,38,2015,113,1e-05
448,38,2015,113,1e-05
449,38,2015,113,1e-05
450,38,2015,113,1e-05
451,38,2015,113,1e-05
452,38,2015,113,1e-05
453,38,2015,113,1e-05
454,38,2015,113,1e-05
455,38,2015,113,1e-05
456,38,2015,113,1e-05
457,39,2015,116,5e-05
458,39,2015,116,5e-05
459,39,2015,116,5e-05
460,39,2015,116,5e-05
461,39,2015,116,5e-05
462,39,2015,116,5e-05
463,39,2015,116,5e-05
464,39,2015,116,5e-05
465,39,2015,116,5e-05
466,39,2015,116,5e-05
467,39,2015,116,5e-05
468,39,2015,116,5e-05
469,40,2015,119,7e-05
