threeday_yrmo,threeday_yr,year,dayofyear,varadvecX2_cmsec_0-40mAvg
373,32,2015,95,-0.005
374,32,2015,95,-0.005
375,32,2015,95,-0.005
376,32,2015,95,-0.005
377,32,2015,95,-0.005
378,32,2015,95,-0.005
379,32,2015,95,-0.005
380,32,2015,95,-0.005
381,32,2015,95,-0.005
382,32,2015,95,-0.005
383,32,2015,95,-0.005
384,32,2015,95,-0.005
385,33,2015,98,-0.006
386,33,2015,98,-0.006
387,33,2015,98,-0.006
388,33,2015,98,-0.006
389,33,2015,98,-0.006
390,33,2015,98,-0.006
391,33,2015,98,-0.006
392,33,2015,98,-0.006
393,33,2015,98,-0.006
394,33,2015,98,-0.006
395,33,2015,98,-0.006
396,33,2015,98,-0.006
397,34,2015,101,-0.002
398,34,2015,101,-0.002
399,34,2015,101,-0.002
400,34,2015,101,-0.002
401,34,2015,101,-0.002
402,34,2015,101,-0.002
403,34,2015,101,-0.002
404,34,2015,101,-0.002
405,34,2015,101,-0.002
406,34,2015,101,-0.002
407,34,2015,101,-0.002
408,34,2015,101,-0.002
409,35,2015,104,-0.002
410,35,2015,104,-0.002
411,35,2015,104,-0.002
412,35,2015,104,-0.002
413,35,2015,104,-0.002
414,35,2015,104,-0.002
415,35,2015,104,-0.002
416,35,2015,104,-0.002
417,35,2015,104,-0.002
418,35,2015,104,-0.002
419,35,2015,104,-0.002
420,35,2015,104,-0.002
421,36,2015,107,-0.004
422,36,2015,107,-0.004
423,36,2015,107,-0.004
424,36,2015,107,-0.004
425,36,2015,107,-0.004
426,36,2015,107,-0.004
427,36,2015,107,-0.004
428,36,2015,107,-0.004
429,36,2015,107,-0.004
430,36,2015,107,-0.004
431,36,2015,107,-0.004
432,36,2015,107,-0.004
433,37,2015,110,-0.006
434,37,2015,110,-0.006
435,37,2015,110,-0.006
436,37,2015,110,-0.006
437,37,2015,110,-0.006
438,37,2015,110,-0.006
439,37,2015,110,-0.006
440,37,2015,110,-0.006
441,37,2015,110,-0.006
442,37,2015,110,-0.006
443,37,2015,110,-0.006
444,37,2015,110,-0.006
445,38,2015,113,-0.004
446,38,2015,113,-0.004
447,38,2015,113,-0.004
448,38,2015,113,-0.004
449,38,2015,113,-0.004
450,38,2015,113,-0.004
451,38,2015,113,-0.004
452,38,2015,113,-0.004
453,38,2015,113,-0.004
454,38,2015,113,-0.004
455,38,2015,113,-0.004
456,38,2015,113,-0.004
457,39,2015,116,-0.006
458,39,2015,116,-0.006
459,39,2015,116,-0.006
460,39,2015,116,-0.006
461,39,2015,116,-0.006
462,39,2015,116,-0.006
463,39,2015,116,-0.006
464,39,2015,116,-0.006
465,39,2015,116,-0.006
466,39,2015,116,-0.006
467,39,2015,116,-0.006
468,39,2015,116,-0.006
469,40,2015,119,-0.008
470,40,2015,119,-0.008
471,40,2015,119,-0.008
472,40,2015,119,-0.008
473,40,2015,119,-0.008
474,40,2015,119,-0.008
475,40,2015,119,-0.008
476,40,2015,119,-0.008
477,40,2015,119,-0.008
478,40,2015,119,-0.008
479,40,2015,119,-0.008
480,40,2015,119,-0.008
481,41,2015,122,-0.009
482,41,2015,122,-0.009
483,41,2015,122,-0.009
484,41,2015,122,-0.009
485,41,2015,122,-0.009
486,41,2015,122,-0.009
487,41,2015,122,-0.009
488,41,2015,122,-0.009
489,41,2015,122,-0.009
490,41,2015,122,-0.009
491,41,2015,122,-0.009
492,41,2015,122,-0.009
493,42,2015,125,-0.007
494,42,2015,125,-0.007
495,42,2015,125,-0.007
496,42,2015,125,-0.007
497,42,2015,125,-0.007
498,42,2015,125,-0.007
499,42,2015,125,-0.007
500,42,2015,125,-0.007
501,42,2015,125,-0.007
502,42,2015,125,-0.007
503,42,2015,125,-0.007
504,42,2015,125,-0.007
505,43,2015,128,-0.008
506,43,2015,128,-0.008
507,43,2015,128,-0.008
508,43,2015,128,-0.008
509,43,2015,128,-0.008
510,43,2015,128,-0.008
511,43,2015,128,-0.008
512,43,2015,128,-0.008
513,43,2015,128,-0.008
514,43,2015,128,-0.008
515,43,2015,128,-0.008
516,43,2015,128,-0.008
517,44,2015,131,-0.004
518,44,2015,131,-0.004
519,44,2015,131,-0.004
520,44,2015,131,-0.004
521,44,2015,131,-0.004
522,44,2015,131,-0.004
523,44,2015,131,-0.004
524,44,2015,131,-0.004
525,44,2015,131,-0.004
526,44,2015,131,-0.004
527,44,2015,131,-0.004
528,44,2015,131,-0.004
529,45,2015,134,-0.004
530,45,2015,134,-0.004
531,45,2015,134,-0.004
532,45,2015,134,-0.004
533,45,2015,134,-0.004
