threeday_yrmo,threeday_yr,year,dayofyear,varvarsalt1_PSU_0-10mAvg
507,507,1982,80,27.0
508,508,1982,83,27.0
509,509,1982,86,27.2
510,510,1982,89,27.3
511,511,1982,92,27.3
512,512,1982,95,27.3
513,513,1982,98,27.1
514,514,1982,101,27.1
515,515,1982,104,27.4
516,516,1982,107,27.3
517,517,1982,110,27.1
518,518,1982,113,27.0
519,519,1982,116,27.3
520,520,1982,119,27.3
521,521,1982,122,27.1
522,522,1982,125,27.0
523,523,1982,128,26.7
524,524,1982,131,26.6
525,525,1982,134,26.3
526,526,1982,137,25.8
527,527,1982,140,25.4
528,528,1982,143,25.3
529,529,1982,146,25.9
530,530,1982,149,25.9
531,531,1982,152,25.4
532,532,1982,155,25.1
533,533,1982,158,24.6
534,534,1982,161,24.2
535,535,1982,164,23.8
536,536,1982,167,23.3
537,537,1982,170,23.2
538,538,1982,173,23.8
539,539,1982,176,23.8
540,540,1982,179,23.5
541,541,1982,182,23.2
542,542,1982,185,23.1
543,543,1982,188,22.9
544,544,1982,191,22.5
545,545,1982,194,22.1
546,546,1982,197,22.2
547,547,1982,200,22.4
548,548,1982,203,22.7
549,549,1982,206,22.8
550,550,1982,209,23.0
551,551,1982,212,23.1
552,552,1982,215,23.2
553,553,1982,218,23.1
554,554,1982,221,23.0
555,555,1982,224,23.1
556,556,1982,227,23.2
557,557,1982,230,23.3
558,558,1982,233,23.7
559,559,1982,236,24.5
560,560,1982,239,24.7
561,561,1982,242,24.8
562,562,1982,245,24.9
563,563,1982,248,25.0
564,564,1982,251,25.1
565,565,1982,254,25.1
566,566,1982,257,24.9
567,567,1982,260,25.1
568,568,1982,263,25.5
569,569,1982,266,25.6
570,570,1982,269,25.6
571,571,1982,272,25.7
572,572,1982,275,25.9
573,573,1982,278,26.1
574,574,1982,281,26.5
575,575,1982,284,26.2
576,576,1982,287,26.2
577,577,1982,290,26.4
578,578,1982,293,26.5
579,579,1982,296,26.8
580,580,1982,299,27.0
581,581,1982,302,26.8
582,582,1982,305,26.5
583,583,1982,308,26.5
584,584,1982,311,26.7
585,585,1982,314,26.6
586,586,1982,317,26.4
587,587,1982,320,26.5
588,588,1982,323,26.7
589,589,1982,326,26.5
590,590,1982,329,26.4
591,591,1982,332,26.5
592,592,1982,335,26.7
593,593,1982,338,26.9
594,594,1982,341,26.7
595,595,1982,344,26.6
596,596,1982,347,26.7
597,597,1982,350,27.4
598,598,1982,353,27.6
599,599,1982,356,27.4
600,600,1982,360,27.2
601,601,1983,2,27.2
602,602,1983,5,27.3
603,603,1983,8,27.3
604,604,1983,11,27.2
605,605,1983,14,27.1
606,606,1983,17,26.9
607,607,1983,20,26.9
608,608,1983,23,26.8
609,609,1983,26,27.1
610,610,1983,29,27.1
611,611,1983,32,26.9
612,612,1983,35,26.9
613,613,1983,38,26.9
614,614,1983,41,27.1
615,615,1983,44,27.4
616,616,1983,47,27.3
617,617,1983,50,27.3
