threeday_yrmo,threeday_yr,year,dayofyear,varPAR-VarZ-VarK
433,433,1981,218,42.8
434,434,1981,221,40.1
435,435,1981,224,41.3
436,436,1981,227,40.2
437,437,1981,230,40.2
438,438,1981,233,37.0
439,439,1981,236,32.7
440,440,1981,239,32.3
441,441,1981,242,31.6
442,442,1981,245,30.4
443,443,1981,248,31.4
444,444,1981,251,37.6
445,445,1981,254,31.8
446,446,1981,257,34.2
447,447,1981,260,31.1
448,448,1981,263,22.0
449,449,1981,266,19.9
450,450,1981,269,26.8
451,451,1981,272,22.8
452,452,1981,275,16.4
453,453,1981,278,14.4
454,454,1981,281,9.8
455,455,1981,284,26.5
456,456,1981,287,24.0
457,457,1981,290,22.8
458,458,1981,293,23.3
459,459,1981,296,22.2
460,460,1981,299,9.3
461,461,1981,302,13.7
462,462,1981,305,5.1
463,463,1981,308,17.2
464,464,1981,311,13.4
465,465,1981,314,10.2
466,466,1981,317,9.5
467,467,1981,320,8.3
468,468,1981,323,6.2
469,469,1981,326,7.8
470,470,1981,329,5.7
471,471,1981,332,9.8
472,472,1981,335,4.1
473,473,1981,338,3.9
474,474,1981,341,8.9
475,475,1981,344,4.1
476,476,1981,347,6.0
477,477,1981,350,5.6
478,478,1981,353,3.8
479,479,1981,356,5.7
480,480,1981,360,5.4
481,481,1982,2,7.6
482,482,1982,5,7.4
483,483,1982,8,3.2
484,484,1982,11,4.6
485,485,1982,14,7.1
486,486,1982,17,2.4
487,487,1982,20,6.1
488,488,1982,23,2.7
489,489,1982,26,3.2
490,490,1982,29,5.4
491,491,1982,32,6.3
492,492,1982,35,14.1
493,493,1982,38,16.6
494,494,1982,41,13.2
495,495,1982,44,4.0
496,496,1982,47,7.2
497,497,1982,50,10.3
498,498,1982,53,15.6
499,499,1982,56,6.4
500,500,1982,59,12.8
501,501,1982,62,9.9
502,502,1982,65,24.1
503,503,1982,68,22.8
504,504,1982,71,17.3
505,505,1982,74,31.0
506,506,1982,77,35.1
507,507,1982,80,37.1
508,508,1982,83,28.7
509,509,1982,86,25.2
510,510,1982,89,24.5
511,511,1982,92,24.1
512,512,1982,95,36.0
513,513,1982,98,40.5
514,514,1982,101,28.9
515,515,1982,104,24.2
516,516,1982,107,33.3
517,517,1982,110,50.7
518,518,1982,113,48.8
519,519,1982,116,52.3
520,520,1982,119,34.5
521,521,1982,122,25.5
522,522,1982,125,51.0
523,523,1982,128,48.8
524,524,1982,131,45.3
525,525,1982,134,24.2
526,526,1982,137,32.4
527,527,1982,140,37.7
528,528,1982,143,35.2
529,529,1982,146,44.3
530,530,1982,149,55.3
531,531,1982,152,40.1
532,532,1982,155,46.9
533,533,1982,158,48.3
534,534,1982,161,47.6
535,535,1982,164,33.5
536,536,1982,167,40.3
537,537,1982,170,38.8
538,538,1982,173,38.6
539,539,1982,176,33.5
540,540,1982,179,25.6
541,541,1982,182,26.6
542,542,1982,185,17.7
543,543,1982,188,28.4
544,544,1982,191,34.3
545,545,1982,194,20.8
546,546,1982,197,22.8
547,547,1982,200,25.6
548,548,1982,203,29.7
549,549,1982,206,33.6
550,550,1982,209,31.5
551,551,1982,212,27.2
552,552,1982,215,22.0
553,553,1982,218,22.6
554,554,1982,221,18.9
555,555,1982,224,17.3
556,556,1982,227,27.9
557,557,1982,230,30.9
558,558,1982,233,30.9
559,559,1982,236,34.0
560,560,1982,239,29.4
561,561,1982,242,18.9
