threeday_yrmo,threeday_yr,year,dayofyear,stdfilter_varmixing_m
343,343,1980.0,308.0,1.1
344,344,1980.0,311.0,1.1
345,345,1980.0,314.0,1.1
346,346,1980.0,317.0,1.1
347,347,1980.0,320.0,1.1
348,348,1980.0,323.0,1.1
349,349,1980.0,326.0,1.1
350,350,1980.0,329.0,1.1
351,351,1980.0,332.0,1.2
352,352,1980.0,335.0,1.2
353,353,1980.0,338.0,1.2
354,354,1980.0,341.0,1.2
355,355,1980.0,344.0,1.2
356,356,1980.0,347.0,1.2
357,357,1980.0,350.0,1.2
358,358,1980.0,353.0,1.2
359,359,1980.0,356.0,1.1
360,360,1980.0,361.0,1.1
361,361,1981.0,2.0,1.1
362,362,1981.0,5.0,1.1
363,363,1981.0,8.0,1.1
364,364,1981.0,11.0,1.2
365,365,1981.0,14.0,1.2
366,366,1981.0,17.0,1.2
367,367,1981.0,20.0,1.2
368,368,1981.0,23.0,1.1
369,369,1981.0,26.0,1.0
370,370,1981.0,29.0,1.0
371,371,1981.0,32.0,1.0
372,372,1981.0,35.0,1.0
373,373,1981.0,38.0,1.1
374,374,1981.0,41.0,1.2
375,375,1981.0,44.0,1.2
376,376,1981.0,47.0,1.2
377,377,1981.0,50.0,1.2
378,378,1981.0,53.0,1.1
379,379,1981.0,56.0,1.0
380,380,1981.0,59.0,1.0
381,381,1981.0,62.0,1.0
382,382,1981.0,65.0,1.0
383,383,1981.0,68.0,1.1
384,384,1981.0,71.0,1.1
385,385,1981.0,74.0,1.2
386,386,1981.0,77.0,1.2
387,387,1981.0,80.0,1.1
388,388,1981.0,83.0,1.0
389,389,1981.0,86.0,1.0
390,390,1981.0,89.0,1.0
391,391,1981.0,92.0,1.0
392,392,1981.0,95.0,1.1
393,393,1981.0,98.0,1.2
394,394,1981.0,101.0,1.2
395,395,1981.0,104.0,1.2
396,396,1981.0,107.0,1.1
397,397,1981.0,110.0,1.1
398,398,1981.0,113.0,1.1
399,399,1981.0,116.0,1.1
400,400,1981.0,119.0,1.1
401,401,1981.0,122.0,1.1
402,402,1981.0,125.0,1.1
403,403,1981.0,128.0,1.0
404,404,1981.0,131.0,1.0
405,405,1981.0,134.0,0.9
406,406,1981.0,137.0,0.9
407,407,1981.0,140.0,0.9
408,408,1981.0,143.0,0.9
409,409,1981.0,146.0,0.9
410,410,1981.0,149.0,1.0
411,411,1981.0,152.0,1.0
412,412,1981.0,155.0,1.0
413,413,1981.0,158.0,1.0
414,414,1981.0,161.0,1.0
415,415,1981.0,164.0,1.0
416,416,1981.0,167.0,1.0
417,417,1981.0,170.0,0.9
418,418,1981.0,173.0,0.9
419,419,1981.0,176.0,0.9
420,420,1981.0,179.0,0.9
421,421,1981.0,182.0,0.9
422,422,1981.0,185.0,0.8
423,423,1981.0,188.0,0.8
424,424,1981.0,191.0,0.8
425,425,1981.0,194.0,0.8
426,426,1981.0,197.0,0.7
427,427,1981.0,200.0,0.8
428,428,1981.0,203.0,0.8
429,429,1981.0,206.0,0.8
430,430,1981.0,209.0,0.8
431,431,1981.0,212.0,0.8
432,432,1981.0,215.0,0.8
433,433,1981.0,218.0,0.8
434,434,1981.0,221.0,0.8
435,435,1981.0,224.0,0.7
436,436,1981.0,227.0,0.7
437,437,1981.0,230.0,0.8
438,438,1981.0,233.0,0.9
439,439,1981.0,236.0,0.9
440,440,1981.0,239.0,0.9
441,441,1981.0,242.0,0.9
442,442,1981.0,245.0,0.8
443,443,1981.0,248.0,0.8
444,444,1981.0,251.0,0.7
445,445,1981.0,254.0,0.7
446,446,1981.0,257.0,0.8
447,447,1981.0,260.0,0.9
