Date,Day of Year,Year,Total Biomass (C),N Bound (g m^-2),N Free (g m^-2),PP1-DIA,PP2-NAN,PP3-PIC,PZ1-CIL,PZ2-DIN
1997-03-18,77,1997,3.0766019162212337,5.196962696319651,19.803037303680348,1.7032814204692839,0.9585171868216317,0.1582773672662816,0.18205603586052949,0.07446990580350724
1997-03-21,80,1997,3.4987367977370627,5.910028374555848,19.08997162544415,2.056350787855544,0.9980361361548583,0.1774347037498681,0.18431204520868805,0.08260312476810419
1997-03-24,83,1997,3.9999109559534296,6.7566063445159275,18.243393655484073,2.4327912933421585,1.0885413533111787,0.1965678373597703,0.18855829556595605,0.0934521763743657
1997-03-27,86,1997,4.123167049336546,6.964809204960381,18.035190795039618,2.5264479805838387,1.1046395383915812,0.19517195517162106,0.19792783325010876,0.09897974193939622
1997-03-30,89,1997,3.5264900563038752,5.956908878891681,19.04309112110832,2.003133458911248,1.0338410741878008,0.17952357256468737,0.21056604419114455,0.09942590644899404
1997-04-02,92,1997,3.5902219715616055,6.06456414115136,18.935435858848642,1.8963693785217575,1.1188397992332026,0.24341606750803174,0.21272508189925607,0.1188716443993573
1997-04-05,95,1997,4.118659822572515,6.957195646237356,18.042804353762644,2.2236551454607048,1.2130048389704722,0.3272765580775603,0.2126603790330437,0.1420629010307339
1997-04-08,98,1997,5.441334048321225,9.191442649191258,15.808557350808742,3.3686863894732495,1.2907704629988042,0.39779254653543794,0.21755220229333302,0.16653244702040024
1997-04-11,101,1997,6.753156540894283,11.407359021780882,13.592640978219118,4.5088776880840085,1.3380026860057181,0.46447748103231756,0.23731914081101146,0.20447954496122756
1997-04-14,104,1997,7.187498173848638,12.141044212582159,12.858955787417841,4.830767587445817,1.3531494923357694,0.4826003074083688,0.27135996891642516,0.24962081774225775
1997-04-17,107,1997,6.600826822474318,11.150045308233643,13.849954691766357,4.174530771543395,1.3326319460598925,0.4896683656944419,0.30721702182068017,0.2967787173559081
1997-04-20,110,1997,6.411511629229448,10.830256130455147,14.169743869544853,4.0103123970751495,1.3232842454370464,0.43850102739514046,0.3292561470337634,0.31015781228834727
1997-04-23,113,1997,6.93358145162182,11.712130830442263,13.287869169557737,4.4906680651430815,1.3130870322011552,0.4523680115083479,0.3420342940204548,0.3354240487487811
1997-04-26,116,1997,6.487538945196934,10.958680650670495,14.041319349329505,4.189663006674569,1.234744500214199,0.3903317059548396,0.35607608618601316,0.31672364616731424
1997-04-29,119,1997,5.975669248374004,10.094035892523655,14.905964107476345,3.8000802134567837,1.1787784983526985,0.3391916505851836,0.3630422296389095,0.2945766563404281
