YEAR,Timestep,CHIN_H_MT_KM2,COHO_H_MT_KM2,CHUM_H_MT_KM2,PINK_H_MT_KM2,SOCKEYE_H_MT_KM2,CHIN_H_N,COHO_H_N,CHUM_H_N,PINK_H_N,SOCKEYE_H_N
Title,1,1,1,1,1,1,1,1,1,1,1
Weight,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Type,interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval
1971,255,0,0,0,0,0,0,0,0,0,0
1971,256,0.00003,0.0002,0.00002,0,0.00001,52072,93694,323026,0,25000
1971,257,0.00015,0.001,0.0015,0,0,264925,550979,48070000,0,0
1971,258,0,0,0,0,0,0,0,0,0,0
1971,259,0.00009,0,0,0,0,147260,0,0,0,0
1971,260,0.00007,0.00001,0,0,0,111209,4574,0,0,0
1971,261,0,0,0,0,0,0,0,0,0,0
1971,262,0,0,0,0,0,0,0,0,0,0
1971,263,0,0,0,0,0,0,0,0,0,0
1971,264,0,0,0,0,0,0,0,0,0,0
1972,265,0,0,0.00007,0.00051,0.00009,0,0,1758000,18727686,16530000
1972,266,0,0,0,0,0,0,0,0,0,0
1972,267,0,0,0,0,0,0,0,0,0,0
1972,268,0,0.00091,0.00004,0,0.00001,0,494510,884132,0,239000
1972,269,0.0001,0.00089,0.00114,0.00002,0,169019,487634,36700000,420800,0
1972,270,0.00008,0,0,0,0,129152,0,0,0,0
1972,271,0.00041,0,0,0,0,690068,0,0,0,0
1972,272,0,0,0,0,0,0,0,0,0,0
1972,273,0,0,0,0,0,0,0,0,0,0
1972,274,0,0,0,0,0,0,0,0,0,0
1972,275,0,0,0,0,0,0,0,0,0,0
1972,276,0,0,0,0,0,0,0,0,0,0
1973,277,0,0,0.00046,0,0.00023,0,0,12507000,0,26509000
1973,278,0,0,0,0,0,0,0,0,0,0
1973,279,0,0,0,0,0,0,0,0,0,0
1973,280,0,0.00003,0.00139,0,0.00008,0,13088,44313361,0,6831000
1973,281,0.00001,0.00037,0.00001,0,0,5070,197236,258924,0,0
1973,282,0.0005,0.00065,0,0,0,835111,358857,0,0,0
1973,283,0.00005,0,0,0,0,84948,0,0,0,0
1973,284,0,0,0,0,0,0,0,0,0,0
1973,285,0,0,0,0,0,0,0,0,0,0
1973,286,0,0,0,0,0,0,0,0,0,0
1973,287,0,0,0,0,0,0,0,0,0,0
1973,288,0,0,0,0,0,0,0,0,0,0
1974,289,0,0,0.00016,0.0006,0.00059,0,0,4294000,22240119,54692000
1974,290,0,0,0,0,0,0,0,0,0,0
1974,291,0,0,0,0,0,0,0,0,0,0
1974,292,0,0,0.00004,0.00002,0.00002,0,0,850316,593700,932000
1974,293,0,0.00025,0.00174,0,0,0,128220,55522228,0,0
1974,294,0.00041,0.00057,0,0,0,690618,309516,0,0,0
1974,295,0.00009,0,0,0,0,116544,0,0,0,0
1974,296,0,0.00002,0,0,0,0,8500,0,0,0
1974,297,0,0,0,0,0,0,0,0,0,0
1974,298,0,0,0,0,0,0,0,0,0,0
1974,299,0,0,0,0,0,0,0,0,0,0
1974,300,0,0,0,0,0,0,0,0,0,0
1975,301,0,0,0.00023,0,0.00051,0,0,6182000,0,58935000
1975,302,0,0,0,0,0,0,0,0,0,0
1975,303,0,0,0,0,0,0,0,0,0,0
1975,304,0,0.00025,0.00003,0,0.00001,0,136835,940369,0,84000
1975,305,0.00001,0.00068,0.00203,0,0,13600,377765,65220784,0,0
1975,306,0.00016,0.00069,0,0,0,270419,384807,0,0,0
1975,307,0,0,0,0,0,0,0,0,0,0
1975,308,0,0,0,0,0,0,0,0,0,0
1975,309,0,0,0,0,0,0,0,0,0,0
1975,310,0,0,0,0,0,0,0,0,0,0
1975,311,0,0,0,0,0,0,0,0,0,0
1975,312,0,0,0,0,0,0,0,0,0,0
1976,313,0,0,0.00023,0.00066,0.00053,0,0,6239000,24345767,47726000
1976,314,0,0,0,0,0,0,0,0,0,0
1976,315,0,0,0,0,0,0,0,0,0,0
1976,316,0,0,0.00179,0,0.00003,0,0,57198500,0,2261000
1976,317,0,0.0012,0.00002,0.00004,0,0,672372,154483,1151200,0
1976,318,0.00095,0,0,0,0,1666042,0,0,0,0
1976,319,0,0,0,0,0,0,0,0,0,0
1976,320,0,0,0,0,0,0,0,0,0,0
1976,321,0,0,0,0,0,0,0,0,0,0
1976,322,0,0,0,0,0,0,0,0,0,0
1976,323,0,0,0,0,0,0,0,0,0,0
1976,324,0,0,0,0,0,0,0,0,0,0
1977,325,0,0,0.00022,0,0.00073,0,0,5862000,0,78468000
1977,326,0,0,0,0,0,0,0,0,0,0
1977,327,0,0.00064,0.00001,0,0,0,358316,30000,0,0
1977,328,0.00008,0.00006,0.00008,0,0.00022,42085,30000,1692240,0,18529000
1977,329,0,0.00208,0.00167,0,0,0,1165095,53680000,0,0
1977,330,0.00116,0.00079,0,0,0,2071873,429980,0,0,0
1977,331,0,0.0001,0,0,0,0,54200,0,0,0
1977,332,0,0,0,0,0,0,0,0,0,0
1977,333,0,0,0,0,0,0,0,0,0,0
1977,334,0,0,0,0,0,0,0,0,0,0
1977,335,0,0,0,0,0,0,0,0,0,0
1977,336,0,0,0,0,0,0,0,0,0,0
1978,337,0,0,0.00006,0.0008,0.00047,0,0,1649000,30085320,45022000
1978,338,0,0,0,0,0,0,0,0,0,0
1978,339,0,0,0.00001,0,0,0,0,30380,0,0
1978,340,0,0.00059,0.0016,0.00003,0.00003,0,324891,50753116,943900,2140000
1978,341,0.00001,0.0019,0.00003,0,0,17821,1033143,388029,0,0
1978,342,0.0026,0.00124,0,0,0,4553202,681622,0,0,0
1978,343,0.00001,0.0007,0,0,0,16319,385890,0,0,0
1978,344,0,0,0,0,0,0,0,0,0,0
1978,345,0,0,0,0,0,0,0,0,0,0
1978,346,0,0.00011,0,0,0,0,61833,0,0,0
1978,347,0,0,0,0,0,0,0,0,0,0
1978,348,0,0,0,0,0,0,0,0,0,0
1979,349,0,0.00001,0.00009,0,0.00059,0,4000,2390000,0,64906000
1979,350,0,0,0,0,0,0,0,0,0,0
1979,351,0.00001,0,0.00011,0,0,726,0,1441383,0,0
1979,352,0,0.00058,0.00001,0,0.00001,0,324619,235980,0,225000
1979,353,0.00023,0.00124,0.00158,0,0,389904,679256,47120661,0,0
1979,354,0.00194,0.00113,0,0,0,3440660,600310,0,0,0
1979,355,0.00001,0.00006,0,0,0,12963,30000,0,0,0
1979,356,0,0,0,0,0,0,0,0,0,0
1979,357,0,0.00002,0,0,0,0,6000,0,0,0
1979,358,0,0,0,0,0,0,0,0,0,0
1979,359,0,0.00022,0,0,0,0,119448,0,0,0
1979,360,0,0.00001,0,0,0,0,2900,0,0,0
1980,361,0,0,0.00034,0.00062,0.00062,0,0,9120526,23227085,58074000
1980,362,0,0,0,0,0,0,0,0,0,0
1980,363,0.00018,0,0.00026,0.00002,0,310160,0,3968820,497715,0
1980,364,0.00002,0.0006,0.00004,0.00001,0.00004,34111,325040,1010000,51547,3000000
1980,365,0.00006,0.00633,0.00231,0.00003,0,87658,3511844,63474545,924800,0
1980,366,0.00364,0.00115,0,0.00001,0,6496976,593399,0,25717,0
1980,367,0.00001,0.0001,0,0,0,1645,50504,0,0,0
1980,368,0,0.00007,0,0,0,0,35000,0,0,0
1980,369,0,0.00011,0,0,0,0,45561,0,0,0
1980,370,0,0,0,0,0,0,0,0,0,0
1980,371,0,0,0,0,0,0,0,0,0,0
1980,372,0,0,0,0,0,0,0,0,0,0
1981,373,0,0,0.00007,0,0.00072,0,0,1872000,0,59924000
1981,374,0,0,0,0.00001,0,0,0,0,125822,0
1981,375,0,0.0005,0.00032,0.00004,0,0,274333,5940192,1250629,0
1981,376,0.00016,0.00284,0.00298,0.00002,0.00014,279685,1552691,74368196,139496,12171000
1981,377,0.00188,0.00273,0.00058,0,0,3310192,1453988,6027376,0,0
1981,378,0.00281,0.00149,0.00003,0,0,5029234,772637,22571,0,0
1981,379,0.00008,0.00027,0,0,0,96776,122511,0,0,0
1981,380,0.00002,0.00007,0,0,0,28966,36132,0,0,0
1981,381,0,0.00001,0,0,0,0,2500,0,0,0
1981,382,0,0.00002,0,0,0,0,9750,0,0,0
1981,383,0.00001,0.00037,0,0,0,4662,203154,0,0,0
1981,384,0,0,0,0,0,0,0,0,0,0
1982,385,0,0.00001,0.00011,0.00064,0.00053,0,4000,2810000,23779957,50248000
1982,386,0,0,0,0,0,0,0,0,0,0
1982,387,0,0.00002,0.00072,0.0001,0,0,1250,12099932,2617981,0
1982,388,0.0002,0.00078,0.00073,0.00004,0.00005,284663,385748,9276391,136292,4112000
1982,389,0.00056,0.006,0.00199,0.00006,0,921011,3258406,53056365,1628738,0
1982,390,0.0033,0.00646,0.00007,0,0,5890847,3563858,586186,0,0
1982,391,0.00012,0.00093,0,0,0,165839,478504,0,0,0
1982,392,0.00001,0.00001,0,0,0,9806,2000,0,0,0
1982,393,0,0.00057,0,0,0,0,310161,0,0,0
1982,394,0.00001,0.00011,0,0,0,2563,56837,0,0,0
1982,395,0,0,0,0,0,0,0,0,0,0
1982,396,0,0.00002,0,0,0,0,10000,0,0,0
1983,397,0,0.00004,0.00014,0,0.00074,0,17500,3670000,0,63286000
1983,398,0,0,0,0.00001,0,0,0,0,52067,0
1983,399,0.00004,0.00128,0.00091,0,0,52206,693369,13610911,0,0
1983,400,0.00098,0.00183,0.00382,0,0.00004,1546490,938748,90193437,0,1186800
1983,401,0.00131,0.00584,0.00224,0,0,2185219,3163529,21909519,0,0
1983,402,0.00385,0.00697,0.00008,0,0,6799323,3871883,496382,0,0
1983,403,0.00014,0.00036,0.00001,0,0,221535,193858,13,0,0
1983,404,0,0.00017,0,0,0,0,81539,0,0,0
1983,405,0,0.00013,0,0,0,0,52620,0,0,0
1983,406,0,0,0,0,0,0,0,0,0,0
1983,407,0,0.00034,0,0,0,0,183953,0,0,0
1983,408,0,0,0,0,0,0,0,0,0,0
1984,409,0,0,0.00017,0.00054,0.00063,0,0,4430000,19380917,57474000
1984,410,0,0.00004,0,0.00001,0,0,20000,0,7307,0
1984,411,0,0.00056,0.00097,0.00003,0,0,280929,14662841,711564,0
1984,412,0.0011,0.00055,0.00145,0.00007,0.00007,1873784,246485,23706245,1235522,5712000
1984,413,0.00134,0.00861,0.00398,0,0,2235724,4685084,82089703,0,0
1984,414,0.00465,0.00707,0.00008,0,0,8170181,3900956,619139,0,0
1984,415,0.00015,0.00045,0,0,0,251000,246706,0,0,0
1984,416,0,0.00064,0,0,0,0,345019,0,0,0
1984,417,0.00002,0.00029,0,0,0,10325,138796,0,0,0
1984,418,0.00001,0.00026,0,0,0,6959,122388,0,0,0
1984,419,0,0,0,0,0,0,0,0,0,0
1984,420,0,0.00027,0,0,0,0,151692,0,0,0
1985,421,0,0,0.00007,0,0.00067,0,0,1684893,0,56880000
1985,422,0,0.0004,0,0,0,0,224581,0,0,0
1985,423,0.00004,0.00011,0.00103,0,0,56378,50127,16257998,0,0
1985,424,0.00158,0.0026,0.00081,0,0.00018,2484363,1378058,10788386,0,15057000
1985,425,0.002,0.01707,0.00345,0,0,3257714,9377072,65554027,0,0
1985,426,0.00454,0.00397,0.00044,0,0,7889250,2153902,4157465,0,0
1985,427,0.00025,0.00655,0,0,0,416139,3655806,0,0,0
1985,428,0,0.00076,0,0,0,0,400981,0,0,0
1985,429,0,0.00222,0,0,0,0,1207222,0,0,0
1985,430,0.00018,0.00027,0,0,0,266590,125484,0,0,0
1985,431,0,0.00009,0,0,0,0,33096,0,0,0
1985,432,0,0,0,0,0,0,0,0,0,0
1986,433,0,0.00011,0,0,0.00002,0,56724,0,0,2815000
