,Title,YEAR_,CHIN_H_MT_,COHO_H_MT_,CHUM_H_MT_,SOCKEYE_H_MT_,PINK_H_MT_,CHIN_H_N_,COHO_H_N_,CHUM_H_N_,SOCKEYE_H_N_,PINK_H_N_,COHO_H_N_adj,COHO_H_MT_KM2_adj,CHIN_H_N_adj,CHIN_H_MT_KM2_adj,PINK_H_N_adj,PINK_H_MT_KM2_adj,SOCKEYE_H_N_adj,SOCKEYE_H_MT_KM2_adj,CHUM_H_N_adj,CHUM_H_MT_KM2_adj
45,45,1995.0,0.0011325,0.0019,0.0006041666666666,9.083333333333334e-05,1.4166666666666668e-05,24666446.0,12830123.0,153124457.0,53460183.0,5136774.0,12830123.0,0.04552624290322581,24666446.0,4.4188176120000004e-05,45400000.0,0.0006799999999999999,53460183.0,0.053460183,153124457.0,0.005975588565853659
46,46,1996.0,0.0009358333333333,0.001915,0.0006508333333333,6.333333333333333e-05,7.5e-05,20354689.0,12937497.0,121458552.0,35728779.0,29499349.0,12937497.0,0.04590724741935484,20354689.0,3.646397143714286e-05,45400000.0,0.0006799999999999999,35728779.0,0.035728779,121458552.0,0.0047398459317073175
47,47,1997.0,0.0010776923076923,0.0016307692307692,0.0004138461538461,0.0001346153846153,2.1538461538461532e-05,25425556.0,11918273.0,102762247.0,84022302.0,5522940.0,11918273.0,0.04229064612903226,25425556.0,4.5548067462857144e-05,45400000.0,0.0006799999999999999,84022302.0,0.08402230200000001,102762247.0,0.004010234029268293
48,48,1998.0,0.0008992307692307,0.0015899999999999,0.0005461538461538,4.769230769230769e-05,8.153846153846153e-05,21199694.0,11626247.0,132222518.0,26670538.0,31027995.0,11626247.0,0.041254424838709676,21199694.0,3.797773753714286e-05,45400000.0,0.0006799999999999999,26670538.0,0.026670538,132222518.0,0.005159903141463415
49,49,1999.0,0.0010984615384615,0.0016792307692307,0.0004884615384615,9.538461538461538e-05,1.153846153846154e-05,25866125.0,12271338.0,161936282.0,82442646.0,7148010.0,12271338.0,0.043543457419354836,25866125.0,4.633731535714286e-05,45400000.0,0.0006799999999999999,82442646.0,0.08244264600000001,161936282.0,0.006319464663414634
50,50,2000.0,0.0012741666666666,0.0021216666666666,0.000485,0.0001516666666666,5.75e-05,27720840.0,14331042.0,144766947.0,67418752.0,20501293.0,14331042.0,0.050852084516129034,27720840.0,4.9659904800000006e-05,45400000.0,0.0006799999999999999,67418752.0,0.067418752,144766947.0,0.005649441834146342
51,51,2001.0,0.0011025,0.0022316666666666,0.0004541666666666,0.0001199999999999,1.4166666666666666e-05,24000294.0,15067577.0,125086923.0,50695561.0,7682735.0,15067577.0,0.05346559580645161,24000294.0,4.2994812394285715e-05,45400000.0,0.0006799999999999999,50695561.0,0.050695561,125086923.0,0.004881440897560976
52,52,2002.0,0.0012507692307692,0.0019292307692307,0.0005430769230769,0.0001115384615384,5.846153846153847e-05,29483872.0,14109073.0,174285140.0,61422367.0,25288122.0,14109073.0,0.05006445258064516,29483872.0,5.281825069714286e-05,45400000.0,0.0006799999999999999,61422367.0,0.061422367000000005,174285140.0,0.006801371317073171
53,53,2003.0,0.0011683333333333,0.0019391666666666,0.0005625,0.0002083333333333,1.7500000000000002e-05,25436934.0,13090018.0,163811215.0,98698810.0,8630189.0,13090018.0,0.04644845096774194,25436934.0,4.556845033714286e-05,45400000.0,0.0006799999999999999,98698810.0,0.09869881000000001,163811215.0,0.006392632780487805
54,54,2004.0,0.0010723076923076,0.0014053846153846,0.0003676923076923,0.0001430769230769,4.230769230769231e-05,25292628.0,10269916.0,105028308.0,94840107.0,20794458.0,10269916.0,0.03644163741935484,25292628.0,4.530993644571429e-05,45400000.0,0.0006799999999999999,94840107.0,0.094840107,105028308.0,0.004098665678048781
