Date,SalinVertMean10m
1994-06-15,23.30710295291301
1994-07-15,23.626077414205906
1994-08-15,24.277893056664006
1994-09-15,25.626476456504395
1994-10-15,26.598224261771744
1994-11-15,26.814106145251394
1994-12-15,26.690562649640864
1995-01-15,26.491939345570632
1995-02-15,26.64475259377494
1995-03-15,26.699521149241814
1995-04-15,26.261173184357535
1995-05-15,25.607023144453315
1995-06-15,24.34499201915403
1995-07-15,24.425917797286512
1995-08-15,24.511173184357542
1995-09-15,25.626356743814846
1995-10-15,26.17733439744613
1995-11-15,26.1622905027933
1995-12-15,25.850019952114923
1996-01-15,25.8158419792498
1996-02-15,26.10506783719074
1996-03-15,26.157023144453312
1996-04-15,25.71711891460495
1996-05-15,24.648264166001596
1996-06-15,23.65089784517159
1996-07-15,24.112051077414208
1996-08-15,24.88922585794094
