Date,MixingTurboZ
1994-06-15,11.582901037509975
1994-07-15,10.957242617717478
1994-08-15,11.009477254588987
1994-09-15,11.176456504389463
1994-10-15,12.404808459696728
1994-11-15,17.343894652833203
1994-12-15,18.26502394253791
1995-01-15,16.337649640861933
1995-02-15,16.162330407023145
1995-03-15,15.935814046288904
1995-04-15,13.47198723064645
1995-05-15,11.866540303272146
1995-06-15,11.84732641660016
1995-07-15,11.424880287310454
1995-08-15,11.188806863527535
1995-09-15,11.188447725458898
1995-10-15,12.485674381484436
1995-11-15,13.695450917797288
1995-12-15,15.490143655227456
1996-01-15,15.90109736632083
1996-02-15,15.269592976855547
1996-03-15,13.658120510774141
1996-04-15,13.824840383080607
1996-05-15,12.229429369513166
1996-06-15,11.48549481245012
1996-07-15,10.971707901037512
1996-08-15,11.015622505985634
