Date,SalinVertMean
1994-06-15,10.25696328810854
1994-07-15,10.260295291300878
1994-08-15,10.303451715881884
1994-09-15,10.386133280127694
1994-10-15,10.46254988028731
1994-11-15,10.46697924980048
1994-12-15,10.442637669592976
1995-01-15,10.406264964086194
1995-02-15,10.383539505187551
1995-03-15,10.371667996807663
1995-04-15,10.35109736632083
1995-05-15,10.328551476456504
1995-06-15,10.29074221867518
1995-07-15,10.299301675977654
1995-08-15,10.33272146847566
1995-09-15,10.400159616919394
1995-10-15,10.452972865123703
1995-11-15,10.451416600159616
1995-12-15,10.407621707901038
1996-01-15,10.368156424581006
1996-02-15,10.3530526735834
1996-03-15,10.35
1996-04-15,10.340103750997605
1996-05-15,10.296508379888268
1996-06-15,10.267398244213886
1996-07-15,10.287071029529129
1996-08-15,10.356185155626497
