Date,yvelocMean10m
1993-01-15,-0.8109537110933761
1993-02-15,-1.6805067837190744
1993-03-15,-0.5250997605746208
1993-04-15,0.6454708699122109
1993-05-15,-1.1243016759776536
1993-06-15,-2.31231045490822
1993-07-15,-2.2922785315243415
1993-08-15,-3.9156025538707104
1993-09-15,-3.8181165203511576
1993-10-15,-3.078192338387869
1993-11-15,-2.5798084596967277
1993-12-15,-1.2638667198723064
1994-01-15,-0.9574221867517958
1994-02-15,0.3669393455706304
1994-03-15,-1.834956105347167
1994-04-15,-1.640103750997606
1994-05-15,-1.3839185953711093
1994-06-15,-1.8523743016759777
1994-07-15,-3.053651237031125
1994-08-15,-3.4629688747007186
1994-09-15,-3.5937350359138067
1994-10-15,-1.8772545889864327
1994-11-15,-0.4904030327214684
1994-12-15,-0.014624900239425597
