Date,xvelocMean4m
1986-12-15,-1.3000199521149243
1987-01-15,-0.784437350359138
1987-02-15,-1.0274341580207502
1987-03-15,-1.1251596169193936
1987-04-15,-1.2353950518754988
1987-05-15,-2.0742617717478056
1987-06-15,-2.4167996807661614
1987-07-15,-1.575099760574621
1987-08-15,-1.4362529928172387
1987-09-15,-1.2799680766161212
1987-10-15,-1.379249800478851
1987-11-15,-1.0297685554668794
1987-12-15,-1.1374700718276138
1988-01-15,-1.1215482841181166
1988-02-15,-1.2367118914604947
1988-03-15,-0.9579608938547485
1988-04-15,-1.1378890662410217
1988-05-15,-1.974002394253791
1988-06-15,-2.1366919393455706
1988-07-15,-1.6194533120510775
1988-08-15,-1.3941739824421389
1988-09-15,-1.4936552274541104
1988-10-15,-1.3194732641660016
1988-11-15,-1.0214086193136473
1988-12-15,-1.1021348762968874
1989-01-15,-0.6743216280925778
1989-02-15,-1.4203511572226657
1989-03-15,-0.5900438946528332
1989-04-15,-1.8004988028731046
1989-05-15,-1.9793096568236233
1989-06-15,-1.8502394253790904
1989-07-15,-1.8428970470869912
1989-08-15,-1.2880087789305665
1989-09-15,-1.6783320031923386
1989-10-15,-1.0907621707901036
1989-11-15,-1.1650239425379092
1989-12-15,-1.0114724660814047
1990-01-15,-1.2663008778930565
1990-02-15,-1.3410814046288906
1990-03-15,-1.2334996009577015
1990-04-15,-1.5011173184357542
1990-05-15,-1.9365522745411015
1990-06-15,-2.2704509177972865
1990-07-15,-2.1150837988826816
1990-08-15,-1.0922585794094173
1990-09-15,-1.7306464485235435
1990-10-15,-1.054708699122107
1990-11-15,-1.1467877094972068
1990-12-15,-1.2901636073423781
1991-01-15,-1.2483439744612927
1991-02-15,-1.3175778132482046
1991-03-15,-1.3481245011971268
1991-04-15,-1.5433958499600957
1991-05-15,-2.136292897047087
1991-06-15,-2.087709497206704
1991-07-15,-2.0705706304868317
1991-08-15,-1.5428371907422185
1991-09-15,-1.8111133280127691
1991-10-15,-1.5465283320031922
1991-11-15,-1.2920391061452512
1991-12-15,-0.9401037509976056
1992-01-15,-0.795051875498803
1992-02-15,-1.2502593774940145
1992-03-15,-1.854509177972865
1992-04-15,-1.4820031923383878
1992-05-15,-2.3278132482043095
1992-06-15,-1.7050279329608935
1992-07-15,-1.9638268156424583
1992-08-15,-1.336931364724661
1992-09-15,-1.435075818036712
1992-10-15,-1.5653032721468478
1992-11-15,-1.6011173184357541
1992-12-15,-1.6953511572226656
1993-01-15,-1.4585794094173983
1993-02-15,-1.4322825219473263
1993-03-15,-1.3401835594573024
1993-04-15,-0.8893655227454111
1993-05-15,-2.07938946528332
1993-06-15,-1.8201316839584996
1993-07-15,-1.5626496408619315
1993-08-15,-1.7615722266560256
1993-09-15,-1.4031324820430966
1993-10-15,-1.1897845171588188
1993-11-15,-1.0009177972865124
1993-12-15,-1.2430167597765363
1994-01-15,-1.072585794094174
1994-02-15,-0.8071827613727056
1994-03-15,-1.5943335993615324
1994-04-15,-1.5331803671189144
1994-05-15,-2.1985434956105347
1994-06-15,-1.8990223463687155
1994-07-15,-1.9066241021548285
1994-08-15,-1.4673782920989624
1994-09-15,-1.0723264166001598
1994-10-15,-1.1241620111731845
1994-11-15,-1.257561851556265
1994-12-15,-0.961292897047087
1995-01-15,-0.9281923383878692
1995-02-15,-1.7346169193934555
1995-03-15,-1.1455307262569832
1995-04-15,-1.3832801276935356
1995-05-15,-2.407861133280128
1995-06-15,-2.2048084596967277
1995-07-15,-1.657761372705507
1995-08-15,-1.37414205905826
1995-09-15,-1.096189146049481
1995-10-15,-1.468854748603352
1995-11-15,-0.9720271348762968
1995-12-15,-1.3684756584197926
1996-01-15,-1.2964684756584197
1996-02-15,-1.4851356743814845
1996-03-15,-1.1557462090981645
1996-04-15,-1.0603551476456505
1996-05-15,-1.53158419792498
1996-06-15,-2.047126895450918
1996-07-15,-2.407561851556265
1996-08-15,-1.4064245810055866
1996-09-15,-1.712709497206704
1996-10-15,-1.638826815642458
1996-11-15,-1.31378691141261
1996-12-15,-1.306005586592179
1997-01-15,-1.0322027134876297
1997-02-15,-1.3805267358339983
1997-03-15,-0.5460893854748603
1997-04-15,-1.5080806065442938
1997-05-15,-2.4046488427773345
1997-06-15,-2.5541300877893054
1997-07-15,-2.013347964884278
1997-08-15,-1.921807661612131
1997-09-15,-1.4223064644852355
1997-10-15,-1.9551077414205906
1997-11-15,-1.6163607342378294
1997-12-15,-1.1848363926576215
1998-01-15,-1.1297486033519553
1998-02-15,-0.7689146049481246
1998-03-15,-1.1701516360734237
1998-04-15,-1.7757382282521947
1998-05-15,-1.9761771747805268
1998-06-15,-1.9498204309656824
1998-07-15,-1.4044293695131687
1998-08-15,-1.640802075019952
1998-09-15,-1.2731843575418993
1998-10-15,-0.818335993615323
1998-11-15,-1.0426576217079013
1998-12-15,-1.0373503591380688
1999-01-15,-0.8212689545091781
1999-02-15,-0.520191540303272
1999-03-15,-0.8497206703910615
1999-04-15,-1.8193735035913807
1999-05-15,-1.9279728651237031
1999-06-15,-2.2883080606544293
1999-07-15,-2.334577015163607
1999-08-15,-1.7282521947326417
1999-09-15,-1.8389265762170792
1999-10-15,-1.404708699122107
1999-11-15,-1.2696528332003192
1999-12-15,-1.1706304868316042
2000-01-15,-1.1677972865123702
2000-02-15,-1.1935953711093374
2000-03-15,-1.0513168395849959
2000-04-15,-0.9775538707102953
2000-05-15,-1.8152434158020754
2000-06-15,-2.2002992817238627
2000-07-15,-2.1590582601755783
2000-08-15,-1.425119712689545
2000-09-15,-1.330506783719074
2000-10-15,-1.6027733439744614
2000-11-15,-1.4830806065442936
2000-12-15,-1.3843575418994412
2001-01-15,-0.9359138068635275
2001-02-15,-1.6365123703112532
2001-03-15,-1.0709696727853153
2001-04-15,-0.9518355945730246
2001-05-15,-1.8935155626496407
2001-06-15,-2.1046089385474858
2001-07-15,-1.695271348762969
2001-08-15,-1.6776735833998404
2001-09-15,-1.4077015163607343
2001-10-15,-1.040223463687151
2001-11-15,-1.110075818036712
2001-12-15,-1.282661612130886
2002-01-15,-0.6764365522745411
2002-02-15,-1.3083998403830805
2002-03-15,-0.9566041500399042
2002-04-15,-1.2797086991221072
2002-05-15,-1.9517956903431763
2002-06-15,-2.3742817238627296
2002-07-15,-2.0511372705506785
2002-08-15,-1.620830007980846
2002-09-15,-1.4465083798882683
2002-10-15,-1.3994014365522747
2002-11-15,-1.1657023144453311
2002-12-15,-0.9782721468475659
2003-01-15,-0.8547885075818038
2003-02-15,-1.318994413407821
2003-03-15,-0.6153631284916201
2003-04-15,-1.0797286512370312
2003-05-15,-1.8585993615323222
2003-06-15,-2.074860335195531
2003-07-15,-1.5984237829209897
2003-08-15,-1.4545291300877894
2003-09-15,-1.3997605746209099
2003-10-15,-1.2900837988826814
2003-11-15,-1.6900039904229847
2003-12-15,-0.7737829209896249
2004-01-15,-0.9536911412609735
2004-02-15,-1.2873304070231444
2004-03-15,-1.0366919393455705
2004-04-15,-1.6665203511572226
2004-05-15,-1.5891460494812453
2004-06-15,-1.9200119712689545
2004-07-15,-1.5596967278531524
2004-08-15,-1.1928770949720673
2004-09-15,-1.6304469273743016
2004-10-15,-1.5369114126097367
2004-11-15,-1.4100758180367121
2004-12-15,-1.4650239425379088
2005-01-15,-1.2775538707102954
2005-02-15,-1.724880287310455
2005-03-15,-1.26512370311253
2005-04-15,-1.1267158818834797
2005-05-15,-2.0781723862729446
2005-06-15,-1.8778930566640064
2005-07-15,-1.7180766161213088
2005-08-15,-1.5024740622505985
2005-09-15,-1.3653232242617717
2005-10-15,-0.8993814844373506
2005-11-15,-1.3153431763766958
2005-12-15,-1.1113527533918595
2006-01-15,-0.5671588188347965
2006-02-15,-1.771169193934557
2006-03-15,-1.0664804469273743
2006-04-15,-1.456803671189146
2006-05-15,-2.0571827613727054
2006-06-15,-1.961652035115722
2006-07-15,-1.4636671987230647
2006-08-15,-1.5401835594573023
2006-09-15,-1.1426975259377496
2006-10-15,-1.1429369513168397
2006-11-15,-0.9308858739026336
2006-12-15,-1.0741021548284118
2007-01-15,-1.1317438148443735
2007-02-15,-0.7154828411811652
2007-03-15,-0.8744213886671987
2007-04-15,-1.3796887470071828
2007-05-15,-2.010155626496409
2007-06-15,-2.040682362330407
2007-07-15,-2.025758180367119
2007-08-15,-1.47061053471668
2007-09-15,-1.2054070231444534
2007-10-15,-1.51316839584996
2007-11-15,-1.4475857940941739
2007-12-15,-1.1913208300079807
2008-01-15,-0.5704908220271347
2008-02-15,-1.1684956105347166
2008-03-15,-0.8154628890662411
2008-04-15,-0.8993216280925778
2008-05-15,-2.001875498802873
2008-06-15,-2.400079808459697
2008-07-15,-1.6533918595371109
2008-08-15,-1.428152434158021
2008-09-15,-1.4843575418994412
2008-10-15,-1.2322027134876299
2008-11-15,-1.194632881085395
2008-12-15,-1.365243415802075
2009-01-15,-1.2898443735035914
