Date,xvelocVertMean
1992-09-15,-0.011312849162011177
1992-10-15,-0.015023942537909013
1992-11-15,-0.019792498004788505
1992-12-15,-0.021328810853950508
1993-01-15,-0.024700718276137273
1993-02-15,-0.025718276137270533
1993-03-15,-0.025219473264166004
1993-04-15,-0.022486033519553077
1993-05-15,-0.025079808459696738
1993-06-15,-0.014604948124501192
1993-07-15,-0.01213088587390264
1993-08-15,-0.009217877094972085
1993-09-15,-0.010993615323224256
1993-10-15,-0.013407821229050277
1993-11-15,-0.016500399042298483
1993-12-15,-0.02306464485235435
1994-01-15,-0.02567837190742219
1994-02-15,-0.025578611332801263
1994-03-15,-0.022944932162809253
1994-04-15,-0.01715881883479648
1994-05-15,-0.015303272146847575
1994-06-15,-0.01540303272146848
1994-07-15,-0.009596967278531512
