date,ewe_row,ewe_col,n_depths,min_depth,max_depth,pad_surface,pad_deep,extrap_surface,extrap_deep,cast_nitrogen_int_mmol_m2,cast_nitrogen_avg_mmol_L,year,day_of_year,biweekly,date_rep,zmin_m,zmax_m,n_casts,mean_n_depths,mean_max_depth,frac_pad_surface,frac_pad_deep,frac_extrap_surface,frac_extrap_deep,avg_nitrogen_mmol_m2_obs,avg_nitrogen_mmol_L_obs,avg_nitrogen_gN_m2_obs,avg_nitrogen_umol_L_obs,avg_nitrogen_primary_mmol_m2_obs,model_time,model_t_idx,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL,PZ2-DIN,PZ3-HNF,PP1-DIA,PP2-NAN,PP3-PIC,BA1-BAC,DE1-POC,N_FLUX_MULT
2017-07-15,77,35,2,0.1,20.0,False,False,False,False,77.61,0.0039000000000000003,2017,196,14,2017-07-15,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,77.61,0.0039000000000000003,1.087059987,3.9000000000000004,77.61,2017-07-16,4745,0.00240017427131534,0.000103299964393955,0.191816285252571,0.021239411085844,0.954896688461304,1.25614535808563,0.203813448548317,0.778806984424591,0.819222450256348,0.00246725510805845,0.0879966840147972,0.173099994659424,0.0379858054220676,0.90115875005722,0.450882762670517,0.869156360626221,0.504965901374817,2.07027268409729,0.298159241676331,0.0671537816524506,,0.717135
2017-07-15,69,34,2,0.1,20.0,False,False,False,False,88.55499999999999,0.00445,2017,196,14,2017-07-15,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,88.55499999999999,0.00445,1.2403633185,4.45,88.55499999999999,2017-07-16,4745,0.00237186951562762,0.000102643898571841,0.191003322601318,0.00926707312464714,0.946357905864716,1.21410155296326,0.201362818479538,0.762425899505615,0.817067265510559,0.00242407596670091,0.0853780508041382,0.144099459052086,0.0411187820136547,0.969184458255768,0.478453993797302,0.927119731903076,0.733140170574188,2.41495180130005,0.363875448703766,0.0675686076283455,,1.0
2017-07-15,68,19,2,0.1,20.0,False,False,False,False,76.11749999999999,0.003825,2017,196,14,2017-07-15,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,76.11749999999999,0.003825,1.06615498725,3.8249999999999997,76.11749999999999,2017-07-16,4745,0.0024006727617234,0.000105323480966035,0.195885479450226,0.0296748299151659,0.435992538928986,1.21635496616364,0.196927770972252,0.749720811843872,0.841036975383759,0.00246598944067955,0.0824767276644707,0.157315000891685,0.0381472222507,0.940942823886871,0.452640116214752,0.890395104885101,0.615019202232361,2.45106506347656,0.378798544406891,0.073818065226078,,1.0
2017-07-17,133,44,2,0.1,20.0,False,False,False,False,94.52499999999999,0.00475,2017,198,15,2017-07-17,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,94.52499999999999,0.00475,1.3239833175,4.75,94.52499999999999,2017-07-16,4745,0.00287636718712747,0.000127073275507428,0.243430495262146,0.0363830551505089,0.407700061798096,1.23713862895966,0.260129421949387,1.17286968231201,1.2551566362381,0.00293541210703552,0.111835710704327,0.28701788187027,0.0474345088005066,1.26951920986176,0.857910752296448,0.899828672409058,2.81569600105286,1.91065669059753,0.258461147546768,0.0931340083479881,,0.788849
2017-07-17,125,46,2,0.1,20.0,False,False,False,False,33.332499999999996,0.0016749999999999998,2017,198,15,2017-07-17,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,33.332499999999996,0.0016749999999999998,0.46687832774999993,1.6749999999999998,33.332499999999996,2017-07-16,4745,0.00251924991607666,0.000112861613160931,0.223653391003609,0.0447203889489174,0.00646842597052455,1.22420263290405,0.248593926429749,1.13265776634216,1.2371187210083,0.00274897087365389,0.110286369919777,0.262403786182404,0.0473390333354473,1.28316581249237,0.841623425483704,0.940205037593842,2.73523497581482,2.12398266792297,0.287863224744797,0.0910647511482239,,0.745821
2017-07-17,102,59,2,0.1,20.0,False,False,False,False,101.48999999999998,0.0050999999999999995,2017,198,15,2017-07-17,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,101.48999999999998,0.0050999999999999995,1.4215399829999997,5.1,101.48999999999998,2017-07-16,4745,0.00193586794193834,7.91580532677472e-05,0.157342925667763,0.0155522562563419,1.04842519760132,1.28887593746185,0.218142986297607,0.867170572280884,0.883991241455078,0.00236098747700453,0.10089186578989,0.258673667907715,0.0450308993458748,1.05077278614044,0.52668285369873,1.03206694126129,0.982911229133606,2.66854786872864,0.38472592830658,0.0820016413927078,,1.0
2017-07-17,101,66,2,0.1,20.0,False,False,False,False,96.2165,0.004835,2017,198,15,2017-07-17,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,96.2165,0.004835,1.34767565055,4.835,96.2165,2017-07-16,4745,0.00165703461971134,6.5773660026025e-05,0.140820980072021,0.000420170486904681,0.00281716976314783,0.0252829026430845,0.00150360516272485,0.0543023943901062,0.183606579899788,0.000236525913351215,0.000220100017031655,0.0234633162617683,0.00564342876896262,0.00676225777715445,0.00591898988932371,0.0177924055606127,0.013582163490355,0.00852392334491014,0.00150589633267373,0.0990706160664558,,
2017-07-17,97,68,2,0.1,20.0,False,False,False,False,94.52499999999999,0.00475,2017,198,15,2017-07-17,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,94.52499999999999,0.00475,1.3239833175,4.75,94.52499999999999,2017-07-16,4745,0.00173135031946003,7.28713130229153e-05,0.154148817062378,0.0302099492400885,0.589872539043427,1.14240252971649,0.218502044677734,0.929489612579346,1.00725567340851,0.00203715381212533,0.0990759283304214,0.174905449151993,0.049275916069746,1.11117315292358,0.662263453006744,1.03361618518829,1.34118366241455,2.49661374092102,0.331326395273209,0.0831994041800499,,1.0
2017-07-17,97,62,2,0.1,20.0,False,False,False,False,120.39500000000001,0.006050000000000001,2017,198,15,2017-07-17,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,120.39500000000001,0.006050000000000001,1.6863366465000003,6.050000000000001,120.39500000000001,2017-07-16,4745,0.00190147827379405,7.934684981592e-05,0.159478724002838,0.0187659859657288,1.02657294273376,1.23265433311462,0.212414890527725,0.865817725658417,0.914434313774109,0.00219949544407427,0.0951167717576027,0.225715473294258,0.0460425727069378,1.0553081035614,0.54120135307312,1.00664222240448,0.862652778625488,2.62719821929932,0.378682821989059,0.0786861181259155,,1.0
2017-07-17,55,11,2,0.1,20.0,False,False,False,False,114.82299999999998,0.00577,2017,198,15,2017-07-17,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,114.82299999999998,0.00577,1.6082913140999997,5.77,114.82299999999998,2017-07-16,4745,0.00226594158448279,0.000101645033282693,0.196589455008507,0.0370431505143642,0.0748249664902687,1.19275152683258,0.205509662628174,0.824792206287384,0.947676360607147,0.0024005239829421,0.0892421379685402,0.178520873188972,0.0407334417104721,1.0380232334137,0.547085225582123,0.937979757785797,1.28835642337799,2.47516870498657,0.362825453281403,0.0769647806882858,,1.0
