Cruise,Date.Time,DayOfYear,Station,Lat,Lon,Depth.Bottom,SampleNum,Pressure,Temperature,Salinity,DO2,MLD_bvfnoSmooth,bvf_noSmooth,Chlorophyll,Nitrate_plus_Nitrite,Silicate,Diatoms1,Diatoms2,Prasinophytes,Cryptophytes,Dinoflagellates,Haptophytes,Dictyochophytes,Raphidophytes,Cyanobacteria,TchlA,total diatoms,chlidea,Me-chlide a,sum,ratio,Total cells/ml,Total autrophs/ml,centric diatoms,pennate diatoms,prasinophytes,cryptophytes,auto dinoflagellates,prymnesiophytes,dictyochophytes,raphidophytes,chlorophytes,euglenophytes,UID autotroph,unidentified dinoflagellates,unidentified flagellates,Dominant Species,sdomain,ecospace_closest_lat,ecospace_closest_lon,closest_ecospace_time,PP1-DIA,PP2-NAN,PP3-PIC,PZ1-CIL,PZ2-DIN,ssc-DIA,ssc-FLA,ssc-CIL
2015-017,2015-04-05 08:54:00,95,9,49.592,-124.638,168.0,260,1.6,9.4,27.96,6.24,22.0,0.000413689,0.91,18.51,34.73,0.06,0.0,0.0,0.07,0.0,0.54,0.0,0.0,0.0,0.67,0.06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGN,49.58761596679688,-124.63603973388672,2015-04-05 00:00:00,1.95320785045624,1.57953524589539,0.329444974660873,1.0575658082962,0.905909538269043,0.6260929107666016,0.07566295564174652,0.14001455903053284
2015-017,2015-04-05 11:29:00,95,12,49.727,-124.68,355.0,276,1.9,9.51,27.14,6.56,35.0,0.000611912,1.5,14.29,24.99,0.07,0.0,0.0,0.16,0.0,0.88,0.0,0.0,0.0,1.12,0.07,0.009,0.022,0.031,0.028,1838,1785.0,24.0,0.0,5.0,68.0,10.0,1625.0,34.0,0.0,0.0,0.0,19.0,19.0,34.0,Phaeocystis cf. globulosa,SGN,49.727420806884766,-124.67367553710936,2015-04-05 00:00:00,2.06668996810913,1.44451475143433,0.303789108991623,0.878188848495483,0.73387348651886,0.6260929107666016,0.07566295564174652,0.14001455903053284
2015-017,2015-04-05 14:32:00,96,14,49.883,-124.994,315.0,290,1.8,9.32,28.03,6.24,69.0,0.000156729,1.34,18.75,35.58,0.02,0.04,0.0,0.09,0.0,0.89,0.0,0.0,0.0,1.04,0.05,0.0,0.0,0.0,0.0,1339,1268.0,14.0,2.0,17.0,87.0,0.0,1149.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,Phaeocystis cf. globulosa,SGN,49.887741088867195,-124.9930953979492,2015-04-05 00:00:00,1.9395592212677,1.71906554698944,0.343508243560791,1.16248226165771,0.982083916664124,0.6260929107666016,0.07566295564174652,0.14001455903053284
2015-017,2015-04-05 16:37:00,96,16,49.963,-125.147,155.0,302,2.0,9.46,27.96,6.28,5.0,0.000524061,1.03,17.69,33.31,0.0,0.0,0.0,0.06,0.0,0.8,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGN,49.97072219848633,-125.1448974609375,2015-04-05 00:00:00,1.94862282276154,1.66505146026611,0.355453908443451,1.1439061164856,0.938286244869232,0.6260929107666016,0.07566295564174652,0.14001455903053284
2015-017,2015-04-07 03:24:00,97,22,49.671,-124.272,357.0,303,1.6,10.4,24.96,10.34,5.0,0.001132969,18.28,3.24,6.18,9.14,1.52,0.11,0.36,0.01,0.0,0.01,0.0,0.03,11.18,10.67,2.125,3.539,5.664,0.507,7076,6906.0,6688.0,0.0,15.0,116.0,5.0,29.0,19.0,0.0,15.0,0.0,19.0,10.0,160.0,Skeletonema costatum,SGS,49.67061996459961,-124.27959442138672,2015-04-08 00:00:00,1.94199919700623,1.54197418689728,0.368636131286621,1.07390940189362,0.78230619430542,3.8879008293151855,0.13505373895168304,0.34057238698005676
2015-020,2015-06-06 05:45:00,157,14,49.884,-124.994,313.0,394,1.8,17.71,22.54,6.59,6.0,0.005733521,0.87,0.21,13.96,0.03,0.0,0.18,0.24,0.02,0.24,0.0,0.01,0.01,0.74,0.03,0.0,0.004,0.004,0.005,,,,,,,,,,,,,,,,,SGN,49.887741088867195,-124.9930953979492,2015-06-07 00:00:00,1.41736769676208,1.8483282327652,0.745481550693512,2.11013507843018,1.27237117290497,0.2607922852039337,1.542750597000122,0.2530861496925354
2015-020,2015-06-06 08:06:00,157,11,49.706,-124.723,299.0,395,2.1,18.31,24.15,6.28,11.0,0.004122743,0.42,0.01,10.04,0.0,0.0,0.08,0.09,0.0,0.16,0.0,0.0,0.04,0.38,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGN,49.710548400878906,-124.72035217285156,2015-06-07 00:00:00,1.39842987060547,1.89490556716919,0.779041528701782,2.06974220275879,1.28575658798218,0.2607922852039337,1.542750597000122,0.2530861496925354
2015-020,2015-06-06 10:31:00,157,CPF2,49.465,-124.499,325.0,396,2.0,18.53,24.11,6.18,8.0,0.004967288,0.49,0.03,11.69,0.0,0.0,0.09,0.1,0.0,0.19,0.0,0.03,0.06,0.47,0.0,0.008,0.0,0.008,0.017,,,,,,,,,,,,,,,,,SGN,49.4697494506836,-124.4948959350586,2015-06-07 00:00:00,1.41240108013153,1.90990686416626,0.742832601070404,2.15872740745544,1.21764504909515,0.2607922852039337,1.542750597000122,0.2530861496925354
2015-020,2015-06-06 13:02:00,158,CPF1,49.366,-124.084,243.0,397,2.0,17.42,20.49,6.43,5.0,0.005653609,2.5,0.84,20.06,0.34,0.01,0.41,0.92,0.14,0.22,0.07,0.03,0.0,2.13,0.34,0.016,0.0,0.016,0.008,,,,,,,,,,,,,,,,,SGS,49.37228393554688,-124.08576965332033,2015-06-07 00:00:00,1.78829979896545,1.69326162338257,0.560210943222046,1.66691517829895,1.17798185348511,0.2607922852039337,1.542750597000122,0.2530861496925354
2015-020,2015-06-06 15:53:00,158,22,49.669,-124.272,349.0,398,2.4,17.93,18.69,6.41,9.0,0.008581228,1.08,0.28,23.57,0.27,0.02,0.16,0.19,0.03,0.12,0.0,0.01,0.01,0.81,0.29,0.023,0.026,0.049,0.06,,,,,,,,,,,,,,,,,SGS,49.67061996459961,-124.27959442138672,2015-06-07 00:00:00,1.92457807064056,1.70971310138702,0.542556822299957,1.38693761825562,1.16931903362274,0.2607922852039337,1.542750597000122,0.2530861496925354
