year,season,group,obs_anom,mod_anom
2004,Spring,ZC1-EUP,-0.18393127063000395,-0.6977780393879849
2004,Spring,ZC1-EUP,-0.2444775122379032,-0.6977780393879849
2004,Spring,ZC1-EUP,-0.33540734966651375,-0.6977780393879849
2004,Spring,ZC1-EUP,-0.3285029927726263,-0.6903600797039104
2004,Spring,ZC1-EUP,-0.2937450022812025,-0.6601028541443749
2004,Spring,ZC1-EUP,-0.33561841473915877,-0.6099947306658763
2004,Spring,ZC1-EUP,-0.2910763729805415,-0.42304237481651646
2004,Spring,ZC1-EUP,0.03892956133351544,0.5466039398241588
2004,Spring,ZC1-EUP,-0.3353982875087222,2.3526564553664904
2004,Summer,ZC1-EUP,-0.5811708794927736,0.8531764372415804
2004,Summer,ZC1-EUP,-0.5602739128980115,1.6328084205905553
