year,group,obs_anom,model_anom,Pass,Season,ObsSummary
2002,Total,-0.49627560500513096,-0.513437785843502,ZS,All,log_of_mean
2002,ZS2-CTH,-0.4100295297117271,-1.7000693839946663,ZS,All,log_of_mean
2002,ZS3-CHA,-0.395422892169361,0.08595733036196324,ZS,All,log_of_mean
2002,ZS4-LAR,-2.25159725559754,-0.6580531756144392,ZS,All,log_of_mean
2003,Total,-0.6819526959377348,0.7959588481097161,ZS,All,log_of_mean
2003,ZS2-CTH,-1.0001028518704949,-0.5687216737816779,ZS,All,log_of_mean
2003,ZS3-CHA,-0.4101739894982596,1.3729592002738435,ZS,All,log_of_mean
2003,ZS4-LAR,-0.9017843156346493,0.16458179079325916,ZS,All,log_of_mean
2004,Total,-0.33021816671194,0.971463246553488,ZS,All,log_of_mean
2004,ZS2-CTH,-0.634328285200669,0.2518120457304134,ZS,All,log_of_mean
2004,ZS3-CHA,-0.1304036476184161,1.1029827499558644,ZS,All,log_of_mean
2004,ZS4-LAR,-0.7285795646303361,-0.1104449374967027,ZS,All,log_of_mean
2005,Total,-0.3125400966147037,0.9225665505896911,ZS,All,log_of_mean
2005,ZS2-CTH,0.5500617860619251,0.8243183831562024,ZS,All,log_of_mean
2005,ZS3-CHA,-0.3459353954223692,0.6240497730999933,ZS,All,log_of_mean
2005,ZS4-LAR,-1.2963708062004635,0.005494379627803821,ZS,All,log_of_mean
2006,Total,-0.22161155019499018,0.7383615417996243,ZS,All,log_of_mean
2006,ZS2-CTH,-0.28796141006224457,0.6314751910922565,ZS,All,log_of_mean
2006,ZS3-CHA,-0.14202005216447378,0.7423952087714988,ZS,All,log_of_mean
2006,ZS4-LAR,0.2652764270002265,0.15734300781148375,ZS,All,log_of_mean
2007,Total,-1.1458498172678295,2.659124235046338,ZS,All,log_of_mean
2007,ZS2-CTH,-0.18607691093767725,1.5385021110492443,ZS,All,log_of_mean
2007,ZS3-CHA,-1.291908176603033,2.2253605038397084,ZS,All,log_of_mean
2007,ZS4-LAR,0.34878035825726156,0.5796614140129859,ZS,All,log_of_mean
2008,Total,-0.7856162283959727,0.4758948082151769,ZS,All,log_of_mean
2008,ZS2-CTH,-0.7046452732120961,-0.8253520824492484,ZS,All,log_of_mean
2008,ZS3-CHA,-0.6241584633372385,1.048381016276709,ZS,All,log_of_mean
2008,ZS4-LAR,-0.8469029696833494,-1.2241540954624928,ZS,All,log_of_mean
2009,Total,-0.3212810738947778,0.06057639542366489,ZS,All,log_of_mean
2009,ZS2-CTH,-0.447469713747505,-0.7647396038607392,ZS,All,log_of_mean
2009,ZS3-CHA,-0.7950944213139987,0.25689642641658433,ZS,All,log_of_mean
2009,ZS4-LAR,0.7194304740192617,0.05286827265916766,ZS,All,log_of_mean
2010,Total,-1.023134698803361,0.07561484847094586,ZS,All,log_of_mean
2010,ZS2-CTH,-0.49367985551101773,0.2583940225092309,ZS,All,log_of_mean
2010,ZS3-CHA,-0.9533444473169589,0.08878156446549806,ZS,All,log_of_mean
2010,ZS4-LAR,-0.1950942399844914,-0.22856525170432082,ZS,All,log_of_mean
2011,Total,-0.13698032328396695,0.4942354743568043,ZS,All,log_of_mean
2011,ZS2-CTH,0.046735018797998094,-0.5163640310611214,ZS,All,log_of_mean
2011,ZS3-CHA,-0.048426870240548224,0.4216595500211928,ZS,All,log_of_mean
2011,ZS4-LAR,0.14039828511664823,0.5117658058376215,ZS,All,log_of_mean
2012,Total,0.050439293387088524,0.2580149233750546,ZS,All,log_of_mean
2012,ZS2-CTH,0.2878068312440154,0.9768374554187522,ZS,All,log_of_mean
2012,ZS3-CHA,-0.698711359232537,0.27293106816266927,ZS,All,log_of_mean
2012,ZS4-LAR,0.2962517892003394,1.3212760851190695,ZS,All,log_of_mean
2013,Total,-0.09688533528012037,-0.6149207210990615,ZS,All,log_of_mean
2013,ZS2-CTH,-0.8142290510722963,-0.5908621620839558,ZS,All,log_of_mean
2013,ZS3-CHA,0.08259601944461618,-0.4339121170379177,ZS,All,log_of_mean
2013,ZS4-LAR,-0.277689635706363,-0.9266054140014183,ZS,All,log_of_mean
2014,Total,-0.6978214813437527,-0.05753304140366685,ZS,All,log_of_mean
2014,ZS2-CTH,-0.7239812797448574,-0.13085605489927088,ZS,All,log_of_mean
2014,ZS3-CHA,-0.46609717940373185,0.16918580101926917,ZS,All,log_of_mean
2014,ZS4-LAR,-0.5928293273158212,-0.7388958950048483,ZS,All,log_of_mean
2015,Total,0.7656268332344395,-1.0218942481225732,ZS,All,log_of_mean
2015,ZS2-CTH,0.38148261400905614,0.23595940802773988,ZS,All,log_of_mean
2015,ZS3-CHA,0.9452382736999472,-1.4044619652584471,ZS,All,log_of_mean
2015,ZS4-LAR,0.40345748045594276,0.18236132343421216,ZS,All,log_of_mean
2016,Total,0.7515186186409772,0.024951348286456343,ZS,All,log_of_mean
2016,ZS2-CTH,1.2538835960026942,0.743696630125639,ZS,All,log_of_mean
2016,ZS3-CHA,0.6330202475584765,-0.3841230562081357,ZS,All,log_of_mean
2016,ZS4-LAR,0.31535275347978525,0.41529374514313605,ZS,All,log_of_mean
2017,Total,0.8729817454669642,-1.188572626400751,ZS,All,log_of_mean
2017,ZS2-CTH,0.9665382573552694,-0.25487325211283735,ZS,All,log_of_mean
2017,ZS3-CHA,0.7835530940316658,-1.5052073810430218,ZS,All,log_of_mean
2017,ZS4-LAR,1.1108510953868942,-0.0853006127493574,ZS,All,log_of_mean
2018,Total,0.658152913294939,0.0812922170906954,ZS,All,log_of_mean
2018,ZS2-CTH,0.6904740243360175,0.3573771368240417,ZS,All,log_of_mean
2018,ZS3-CHA,0.7395184132666607,-0.009118874986195596,ZS,All,log_of_mean
2018,ZS4-LAR,0.09546563714447756,-0.08563421956615669,ZS,All,log_of_mean
2000,Total,1.0310803997436235,0.6017164675459764,ZS,All,mean_of_logs
2000,ZS2-CTH,-0.6734312601376573,-0.4719061519981186,ZS,All,mean_of_logs
2000,ZS3-CHA,1.502279732619289,1.0203668757590096,ZS,All,mean_of_logs
2000,ZS4-LAR,0.331841765671181,-0.41788235407204133,ZS,All,mean_of_logs
2001,Total,1.0423235010360383,-0.6794263393592369,ZS,All,mean_of_logs
2001,ZS2-CTH,-0.6618094505884367,-1.734806164035475,ZS,All,mean_of_logs
2001,ZS3-CHA,1.5069219199009347,0.28191561197352144,ZS,All,mean_of_logs
2001,ZS4-LAR,-0.44843064211208666,-1.116692884827644,ZS,All,mean_of_logs
2002,Total,-0.013458264038198442,-0.513437785843502,ZS,All,mean_of_logs
2002,ZS2-CTH,-0.01574195528918465,-1.7000693839946663,ZS,All,mean_of_logs
2002,ZS3-CHA,0.1585189642983587,0.08595733036196324,ZS,All,mean_of_logs
2002,ZS4-LAR,-2.1688121342324873,-0.6580531756144392,ZS,All,mean_of_logs
2003,Total,-0.13699461619326514,0.7959588481097161,ZS,All,mean_of_logs
2003,ZS2-CTH,-0.5102674901287645,-0.5687216737816779,ZS,All,mean_of_logs
2003,ZS3-CHA,0.28564636365578994,1.3729592002738435,ZS,All,mean_of_logs
2003,ZS4-LAR,-0.5666146284716488,0.16458179079325916,ZS,All,mean_of_logs
2004,Total,-0.08899620947052772,0.971463246553488,ZS,All,mean_of_logs
2004,ZS2-CTH,-0.5060108389662394,0.2518120457304134,ZS,All,mean_of_logs
2004,ZS3-CHA,0.10824757511436522,1.1029827499558644,ZS,All,mean_of_logs
2004,ZS4-LAR,-0.3732740323361428,-0.1104449374967027,ZS,All,mean_of_logs
2005,Total,0.05933331280452393,0.9225665505896911,ZS,All,mean_of_logs
2005,ZS2-CTH,0.8351720741071477,0.8243183831562024,ZS,All,mean_of_logs
2005,ZS3-CHA,0.044436880839548054,0.6240497730999933,ZS,All,mean_of_logs
2005,ZS4-LAR,-1.0290517971334483,0.005494379627803821,ZS,All,mean_of_logs
2006,Total,-0.05100313094167683,0.7383615417996243,ZS,All,mean_of_logs
2006,ZS2-CTH,-0.10939718576619889,0.6314751910922565,ZS,All,mean_of_logs
2006,ZS3-CHA,-0.30485227178794705,0.7423952087714988,ZS,All,mean_of_logs
2006,ZS4-LAR,0.36819767671706827,0.15734300781148375,ZS,All,mean_of_logs
2007,Total,-0.7626591882504759,2.659124235046338,ZS,All,mean_of_logs
2007,ZS2-CTH,0.1257701744257546,1.5385021110492443,ZS,All,mean_of_logs
2007,ZS3-CHA,-0.7719834051825541,2.2253605038397084,ZS,All,mean_of_logs
2007,ZS4-LAR,0.8810707398051342,0.5796614140129859,ZS,All,mean_of_logs
2008,Total,-0.9183688709343674,0.4758948082151769,ZS,All,mean_of_logs
2008,ZS2-CTH,-0.6721311981223179,-0.8253520824492484,ZS,All,mean_of_logs
2008,ZS3-CHA,-0.8148941065142046,1.048381016276709,ZS,All,mean_of_logs
2008,ZS4-LAR,-0.8720719450709175,-1.2241540954624928,ZS,All,mean_of_logs
2009,Total,-0.28269911973528455,0.06057639542366489,ZS,All,mean_of_logs
2009,ZS2-CTH,-0.6859474825571904,-0.7647396038607392,ZS,All,mean_of_logs
2009,ZS3-CHA,-0.9187964876213561,0.25689642641658433,ZS,All,mean_of_logs
2009,ZS4-LAR,0.63593233249215,0.05286827265916766,ZS,All,mean_of_logs
2010,Total,-0.9939030921903808,0.07561484847094586,ZS,All,mean_of_logs
2010,ZS2-CTH,-0.632729682977863,0.2583940225092309,ZS,All,mean_of_logs
2010,ZS3-CHA,-0.8490438756827284,0.08878156446549806,ZS,All,mean_of_logs
2010,ZS4-LAR,-0.11595937539637653,-0.22856525170432082,ZS,All,mean_of_logs
2011,Total,0.07063857635895625,0.4942354743568043,ZS,All,mean_of_logs
2011,ZS2-CTH,0.1965540562652599,-0.5163640310611214,ZS,All,mean_of_logs
2011,ZS3-CHA,0.18190558827206535,0.4216595500211928,ZS,All,mean_of_logs
2011,ZS4-LAR,0.08905263475607374,0.5117658058376215,ZS,All,mean_of_logs
2012,Total,-0.07823265435164695,0.2580149233750546,ZS,All,mean_of_logs
2012,ZS2-CTH,0.3693307450538226,0.9768374554187522,ZS,All,mean_of_logs
2012,ZS3-CHA,-0.49781558881091503,0.27293106816266927,ZS,All,mean_of_logs
2012,ZS4-LAR,0.5122648970432406,1.3212760851190695,ZS,All,mean_of_logs
2013,Total,-0.28832680222966944,-0.6149207210990615,ZS,All,mean_of_logs
2013,ZS2-CTH,-0.6669832581284769,-0.5908621620839558,ZS,All,mean_of_logs
2013,ZS3-CHA,-0.05962144437459654,-0.4339121170379177,ZS,All,mean_of_logs
2013,ZS4-LAR,-0.5231592962218268,-0.9266054140014183,ZS,All,mean_of_logs
2014,Total,-0.654443912333612,-0.05753304140366685,ZS,All,mean_of_logs
2014,ZS2-CTH,-0.8789737654449725,-0.13085605489927088,ZS,All,mean_of_logs
2014,ZS3-CHA,-0.3759438715468166,0.16918580101926917,ZS,All,mean_of_logs
2014,ZS4-LAR,-0.8977987544169624,-0.7388958950048483,ZS,All,mean_of_logs
2015,Total,0.7292284055541011,-1.0218942481225732,ZS,All,mean_of_logs
2015,ZS2-CTH,0.2245604885467959,0.23595940802773988,ZS,All,mean_of_logs
2015,ZS3-CHA,0.8798781913295056,-1.4044619652584471,ZS,All,mean_of_logs
2015,ZS4-LAR,0.3273100399480503,0.18236132343421216,ZS,All,mean_of_logs
2016,Total,0.6026244655639444,0.024951348286456343,ZS,All,mean_of_logs
2016,ZS2-CTH,1.1848749597317507,0.743696630125639,ZS,All,mean_of_logs
2016,ZS3-CHA,0.4942218753783783,-0.3841230562081357,ZS,All,mean_of_logs
2016,ZS4-LAR,0.3859975023601298,0.41529374514313605,ZS,All,mean_of_logs
2017,Total,0.6347451556159951,-1.188572626400751,ZS,All,mean_of_logs
2017,ZS2-CTH,0.9115485043934642,-0.25487325211283735,ZS,All,mean_of_logs
2017,ZS3-CHA,0.5552479625035976,-1.5052073810430218,ZS,All,mean_of_logs
2017,ZS4-LAR,1.0442350196426307,-0.0853006127493574,ZS,All,mean_of_logs
2018,Total,0.7238250670421069,0.0812922170906954,ZS,All,mean_of_logs
2018,ZS2-CTH,0.7556835545145912,0.3573771368240417,ZS,All,mean_of_logs
2018,ZS3-CHA,0.8488497512186441,-0.009118874986195596,ZS,All,mean_of_logs
2018,ZS4-LAR,0.05704152058737111,-0.08563421956615669,ZS,All,mean_of_logs
2002,Total,0.8877852592498306,0.7354159350674488,ZS,Winter,log_of_mean
2002,ZS2-CTH,-0.08092162998127511,-0.6921527420460543,ZS,Winter,log_of_mean
2002,ZS3-CHA,1.0462439001934758,0.7390332135312947,ZS,Winter,log_of_mean
2002,ZS4-LAR,-1.040800155770243,0.7364044047570992,ZS,Winter,log_of_mean
2004,Total,1.481140990605564,1.5194949543425516,ZS,Winter,log_of_mean
2004,ZS2-CTH,-0.4488073117939164,-0.055725536997714376,ZS,Winter,log_of_mean
2004,ZS3-CHA,1.6237174273328037,1.7841899984494298,ZS,Winter,log_of_mean
2004,ZS4-LAR,-0.6310637385344762,-1.786482651802864,ZS,Winter,log_of_mean
2005,Total,0.2474868109202623,0.10370602878400528,ZS,Winter,log_of_mean
2005,ZS2-CTH,0.13471591559344362,-0.5882067832018852,ZS,Winter,log_of_mean
2005,ZS3-CHA,0.39828064513257383,0.40102443497113544,ZS,Winter,log_of_mean
2005,ZS4-LAR,-2.0865130287704314,-1.261168097129716,ZS,Winter,log_of_mean
2007,Total,-0.17086694363321836,2.4335577142818368,ZS,Winter,log_of_mean
2007,ZS2-CTH,-0.4058278740335724,-0.055725536997714376,ZS,Winter,log_of_mean
2007,ZS3-CHA,-0.09149967223589496,2.502029876716578,ZS,Winter,log_of_mean
2007,ZS4-LAR,0.5107161140442195,-0.32200158934860146,ZS,Winter,log_of_mean
2008,Total,-0.16765361702943998,1.0860159580972706,ZS,Winter,log_of_mean
2008,ZS2-CTH,-1.0693195457769236,-1.311951627385223,ZS,Winter,log_of_mean
2008,ZS3-CHA,0.06770392955941804,1.3888238300632934,ZS,Winter,log_of_mean
2008,ZS4-LAR,-0.1740612868781598,-1.0134801753179743,ZS,Winter,log_of_mean
2009,Total,-1.1386054740269775,0.4035610515630077,ZS,Winter,log_of_mean
2009,ZS2-CTH,0.09732665563191244,-1.8126693320843923,ZS,Winter,log_of_mean
2009,ZS3-CHA,-1.5476631482235585,0.5354164437864259,ZS,Winter,log_of_mean
