timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
30,0.004076201,0.0001540893,0.222311,0.02458135,0.3787202,0.3703827,0.05657454,0.3323008,0.1394217,0.002118095,0.01176731,0.1857561,0.01352974,0.422249,0.1208518,0.1132855,0.7111835,0.9401882,0.0940723,0.1642214,2.543583,4.310119,1978-03-30,Spring
31,0.004029849,0.0001519295,0.2187865,0.02426638,0.3700241,0.3627227,0.0554226,0.3226945,0.1334249,0.002069444,0.01120282,0.1822243,0.01398399,0.4215103,0.1209698,0.1137613,0.869076,0.9540411,0.09944091,0.1593753,2.519807,4.260851,1978-04-02,Spring
32,0.003982092,0.0001497199,0.2152865,0.02396239,0.3630234,0.3552989,0.05449358,0.3169779,0.1292923,0.002021228,0.01068466,0.1788151,0.01504697,0.4419486,0.1309195,0.1159969,1.479017,0.9719458,0.1071965,0.1542795,2.517798,4.300597,1978-04-05,Spring
33,0.003933182,0.0001474742,0.2118482,0.02366681,0.3567846,0.3482418,0.053669,0.3125031,0.1261606,0.001973935,0.01022781,0.1755891,0.01619291,0.4597484,0.1429972,0.1178058,1.151828,0.9798296,0.1119637,0.1498426,2.525693,4.362874,1978-04-08,Spring
34,0.00388323,0.0001451972,0.2084644,0.02337378,0.3503416,0.3414942,0.05282799,0.3069761,0.1232491,0.001927519,0.00981586,0.1725124,0.01704383,0.4641579,0.1505651,0.1189877,1.079421,0.985886,0.1155522,0.1463533,2.530561,4.389561,1978-04-11,Spring
35,0.003832373,0.0001428959,0.2051415,0.02309237,0.3452122,0.3350577,0.05216145,0.3042916,0.1218521,0.001882074,0.009445986,0.1695858,0.01833199,0.4844818,0.1670367,0.1216056,1.677396,0.9975379,0.1221452,0.143141,2.550999,4.477361,1978-04-14,Spring
36,0.00378088,0.0001405842,0.2019191,0.02282852,0.3419467,0.3290741,0.05173614,0.3055562,0.1221879,0.001838092,0.00913744,0.1668799,0.02011168,0.5215578,0.1958481,0.1245646,1.983447,0.9994511,0.1257506,0.1407861,2.593683,4.651893,1978-04-17,Spring
37,0.003728951,0.0001382718,0.1988069,0.02256964,0.3381727,0.323561,0.05125249,0.304698,0.1224663,0.001795721,0.008884487,0.1643935,0.02119028,0.529611,0.2028738,0.1261649,1.183664,0.9988407,0.10827,0.1397938,2.630623,4.752766,1978-04-20,Spring
38,0.003676566,0.0001359556,0.1957569,0.02230704,0.3328969,0.3182963,0.05058951,0.2996624,0.1218953,0.001754413,0.008649535,0.1620118,0.02137041,0.5097349,0.2048642,0.1261979,0.8327104,1.003117,0.1210855,0.1396224,2.63819,4.733536,1978-04-23,Spring
39,0.003623763,0.0001336363,0.1927575,0.02205509,0.3287934,0.313214,0.0500861,0.2974417,0.1227671,0.00171402,0.008427861,0.1597131,0.02217134,0.5175897,0.2189197,0.1296283,1.686697,1.022143,0.135138,0.1389108,2.657162,4.782577,1978-04-26,Spring
40,0.003570805,0.000131328,0.1898638,0.02182431,0.3270728,0.308524,0.04989239,0.3006544,0.1260919,0.001675168,0.008253922,0.1576115,0.02394294,0.5575513,0.2543457,0.1353672,2.148587,1.034691,0.1446458,0.1378703,2.703431,4.966071,1978-04-29,Spring
41,0.003517955,0.0001290439,0.1871154,0.02161293,0.3269335,0.3043699,0.049904,0.306951,0.1313146,0.001638321,0.008145946,0.155777,0.02598848,0.6038101,0.2999447,0.1409488,2.366186,1.033568,0.1490526,0.1373846,2.765667,5.215288,1978-05-02,Spring
42,0.003465416,0.0001267933,0.1845248,0.02141645,0.3273897,0.3007827,0.049996,0.3133274,0.1377532,0.00160364,0.008103942,0.1542185,0.02778339,0.637239,0.3433484,0.1463735,2.201039,1.032925,0.1536018,0.1373885,2.829031,5.456173,1978-05-05,Spring
43,0.003413326,0.0001245816,0.182085,0.02123581,0.3285596,0.2977143,0.05018532,0.3199696,0.1453201,0.001571056,0.008106299,0.1529088,0.02943151,0.6679953,0.387061,0.1521099,2.448752,1.033453,0.1583509,0.1380349,2.895152,5.699027,1978-05-08,Spring
44,0.003361858,0.0001224167,0.1798048,0.02107376,0.3308129,0.2951853,0.05051767,0.3279328,0.1544081,0.001540665,0.008158325,0.151858,0.03105851,0.7018888,0.4343304,0.1581026,2.579981,1.031119,0.1617738,0.1394698,2.968126,5.966591,1978-05-11,Spring
45,0.003311174,0.0001203055,0.1776893,0.02093028,0.3339335,0.2932015,0.05096705,0.3356436,0.1649728,0.001512521,0.008243888,0.1510715,0.03256439,0.7350073,0.4829831,0.1655452,2.66865,1.036529,0.1680763,0.1410097,3.042763,6.24195,1978-05-14,Spring
46,0.003261414,0.0001182538,0.1757394,0.02080364,0.3377161,0.2917518,0.05150737,0.3437964,0.1767591,0.00148663,0.008382715,0.1505383,0.0338569,0.7641428,0.5272446,0.1727635,2.690632,1.036227,0.170963,0.1432627,3.117686,6.51136,1978-05-17,Spring
47,0.003212693,0.000116266,0.173951,0.02069316,0.3419679,0.2908045,0.05211448,0.3512315,0.1895691,0.001462942,0.008558345,0.1502418,0.03488234,0.7884392,0.5665451,0.1803492,2.684237,1.038433,0.1747094,0.1457272,3.188863,6.76297,1978-05-20,Spring
48,0.003165098,0.0001143449,0.1723188,0.02059628,0.3465374,0.2903211,0.05276548,0.360637,0.2028712,0.0014414,0.008812244,0.1501508,0.03557838,0.8062496,0.595372,0.1850511,2.668027,1.022435,0.1696861,0.1496589,3.257848,6.989758,1978-05-23,Spring
49,0.003118698,0.0001124925,0.1708341,0.02051411,0.3513458,0.2902539,0.05345115,0.3686348,0.216674,0.001421906,0.009083253,0.1502472,0.03601273,0.8205898,0.6206449,0.1906745,2.649663,1.020323,0.1712811,0.1531446,3.318511,7.189719,1978-05-26,Spring
50,0.003073542,0.0001107099,0.1694867,0.02044443,0.35618,0.2905523,0.05414674,0.3754796,0.2306021,0.001404329,0.009377959,0.1505064,0.03620369,0.8300661,0.6391724,0.1964595,2.548584,1.021189,0.1736983,0.1563574,3.370599,7.356586,1978-05-29,Spring
51,0.003029656,0.000108997,0.1682649,0.02038544,0.3611087,0.2911609,0.05486304,0.3804891,0.244702,0.001388516,0.009675624,0.1509059,0.03631888,0.8397346,0.655673,0.2035081,2.580018,1.030046,0.1787579,0.158682,3.415564,7.50279,1978-06-01,Summer
52,0.002987072,0.0001073542,0.1671647,0.02033908,0.3661657,0.2920571,0.05560204,0.386447,0.2586863,0.001374405,0.01001685,0.1514315,0.03637414,0.8483137,0.6676124,0.2091335,2.550227,1.027872,0.1781106,0.1612371,3.457886,7.635092,1978-06-04,Summer
53,0.002945809,0.0001057813,0.1661809,0.02030348,0.3713158,0.2932134,0.05635745,0.3924021,0.2724765,0.001361932,0.01038367,0.1520706,0.03635555,0.8559355,0.677131,0.2139596,2.56838,1.024563,0.1772884,0.1636582,3.496129,7.752671,1978-06-07,Summer
54,0.002905877,0.0001042777,0.1653058,0.02027371,0.3763227,0.294598,0.05710094,0.3964842,0.2858937,0.001350997,0.01074997,0.1528127,0.03619212,0.8594128,0.6831132,0.2191441,2.4341,1.028946,0.1799264,0.1653444,3.526184,7.843139,1978-06-10,Summer
55,0.002867264,0.0001028416,0.1645276,0.02024768,0.3813149,0.2961621,0.05785071,0.3989334,0.299038,0.001341445,0.0111087,0.1536369,0.03606062,0.8646072,0.6895535,0.2250096,2.509245,1.037949,0.1840913,0.1662898,3.551726,7.922387,1978-06-13,Summer
56,0.002829977,0.0001014727,0.1638446,0.0202237,0.3865409,0.2979029,0.0586392,0.3993854,0.3123882,0.001333229,0.01145194,0.1545512,0.03608715,0.8743018,0.7000415,0.2320428,2.540532,1.051884,0.189877,0.1664091,3.576217,8.008292,1978-06-16,Summer
57,0.002794025,0.0001001707,0.1632554,0.02020424,0.3919263,0.2998181,0.05945865,0.3979855,0.3259248,0.001326311,0.01179093,0.1554997,0.03621307,0.8852383,0.711841,0.2395294,2.551569,1.06654,0.1951578,0.1660361,3.599789,8.095901,1978-06-19,Summer
58,0.002759409,9.893506e-05,0.1627565,0.02018502,0.3974641,0.3018967,0.06031268,0.3915344,0.3401868,0.00132062,0.01209829,0.1563714,0.03645507,0.8979831,0.7267756,0.2482705,2.556721,1.088208,0.2035206,0.1648848,3.621094,8.183475,1978-06-22,Summer
59,0.002726125,9.776517e-05,0.1623443,0.02017089,0.4031131,0.3041284,0.06119185,0.3843427,0.3544843,0.001316101,0.01241825,0.1573077,0.03670236,0.9095743,0.7398304,0.2560323,2.555453,1.101288,0.2076021,0.1639847,3.643443,8.27071,1978-06-25,Summer
60,0.00269416,9.665963e-05,0.162013,0.02016308,0.4083073,0.3064888,0.06201925,0.3788537,0.3674806,0.001312697,0.0127724,0.1583727,0.03659581,0.9091791,0.7408627,0.2608611,2.302817,1.102997,0.2068227,0.1638604,3.660843,8.321465,1978-06-28,Summer
61,0.002663463,9.561511e-05,0.1617466,0.0201578,0.4133216,0.3089132,0.06283028,0.372438,0.3797741,0.00131024,0.01311848,0.1594392,0.03643971,0.9098375,0.7415473,0.2647496,2.435988,1.10545,0.207385,0.1638887,3.675548,8.358402,1978-07-01,Summer
62,0.002633976,9.462811e-05,0.1615302,0.02014592,0.4166568,0.3113433,0.06343772,0.3624656,0.3896627,0.001308549,0.01343817,0.1604551,0.03550249,0.8836997,0.7185686,0.2668841,1.523062,1.114984,0.210332,0.1636483,3.667497,8.289001,1978-07-04,Summer
63,0.002605535,9.368906e-05,0.1613203,0.02013808,0.419312,0.3135968,0.06396037,0.3565101,0.3966522,0.001307149,0.01376266,0.1615265,0.03462132,0.8655037,0.6950953,0.266799,2.089716,1.10997,0.2065454,0.1639854,3.658671,8.20346,1978-07-07,Summer
64,0.002578146,9.279865e-05,0.161139,0.02012933,0.4231511,0.315787,0.06463872,0.3469457,0.4056313,0.001306234,0.01401741,0.162402,0.03461915,0.8763377,0.7006536,0.2703223,2.337606,1.122082,0.2110979,0.1631049,3.661377,8.207054,1978-07-10,Summer
65,0.002551839,9.195866e-05,0.1610055,0.02012727,0.4276255,0.3180098,0.06539757,0.3393943,0.4149767,0.00130599,0.01429325,0.1633521,0.03489589,0.8922904,0.7129048,0.2732396,2.457582,1.123793,0.2114086,0.1625975,3.672404,8.25582,1978-07-13,Summer
66,0.002526624,9.116943e-05,0.160926,0.02012691,0.4321672,0.3202993,0.0661663,0.3310655,0.4244067,0.001306488,0.01457292,0.1643207,0.03508417,0.9023394,0.7229959,0.2755976,2.362048,1.126026,0.2122831,0.1622164,3.682736,8.304555,1978-07-16,Summer
67,0.002502476,9.042953e-05,0.1608933,0.02012414,0.4367234,0.3226316,0.06694201,0.3194868,0.4342408,0.00130765,0.01482945,0.1652384,0.0352492,0.9110599,0.7335066,0.2784876,2.418798,1.133851,0.2156975,0.1616509,3.69166,8.350223,1978-07-19,Summer
68,0.002479382,8.973825e-05,0.1609052,0.02011961,0.4414082,0.3250031,0.06774086,0.3043253,0.4447764,0.001309434,0.01506121,0.1660982,0.0354613,0.9206005,0.7456695,0.2820649,2.409133,1.144604,0.220126,0.1609406,3.700976,8.399998,1978-07-22,Summer
69,0.002457319,8.909454e-05,0.1609571,0.02011019,0.4460506,0.3274004,0.06854422,0.2852283,0.4559392,0.001311772,0.0152583,0.1668552,0.0356583,0.9285147,0.7573065,0.2864609,2.357929,1.160133,0.2261094,0.1599362,3.708004,8.443449,1978-07-25,Summer
70,0.00243626,8.849692e-05,0.1610446,0.02010128,0.4505824,0.3298061,0.06933895,0.2673103,0.4665672,0.001314606,0.01546193,0.1676458,0.0357729,0.9331166,0.7646196,0.2899681,2.33231,1.168053,0.2284042,0.1592612,3.715214,8.480223,1978-07-28,Summer
71,0.002416186,8.794419e-05,0.1611681,0.02010403,0.4551159,0.3322229,0.07012584,0.2582398,0.4749938,0.00131797,0.01574792,0.168708,0.03575072,0.9343942,0.7655342,0.2899363,2.397492,1.153519,0.2215019,0.159955,3.727917,8.519571,1978-07-31,Summer
72,0.002397087,8.743568e-05,0.1613283,0.02010782,0.459711,0.3346599,0.07091804,0.2484379,0.4832753,0.001321896,0.01601855,0.1697501,0.03571029,0.9370138,0.7686484,0.2899256,2.407045,1.147501,0.2194905,0.1606708,3.739961,8.557467,1978-08-03,Summer
73,0.002378944,8.697031e-05,0.1615223,0.02011306,0.4642853,0.3371084,0.07170524,0.2390477,0.4910924,0.001326348,0.01628773,0.1708062,0.03564749,0.9394662,0.7716474,0.2898837,2.41911,1.143538,0.2185209,0.1614961,3.750992,8.59193,1978-08-06,Summer
74,0.002361734,8.654696e-05,0.1617475,0.02011781,0.4688068,0.33956,0.07248534,0.2289194,0.4986902,0.001331289,0.01654349,0.1718359,0.03558486,0.941924,0.7749692,0.2903404,2.410783,1.143683,0.2190956,0.1621693,3.759999,8.621908,1978-08-09,Summer
75,0.002345432,8.616428e-05,0.1620002,0.02012138,0.4732266,0.342003,0.07325285,0.2180972,0.5060218,0.001336671,0.01678478,0.1728428,0.03551651,0.9439154,0.7777835,0.2911265,2.395779,1.145299,0.2203714,0.1626971,3.767074,8.646175,1978-08-12,Summer
76,0.002330008,8.582085e-05,0.162277,0.02012356,0.4775214,0.3444249,0.07400556,0.2066596,0.5130768,0.001342444,0.01701034,0.1738144,0.0354474,0.9454309,0.7801064,0.2922917,2.377738,1.148786,0.2219243,0.1629981,3.772156,8.664876,1978-08-15,Summer
77,0.002315434,8.55152e-05,0.1625749,0.02012578,0.481688,0.3468164,0.07474172,0.195809,0.5195888,0.001348567,0.01723058,0.1747857,0.0353689,0.9462861,0.7812914,0.2933098,2.368977,1.150519,0.2225136,0.163252,3.776386,8.679542,1978-08-18,Summer
78,0.002301685,8.524603e-05,0.1628927,0.02013339,0.4857799,0.3491758,0.07546235,0.1884708,0.5249047,0.001355033,0.01747857,0.1758593,0.03525849,0.9463603,0.780387,0.2930157,2.398988,1.143599,0.2194154,0.1639354,3.782389,8.694781,1978-08-21,Summer
79,0.002288745,8.501243e-05,0.163231,0.02014621,0.4898813,0.3515113,0.07617484,0.184066,0.5292345,0.00136187,0.01775488,0.1770273,0.03513122,0.9468421,0.7792998,0.2914079,2.447197,1.130745,0.2147829,0.1651023,3.790401,8.713655,1978-08-24,Summer
80,0.002276603,8.481369e-05,0.163591,0.02016773,0.4939911,0.3538324,0.07687391,0.1836747,0.5322871,0.001369114,0.01807667,0.178346,0.03494899,0.9466709,0.7768568,0.2880941,2.491069,1.110789,0.2073112,0.1669739,3.800745,8.735068,1978-08-27,Summer
81,0.002265243,8.464901e-05,0.163972,0.02019344,0.4980601,0.3561422,0.0775554,0.1847314,0.5346252,0.00137678,0.01840698,0.1797068,0.03473089,0.94604,0.7747151,0.2844019,2.509653,1.093626,0.2019862,0.1690341,3.810059,8.753929,1978-08-30,Summer
82,0.002254624,8.451599e-05,0.1643643,0.0202175,0.5010059,0.3583997,0.07808364,0.1862224,0.5348254,0.001384764,0.01873492,0.1810829,0.03402483,0.9283172,0.7575494,0.2797269,2.049438,1.080952,0.1980133,0.171053,3.805784,8.70839,1978-09-02,Fall
83,0.002244647,8.440901e-05,0.1647429,0.02024116,0.5034138,0.360496,0.07853441,0.1885836,0.5334487,0.001392776,0.01903481,0.1824179,0.03336002,0.914887,0.7411743,0.2753335,2.314962,1.070185,0.1946016,0.1728213,3.79788,8.647602,1978-09-05,Fall
84,0.002235285,8.432693e-05,0.1651141,0.02026561,0.5058163,0.3624703,0.07897521,0.1916434,0.5316761,0.00140086,0.01931126,0.1836997,0.03289517,0.9074827,0.7303646,0.2717627,2.236221,1.062025,0.1922611,0.1741996,3.790787,8.601538,1978-09-08,Fall
85,0.002226502,8.42679e-05,0.1654774,0.0202892,0.5082258,0.3643284,0.07940988,0.1948418,0.5297788,0.001408985,0.01955671,0.184908,0.03262209,0.9056349,0.7250151,0.2693273,2.402859,1.05801,0.1914091,0.1750424,3.78457,8.570351,1978-09-11,Fall
86,0.002218288,8.423177e-05,0.1658417,0.02031354,0.5108889,0.3661184,0.07987024,0.1983833,0.5282723,0.001417228,0.01978517,0.1860721,0.03256286,0.9089614,0.7256743,0.2678384,2.459743,1.055427,0.1910131,0.1755325,3.781951,8.564743,1978-09-14,Fall
87,0.002210636,8.421831e-05,0.1662123,0.02033988,0.5136409,0.3678703,0.08033513,0.2026695,0.5268775,0.001425641,0.02001303,0.1872116,0.0325719,0.9126753,0.727636,0.266384,2.50246,1.050719,0.1897097,0.1760354,3.781807,8.571196,1978-09-17,Fall
88,0.002203494,8.422475e-05,0.1665778,0.0203559,0.5145618,0.3695344,0.08056446,0.2044964,0.5232978,0.001434086,0.02020509,0.1882862,0.03179155,0.8868072,0.7051154,0.2639754,1.661899,1.053691,0.1909425,0.1760747,3.76048,8.475583,1978-09-20,Fall
89,0.002196704,8.424201e-05,0.1668947,0.02037096,0.5143179,0.370917,0.08064233,0.2072643,0.5173144,0.001442053,0.02036833,0.1891922,0.03090901,0.8614894,0.6768155,0.2602758,1.967266,1.048963,0.1878473,0.1763428,3.734103,8.340458,1978-09-23,Fall
90,0.002190236,8.426904e-05,0.1671767,0.02039055,0.5149253,0.3720953,0.0808202,0.2121888,0.5121502,0.001449657,0.0205062,0.1899797,0.03068855,0.8603299,0.6688237,0.2575806,2.292479,1.041957,0.1843096,0.1765073,3.721689,8.280956,1978-09-26,Fall
91,0.002184084,8.430582e-05,0.1674358,0.02040805,0.514665,0.3731357,0.08087797,0.2169537,0.5057593,0.001457015,0.02062729,0.1906759,0.03009613,0.8434331,0.6282836,0.2538303,1.744731,1.038701,0.1448135,0.1772767,3.72474,8.179428,1978-09-29,Fall
92,0.002178144,8.434663e-05,0.1676478,0.0204241,0.5141152,0.3739378,0.08089037,0.2227576,0.4985593,0.001463841,0.02071703,0.1912243,0.02963383,0.8338006,0.6199394,0.2477177,2.200798,1.027251,0.1604592,0.1784216,3.69998,8.085356,1978-10-02,Fall
93,0.002172435,8.439304e-05,0.1678378,0.02044321,0.5146461,0.3746308,0.0810318,0.2297385,0.4931955,0.001470388,0.02078361,0.1917182,0.02976185,0.8431579,0.6282896,0.2453417,2.407818,1.022633,0.1685101,0.1786065,3.688413,8.072261,1978-10-05,Fall
94,0.002166992,8.444741e-05,0.1680269,0.02046252,0.5157647,0.3753167,0.08124144,0.2370346,0.4892301,0.001476886,0.02084935,0.19221,0.03009245,0.855904,0.6417027,0.2445201,2.498843,1.02043,0.1730666,0.1783014,3.684062,8.098114,1978-10-08,Fall
