date,group,obs_biomass,model_biomass
2014-09-03,ZF1-ICT,,0.02490257
2014-09-03,ZF1-ICT,0.0275475480111098,0.02490257
2014-09-20,ZF1-ICT,,0.02561601
2014-09-21,ZF1-ICT,,0.02561601
2014-10-28,ZF1-ICT,0.0120600269998986,0.02705483
2014-10-28,ZF1-ICT,,0.02705483
2014-10-29,ZF1-ICT,,0.02705483
2014-10-30,ZF1-ICT,,0.02705483
2015-02-13,ZF1-ICT,0.0056985599940444,0.01966296
2015-02-15,ZF1-ICT,0.0116730935868174,0.01938582
2015-02-15,ZF1-ICT,0.0190753500161795,0.01938582
2015-03-05,ZF1-ICT,0.215276714981064,0.01794069
2015-03-05,ZF1-ICT,0.0013142219968561,0.01794069
2015-03-05,ZF1-ICT,0.208228922417213,0.01794069
2015-03-05,ZF1-ICT,0.0563962561922813,0.01794069
2015-03-05,ZF1-ICT,0.0167908439837648,0.01794069
2015-03-06,ZF1-ICT,0.0343773612242909,0.01794069
2015-03-16,ZF1-ICT,0.101808907549098,0.0174281
2015-03-16,ZF1-ICT,0.56033092174841,0.0174281
2015-03-16,ZF1-ICT,0.511666974347863,0.0174281
2015-03-17,ZF1-ICT,0.465325560162083,0.01728552
2015-03-17,ZF1-ICT,0.441837736347466,0.01728552
2015-03-17,ZF1-ICT,0.294457463924731,0.01728552
2015-03-17,ZF1-ICT,0.147479219959483,0.01728552
2015-03-18,ZF1-ICT,0.0723832200669298,0.01728552
2015-03-18,ZF1-ICT,0.139156793791325,0.01728552
2015-03-18,ZF1-ICT,0.37066365031223,0.01728552
2015-03-21,ZF1-ICT,0.500221751445369,0.01715832
2015-04-04,ZF1-ICT,0.252912827956696,0.0166744
2015-04-04,ZF1-ICT,0.430240923044664,0.0166744
2015-04-04,ZF1-ICT,0.123391976394808,0.0166744
2015-04-04,ZF1-ICT,0.310463004423516,0.0166744
2015-04-05,ZF1-ICT,0.604698611914553,0.0166744
2015-04-05,ZF1-ICT,0.0504608075989839,0.0166744
2015-04-05,ZF1-ICT,0.773735718518606,0.0166744
2015-04-06,ZF1-ICT,0.127775457605708,0.0166744
2015-04-09,ZF1-ICT,0.107954683200868,0.01660833
2015-04-11,ZF1-ICT,0.119826352807966,0.01657164
2015-04-11,ZF1-ICT,0.269103996032771,0.01657164
2015-04-12,ZF1-ICT,0.211748249971553,0.01657164
2015-04-12,ZF1-ICT,0.444514139978742,0.01657164
2015-04-12,ZF1-ICT,0.0336879059961419,0.01657164
2015-04-20,ZF1-ICT,0.071133173994168,0.01665864
2015-04-20,ZF1-ICT,0.0753228,0.01665864
2015-04-20,ZF1-ICT,0.108358395649063,0.01665864
2015-04-20,ZF1-ICT,0.0338740920076157,0.01665864
2015-04-20,ZF1-ICT,0.145836490807485,0.01665864
2015-04-21,ZF1-ICT,0.0658618254171021,0.01665864
2015-04-22,ZF1-ICT,0.0580445207904298,0.01677151
2015-04-22,ZF1-ICT,0.0531951000384284,0.01677151
2015-04-22,ZF1-ICT,0.155175488981458,0.01677151
2015-04-22,ZF1-ICT,0.0917824320128992,0.01677151
2015-04-22,ZF1-ICT,0.123386969985897,0.01677151
