timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
30,0.004470964,0.0001687964,0.2757605,0.02902923,0.3824041,0.3782904,0.06503128,0.4439096,0.4324301,0.002944099,0.0286345,0.2909787,0.03217823,0.967501,0.2842719,0.3888222,1.852057,1.602882,0.421429,0.00168664,6.849471,9.970648,1978-03-30,Spring
31,0.004446322,0.0001673697,0.2743461,0.02886202,0.3741496,0.3733591,0.0645668,0.438857,0.432613,0.002925396,0.02832845,0.2909988,0.03491096,1.018757,0.3019226,0.4114463,2.128363,1.648208,0.4415607,0.001393827,6.896337,10.18561,1978-04-02,Spring
32,0.00442115,0.000165939,0.273045,0.02870632,0.3681953,0.3691959,0.06452557,0.4371059,0.4352796,0.002907917,0.02811546,0.2912721,0.03851653,1.091945,0.3337899,0.4347813,2.618537,1.765572,0.4741548,0.001267193,6.985339,10.49487,1978-04-05,Spring
33,0.004395789,0.0001645239,0.2719171,0.02857039,0.3635685,0.365519,0.06477982,0.4382236,0.4413776,0.002892506,0.02805792,0.2918908,0.0427367,1.179764,0.3783123,0.4564081,2.88822,1.815115,0.4795052,0.001199458,7.109097,10.89024,1978-04-08,Spring
34,0.004370525,0.0001631389,0.2709988,0.02845396,0.3601328,0.362397,0.06526315,0.4413517,0.450354,0.002879758,0.02816572,0.2929036,0.04684381,1.261915,0.4313084,0.4712027,3.033186,1.823313,0.4739157,0.001191541,7.242305,11.32154,1978-04-11,Spring
35,0.004345703,0.0001618016,0.2703113,0.02836002,0.3595982,0.360267,0.06611133,0.4475028,0.4619349,0.002870089,0.02841558,0.2942194,0.05085479,1.340894,0.4968902,0.480045,3.347617,1.852184,0.4720894,0.001369824,7.387059,11.79016,1978-04-14,Spring
36,0.004321691,0.0001605299,0.2698804,0.02829076,0.3604985,0.3587688,0.06719264,0.4559926,0.4764343,0.002863976,0.02883921,0.2959833,0.05451867,1.415705,0.5708238,0.4840409,3.487396,1.841951,0.4624718,0.001688308,7.539301,12.28378,1978-04-17,Spring
37,0.004298684,0.000159331,0.2696776,0.02823065,0.3610172,0.3577029,0.06810282,0.4621444,0.4901301,0.002861248,0.02939736,0.298138,0.05508121,1.409157,0.6181286,0.4322565,2.557697,1.508463,0.3336844,0.002401551,7.61398,12.59243,1978-04-20,Spring
38,0.00427668,0.0001581987,0.2695741,0.02817309,0.362065,0.3571381,0.06886552,0.4665383,0.501048,0.002860473,0.02993744,0.3003019,0.05358251,1.364015,0.6444519,0.4124456,2.608367,1.417089,0.3284254,0.00345921,7.61691,12.7279,1978-04-23,Spring
39,0.004255843,0.0001571391,0.2695436,0.02812841,0.3665867,0.3576497,0.06979516,0.4734542,0.5110836,0.00286128,0.03041876,0.3022771,0.05254718,1.343895,0.6794719,0.397507,2.908504,1.406196,0.3310899,0.006157457,7.636596,12.86073,1978-04-26,Spring
40,0.004236356,0.0001561596,0.2695808,0.02808719,0.3718132,0.3587257,0.07055172,0.4789359,0.5186211,0.002863543,0.03087368,0.3041734,0.05003057,1.284057,0.6943793,0.3708143,2.348293,1.128862,0.2458742,0.01194309,7.607093,12.84474,1978-04-29,Spring
41,0.004218116,0.0001552507,0.2695951,0.02804403,0.3766496,0.3598834,0.0711182,0.4828292,0.5229346,0.00286611,0.0312295,0.3058487,0.04698069,1.218906,0.6955462,0.3455106,2.331289,1.058963,0.2357691,0.02264497,7.555584,12.69835,1978-05-02,Spring
42,0.004201058,0.0001544075,0.2695724,0.02800325,0.3824988,0.3613394,0.07165842,0.4875146,0.5255471,0.002868624,0.0314812,0.3072225,0.04479789,1.178371,0.7006818,0.3308792,2.489686,1.063384,0.242409,0.04144314,7.530269,12.49949,1978-05-05,Spring
43,0.004185195,0.0001536302,0.2695268,0.02796798,0.3894978,0.3630613,0.07223481,0.4936197,0.5275712,0.002871073,0.03163883,0.3083478,0.04354798,1.161405,0.7134135,0.3271716,2.666109,1.086857,0.2494634,0.06768886,7.544019,12.2643,1978-05-08,Spring
44,0.004170611,0.0001529235,0.2695066,0.02795158,0.3989999,0.3649809,0.0731511,0.505097,0.5325796,0.002873901,0.03177607,0.3093729,0.04495917,1.21541,0.7601163,0.3460246,3.622957,1.369071,0.3316978,0.094388,7.662954,12.16337,1978-05-11,Spring
45,0.004157618,0.0001523053,0.2696345,0.02796275,0.411736,0.3677175,0.07442106,0.5222902,0.5419804,0.002878535,0.03196273,0.3104882,0.04784627,1.301825,0.8337636,0.3757869,3.885037,1.45218,0.3389294,0.1192836,7.854726,12.18063,1978-05-14,Spring
46,0.004146521,0.0001517912,0.2699835,0.0280063,0.4271473,0.3709283,0.07607561,0.5447618,0.5565498,0.002885963,0.03231729,0.3119438,0.0521885,1.417558,0.9296978,0.4136299,4.596632,1.673432,0.3927615,0.1354141,8.109618,12.35391,1978-05-17,Spring
