N,MB,MAE,RMSE,NRMSE,r,R2,MAPE,NSE,WSS,Group,Pass,Season,ObsSummary
16,0.42958305197050284,1.4395679178635499,2.103295427928889,2.103295427928889,-0.39001735640033003,0.15211353829350205,346.10886353531214,-1.6409842164879045,0.22992784370454467,ZC3-DEC,ZC,Fall,mean_of_logs
16,0.04452460134331049,1.4927746069645766,1.7803390100827161,1.7803390100827161,-0.36408311838831586,0.13255651709536043,451.6704678412719,-2.3114747645778664,0.16609820023569855,ZC4-CLG,ZC,Fall,mean_of_logs
16,0.09737151175176267,1.6088641907707204,2.075193586851469,2.075193586851469,-0.551623514861384,0.3042885021480275,976.9804978074148,-2.301057323401601,0.13172130542248772,ZC5-CSM,ZC,Fall,mean_of_logs
16,0.10296691360042118,1.705219652257758,2.0371053697185566,2.0371053697185566,-0.49040594309118235,0.24049798901915198,381.1750385343983,-1.7989759062201913,0.11769151653190735,Total,ZC,Fall,mean_of_logs
19,0.16668908364784257,0.6659511822133055,0.7796381857343072,0.7796381857343072,0.45781280909473737,0.20959256817121444,217.66774191703178,-0.3809864741982789,0.6538197904063066,ZS2-CTH,ZS,All,log_of_mean
19,0.34575125486549263,1.2528893331584567,1.5189591957647555,1.5189591957647555,-0.4683946657064672,0.21939356286227316,314.8659693394465,-2.608416538949172,0.14537889439977614,ZS3-CHA,ZS,All,log_of_mean
19,0.1204496163302822,0.5647326182097118,0.7394283622371178,0.7394283622371178,0.44916847320958986,0.20175231732543406,111.58338736638855,0.06105092345323393,0.6325557691865147,ZS4-LAR,ZS,All,log_of_mean
19,0.30638065296764144,1.1058035651884397,1.4454011649461411,1.4454011649461411,-0.5649446473135887,0.3191624545282752,235.7024217357863,-3.3881496255948775,0.09555685603411967,Total,ZS,All,log_of_mean
19,0.06644992446580553,0.608250442003779,0.7411665117744896,0.7411665117744896,0.4752047069514842,0.22581951350884596,563.5959595590626,-0.37326404918000655,0.6711569599755497,ZS2-CTH,ZS,All,mean_of_logs
19,0.2399920721101352,1.1004952325326984,1.353979766238605,1.353979766238605,-0.30253110437488717,0.09152506911428887,315.3777469537083,-2.5419057392734876,0.18947522181754528,ZS3-CHA,ZS,All,mean_of_logs
19,0.0218239097428731,0.5217616829824495,0.6605247110828193,0.6605247110828193,0.5529862780152262,0.305793823673133,122.40751653284796,0.24850117437621944,0.7136652880074486,ZS4-LAR,ZS,All,mean_of_logs
19,0.21533519319647526,1.0053575265371575,1.2958841401861532,1.2958841401861532,-0.409923773815244,0.1680375003389313,591.1468108150091,-3.5587145292021676,0.11636168612991604,Total,ZS,All,mean_of_logs
12,0.030885665906428262,0.6266767333641925,0.9098166278906595,0.9098166278906595,0.4639299012795802,0.21523095330128106,292.421373241479,-0.07956588649038876,0.6782228915259358,ZS2-CTH,ZS,Winter,log_of_mean
12,0.4117531005604043,1.2663187551439519,1.635224626332488,1.635224626332488,0.007027917213349466,4.939162035769373e-05,590.2340557376093,-2.074664794935016,0.3518605932227412,ZS3-CHA,ZS,Winter,log_of_mean
12,-0.2231621398089907,1.0447310726760979,1.141186007013954,1.141186007013954,0.23656730905411058,0.05596409171310307,669.9740265178225,-0.7999771970252201,0.5263812646748949,ZS4-LAR,ZS,Winter,log_of_mean
12,0.3707754652525133,1.16713457452317,1.5784204494030458,1.5784204494030458,-0.03117548543595519,0.0009719108921674543,333.9906680010353,-1.947751716242379,0.3546333209889584,Total,ZS,Winter,log_of_mean
12,-0.0530971162404216,0.6199597640110636,0.8440371219425746,0.8440371219425746,0.5212267809612432,0.27167735719121977,133.2879568046549,-0.010998370777043132,0.7108361513500437,ZS2-CTH,ZS,Winter,mean_of_logs
12,0.37703385250233684,1.2074831364821577,1.5961277147706323,1.5961277147706323,0.06263856392157234,0.003923589690156904,1586.388070862502,-1.808137803302719,0.3733533119467378,ZS3-CHA,ZS,Winter,mean_of_logs
12,-0.27175319476028975,1.1107012929665598,1.1974752562591595,1.1974752562591595,0.16796283286402142,0.028211513223707192,1594.1358218861978,-0.9954103647041428,0.4643627032508073,ZS4-LAR,ZS,Winter,mean_of_logs
12,0.3370561636439451,1.1377646164954718,1.5525614836504662,1.5525614836504662,0.005000463092023162,2.500463113468584e-05,1214.1108364690658,-1.7768192869157406,0.36362206375993056,Total,ZS,Winter,mean_of_logs
17,0.12524966408764357,0.7280567383000227,0.9219450403988988,0.9219450403988988,0.6586106178611799,0.43376794595948515,130.368095075937,0.12758546903272872,0.7894269475280999,ZS2-CTH,ZS,Spring,log_of_mean
17,0.07327123044914409,1.4902459274701911,1.8135106474137115,1.8135106474137115,0.017314587095707663,0.0002997949262948463,291.4800673683979,-0.49583878788631264,0.37556539637170816,ZS3-CHA,ZS,Spring,log_of_mean
17,0.24716311925158135,1.003858771218457,1.316688576881704,1.316688576881704,0.33794559035798893,0.11420722204240967,132.8717583540038,-0.19641791356969796,0.6146980398377535,ZS4-LAR,ZS,Spring,log_of_mean
17,0.018843101096932782,1.1974125211882318,1.5138457694808862,1.5138457694808862,0.2632766712332604,0.06931460561566627,161.9625389593122,-0.2831255797620964,0.5717626433274252,Total,ZS,Spring,log_of_mean
