timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
2058,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-02-22,Winter
2059,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-02-25,Winter
2060,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-02-28,Winter
2061,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-03-03,Spring
2062,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-03-06,Spring
2063,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-03-09,Spring
2064,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-03-12,Spring
2065,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-03-15,Spring
2066,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-03-18,Spring
2067,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-03-21,Spring
2068,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-03-24,Spring
2069,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-03-27,Spring
2070,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-03-30,Spring
2071,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-04-02,Spring
2072,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-04-05,Spring
2073,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-04-08,Spring
2074,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-04-11,Spring
2075,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-04-14,Spring
2076,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-04-17,Spring
2077,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-04-20,Spring
2078,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-04-23,Spring
2079,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-04-26,Spring
