year,biweekly,ewe_row,ewe_col,date_rep,avg_nitrogen_mmol_m2_obs,avg_nitrogen_mmol_L_obs,n_casts,mean_n_depths,mean_max_depth,frac_pad_surface,frac_pad_deep,frac_extrap_surface,frac_extrap_deep,zmin_m,zmax_m,avg_nitrogen_primary_mmol_m2_obs,avg_nitrogen_gN_m2_obs,avg_nitrogen_umol_L_obs,model_time,model_t_idx,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL,PZ2-DIN,PZ3-HNF,PP1-DIA,PP2-NAN,PP3-PIC,BA1-BAC,DE1-POC,N_FLUX_MULT,model_N_bound_gN_m2,model_N_free_gN_m2,model_N_flux_mult,model_N_free_used_gN_m2,avg_obs,avg_model
2015,14,126,29,2015-07-03 00:00:00,141.09099999999998,0.00709,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,141.09099999999998,1.9762193097,7.09,2015-07-04,4501,0.0035525779239833,0.0001692312798695,0.286733537912369,0.0530619584023952,0.0062444754876196,1.31510388851166,0.271762549877167,1.09345102310181,1.21369934082031,0.0037713348865509,0.106248579919338,0.288195490837097,0.0483402013778687,1.37495028972626,0.865562438964844,1.01176750659943,2.40439248085022,2.40769672393799,0.339663952589035,0.0980917811393738,,1.0,2.321872848089553,3.6024964319104473,1.0,3.6024964319104473,1.9762193097,3.6024964319104473
2015,14,113,49,2015-07-15 00:00:00,213.925,0.01075,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,213.925,2.9963832975,10.75,2015-07-16,4505,0.0028880436439067,0.0001365975185763,0.22139647603035,0.0105617251247168,0.924374878406525,1.41403234004974,0.223893150687218,0.741165935993195,0.838887393474579,0.0035675747785717,0.0834625065326691,0.150339663028717,0.0399838276207447,0.96517151594162,0.443594008684158,0.992246508598328,1.42986881732941,2.76699948310852,0.400828301906586,0.0698201805353165,,1.0,2.063286531502847,3.8610827484971537,1.0,3.8610827484971537,2.9963832975,3.8610827484971537
2015,14,69,35,2015-07-15 00:00:00,232.78025,0.0116975,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,232.78025,3.2604831276750006,11.697500000000002,2015-07-16,4505,0.0028194617480039,0.000135097594466,0.218576699495316,0.0043259668163955,0.845025897026062,1.26890182495117,0.205848336219788,0.678784251213074,0.784843683242798,0.0030725207179784,0.0723963752388954,0.115261018276215,0.0419022440910339,0.977853238582611,0.470236539840698,0.892683684825897,0.543928384780884,2.40662693977356,0.373627334833145,0.0656353011727333,,1.0,1.7551573248775671,4.169211955122433,1.0,4.169211955122433,3.2604831276750006,4.169211955122433
2015,14,101,57,2015-07-15 00:00:00,208.552,0.01048,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,208.552,2.9211252984,10.48,2015-07-16,4505,0.0025926833041012,0.0001210065020131,0.200820833444595,0.0139450319111347,0.949005365371704,1.38089430332184,0.227116495370865,0.755939602851868,0.837911307811737,0.0033580595627427,0.0870107710361481,0.153899699449539,0.0431587733328342,1.0101478099823,0.486830592155457,0.978225111961365,1.0977189540863,2.64150261878967,0.375661790370941,0.07722008228302,,1.0,1.9928622371504308,3.93150704284957,1.0,3.93150704284957,2.9211252984,3.93150704284957
2015,14,77,35,2015-07-15 00:00:00,169.69725000000005,0.0085275,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,169.69725000000005,2.376898471575001,8.527500000000002,2015-07-16,4505,0.0028788412455469,0.0001371746038785,0.220413640141487,0.0218831337988377,0.856955528259277,1.31873917579651,0.208837077021599,0.674931704998016,0.752475261688232,0.0031407848000526,0.0793821737170219,0.192669808864594,0.0377097651362419,0.905100226402283,0.428419202566147,0.921458661556244,0.996258318424225,2.23213744163513,0.306344091892242,0.0580593645572662,,0.717135,1.7983559223704504,4.12601335762955,0.717135,2.9589085892236673,2.376898471575001,2.9589085892236673
2015,14,68,19,2015-07-15 00:00:00,203.776,0.01024,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,203.776,2.8542292992,10.24,2015-07-16,4505,0.0027791182510554,0.000133069770527,0.216003254055977,0.0305811557918787,0.379826724529266,1.1557240486145,0.197721228003502,0.583837151527405,0.716081023216248,0.0029229156207293,0.069489523768425,0.140974551439285,0.0406726635992527,0.933330953121185,0.416382282972336,0.975059866905212,2.19846343994141,2.75018715858459,0.390482306480408,0.0548798739910126,,1.0,1.9809736865924197,3.9433955934075806,1.0,3.9433955934075806,2.8542292992,3.9433955934075806
2015,14,60,37,2015-07-15 00:00:00,236.16325,0.0118675,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,236.16325,3.307867793775,11.8675,2015-07-16,4505,0.0027208006940782,0.0001324777549598,0.218377664685249,0.003741601249203,0.871989011764526,1.28080904483795,0.213444069027901,0.721093535423279,0.861929714679718,0.0030458902474492,0.074186198413372,0.131908670067787,0.0491293370723724,1.10059404373169,0.544478535652161,0.92602276802063,0.545492768287659,2.48064661026001,0.388035267591476,0.0740780904889107,,1.0,1.8465666735912671,4.077802606408733,1.0,4.077802606408733,3.307867793775,4.077802606408733
2015,14,58,43,2015-07-15 00:00:00,244.173,0.01227,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,244.173,3.4200579591,12.27,2015-07-16,4505,0.0026438715867698,0.0001299336145166,0.217259109020233,0.0391508042812347,0.0042455177754163,1.24624609947205,0.212829679250717,0.729790508747101,0.908051371574402,0.0030016575474292,0.0709249898791313,0.0745074301958084,0.0480874367058277,1.06132245063782,0.579875528812408,0.897825002670288,0.400649517774582,2.32970881462097,0.351031899452209,0.0797057002782822,,1.0,1.6292297690059065,4.295139510994094,1.0,4.295139510994094,3.4200579591,4.295139510994094
2015,14,55,11,2015-07-15 00:00:00,163.27949999999998,0.008205,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,163.27949999999998,2.28700697265,8.205,2015-07-16,4505,0.0026132822968065,0.0001275904505746,0.215372338891029,0.03639991953969,0.0609580911695957,1.14270305633545,0.199759021401405,0.645888864994049,0.823081076145172,0.0028159040957689,0.0693258419632912,0.123360842466354,0.0433086268603802,1.01476383209229,0.496538639068604,0.962812006473541,2.29848194122314,2.67547249794006,0.378982752561569,0.0611585378646851,,1.0,1.9806907408346877,3.9436785391653126,1.0,3.9436785391653126,2.28700697265,3.9436785391653126
2015,14,52,34,2015-07-15 00:00:00,231.3375,0.011625,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,231.3375,3.24027496125,11.625,2015-07-16,4505,0.0026504532434046,0.0001300401054322,0.215933114290237,0.0123844034969807,0.850743532180786,1.2848869562149,0.210333451628685,0.692057073116302,0.848546981811523,0.0029727777000516,0.0719816610217094,0.132736280560493,0.0494390428066254,1.09682834148407,0.526456952095032,0.937192916870117,0.549967229366302,2.538893699646,0.384446650743484,0.0709681883454323,,1.0,1.8444007554240518,4.079968524575949,1.0,4.079968524575949,3.24027496125,4.079968524575949
