timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season,year,month,day_of_year,biweekly,multiplier,model_N_bound_gN_m2,model_N_free_gN_m2,model_N_total_init_used_gN_m2,model_N_bound_init_used_gN_m2,model_N_free_init_used_gN_m2,model_N_free_used_gN_m2
24,0.005313264,0.0002089822,0.3707705,0.06513464,0.6680402,0.7106404,0.1762232,0.941995,1.415005,0.004738808,0.0900653,0.4426048,0.04608284,1.149462,0.37717,0.3062774,1.464308,1.526146,0.5227197,0.003887292,8.28533,12.32006,1978-03-12,Spring,1978,3,71,6,1.1,2.6728798254112,3.1531954545888006,5.82607528,3.3581669354784,2.4679083445216006,3.468515000047681
25,0.005344233,0.0002093538,0.3724121,0.06533968,0.6550137,0.6987896,0.1714864,0.9193196,1.381065,0.004813146,0.08894562,0.4407155,0.04840038,1.190191,0.3660693,0.3456337,1.595128,1.618825,0.5221605,0.002838877,8.249457,12.29706,1978-03-15,Spring,1978,3,74,6,1.1,2.7075095214048,3.1185657585952002,5.82607528,3.3581669354784,2.4679083445216006,3.4304223344547204
26,0.005373444,0.000209595,0.3738569,0.06550621,0.6422963,0.6870243,0.1668058,0.8968583,1.349039,0.004882488,0.087835,0.4388045,0.04991262,1.20037,0.3540339,0.3221191,1.341717,1.418706,0.4252823,0.002313127,8.211473,12.2481,1978-03-18,Spring,1978,3,77,6,1.1,2.5879654755840003,3.238109804416,5.82607528,3.3581669354784,2.4679083445216006,3.5619207848576004
27,0.00540085,0.0002097082,0.3750813,0.06563397,0.6301605,0.6756555,0.1624957,0.8756406,1.318688,0.004948925,0.08663341,0.4368674,0.05145727,1.212776,0.34492,0.3550687,1.631451,1.601795,0.4937947,0.00166419,8.166326,12.20913,1978-03-21,Spring,1978,3,80,6,1.1,2.6727794192832,3.1532958607168005,5.82607528,3.3581669354784,2.4679083445216006,3.4686254467884807
28,0.005426529,0.0002097059,0.3761537,0.065748,0.6189793,0.664714,0.1589774,0.8585867,1.294991,0.005013144,0.0854557,0.4350233,0.05511884,1.273686,0.3475886,0.4045073,2.095466,1.744304,0.5783395,0.001164251,8.172614,12.2949,1978-03-24,Spring,1978,3,83,6,1.1,2.8088667227024002,3.0172085572976,5.82607528,3.3581669354784,2.4679083445216006,3.3189294130273606
29,0.005450608,0.0002096026,0.3771631,0.06585376,0.6083195,0.6540162,0.1558232,0.8437145,1.277089,0.005073959,0.08444852,0.4333365,0.05944145,1.337093,0.3551116,0.4335354,1.998157,1.724737,0.5252108,0.0008139852,8.195172,12.42598,1978-03-27,Spring,1978,3,86,7,1.1,2.7960679685248,3.0300073114752,5.82607528,3.3581669354784,2.4679083445216006,3.3330080426227204
30,0.005473189,0.0002094079,0.3781367,0.06594878,0.5984172,0.64387,0.1531611,0.8306503,1.263672,0.005132494,0.08356395,0.4318497,0.06400721,1.396954,0.3664193,0.4710108,2.235968,1.793216,0.563252,0.0005508136,8.219818,12.57951,1978-03-30,Spring,1978,3,89,7,1.1,2.878423178232,2.9476521017680004,5.82607528,3.3581669354784,2.4679083445216006,3.2424173119448008
31,0.005494503,0.0002091406,0.3791308,0.06604506,0.5899317,0.6346942,0.1514211,0.8214967,1.256632,0.005189129,0.08280723,0.4306966,0.06946433,1.474198,0.3873286,0.5064671,2.594614,1.844637,0.5898226,0.0003813615,8.275171,12.80937,1978-04-02,Fall,1978,4,92,7,1.1,2.9894122631216,2.8366630168784006,5.82607528,3.3581669354784,2.4679083445216006,3.120329318566241
32,0.005514991,0.0002088328,0.3802322,0.0661568,0.5843512,0.6271845,0.1512687,0.8190099,1.258516,0.005245297,0.0821969,0.4300624,0.07652046,1.583367,0.4262482,0.5418878,3.23202,1.986646,0.6351276,0.0002846148,8.380857,13.16269,1978-04-05,Fall,1978,4,95,7,1.2,3.1903889936256,2.6356862863744004,5.82607528,3.3581669354784,2.4679083445216006,3.16282354364928
33,0.005535182,0.0002085198,0.3815609,0.06630741,0.5805139,0.6205667,0.1521401,0.8223261,1.270873,0.005303076,0.08196931,0.4299848,0.0849373,1.716296,0.4824553,0.5738553,3.58715,2.04339,0.6413723,0.0002173707,8.528165,13.62766,1978-04-08,Fall,1978,4,98,7,1.2,3.3382016120560003,2.487873667944,5.82607528,3.3581669354784,2.4679083445216006,2.9854484015328002
