rank,run_tag,scenario,C09_Bias,sat_Bias,C09_MAE,sat_MAE,C09_MSE,sat_MSE,C09_Model StdDev,sat_Model StdDev,C09_Obs StdDev,sat_Obs StdDev,C09_R,sat_R,C09_RMSE,sat_RMSE,C09_Willmott Skill,sat_Willmott Skill,C09_Categorical Agreement_Count,C09_Timing Window Overlap_Count,sat_Categorical Agreement_Count,sat_Timing Window Overlap_Count,C09_Categorical Agreement_Proportion,C09_Timing Window Overlap_Proportion,sat_Categorical Agreement_Proportion,sat_Timing Window Overlap_Proportion,C09_Categorical Agreement_Total,C09_Timing Window Overlap_Total,sat_Categorical Agreement_Total,sat_Timing Window Overlap_Total,region,vars,avg_method,log_transform,mean_or_median,exclude_dec_jan,status,score
71,bt_SGC3_PP123_ann_log_mean_exdj1,SC203,-2.58974358974359,-18.357142857142858,11.307692307692308,19.357142857142858,233.8717948717949,614.6428571428571,13.61647105617563,11.3793583263015,11.695905879096149,18.926954108802995,0.2983777695827891,0.4876602924442563,15.292867450932636,24.79199179458676,0.5461040659604741,0.583023056878248,17,14,7,3,0.4358974358974359,0.358974358974359,0.5,0.2142857142857142,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,mean,1,ok,20.0424296227597
72,bt_SGC3_PP123_all_lin_mean_exdj1,SC203,-2.58974358974359,-14.714285714285714,11.307692307692308,18.0,233.8717948717949,626.0,13.61647105617563,17.47841234091883,11.695905879096149,18.926954108802995,0.2983777695827891,0.384257285338657,15.292867450932636,25.019992006393608,0.5461040659604741,0.5947688611543873,17,14,8,4,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,all,0,mean,1,ok,20.15642972866312
73,bt_SGC3_PP1_ann_log_mean_exdj1,SC203,-2.58974358974359,-16.857142857142858,11.307692307692308,20.428571428571427,233.8717948717949,639.7142857142857,13.61647105617563,10.171237959690702,11.695905879096149,18.926954108802995,0.2983777695827891,0.2756541155922121,15.292867450932636,25.292573726576062,0.5461040659604741,0.5054426284193219,17,14,7,3,0.4358974358974359,0.358974358974359,0.5,0.2142857142857142,39,39,14,14,SGC3,PP1-DIA,annual,1,mean,1,ok,20.29272058875435
74,bt_SGC4_PP123_all_lin_mean_exdj1,SC203,-2.58974358974359,-16.857142857142858,11.307692307692308,19.0,233.8717948717949,660.7142857142857,13.61647105617563,17.873278424302946,11.695905879096149,18.926954108802995,0.2983777695827891,0.4450849454076523,15.292867450932636,25.704363164923688,0.5461040659604741,0.6107102980331529,17,14,8,4,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2857142857142857,39,39,14,14,SGC4,PP1-DIA;PP2-NAN;PP3-PIC,all,0,mean,1,ok,20.498615307928162
75,bt_SGC4_PP123_ann_lin_mean_exdj1,SC203,-2.58974358974359,-17.5,11.307692307692308,19.785714285714285,233.8717948717949,665.2142857142857,13.61647105617563,14.09081333380594,11.695905879096149,18.926954108802995,0.2983777695827891,0.3708645705292704,15.292867450932636,25.791748403593846,0.5461040659604741,0.5660644869268865,17,14,7,3,0.4358974358974359,0.358974358974359,0.5,0.2142857142857142,39,39,14,14,SGC4,PP1-DIA;PP2-NAN;PP3-PIC,annual,0,mean,1,ok,20.54230792726324
76,bt_SGC2_PP123_ann_log_mean_exdj0,SC203,-2.58974358974359,-18.785714285714285,11.307692307692308,19.785714285714285,233.8717948717949,669.9285714285714,13.61647105617563,12.74954981198016,11.695905879096149,18.926954108802995,0.2983777695827891,0.4221851151698344,15.292867450932636,25.882978411082668,0.5461040659604741,0.5721047981102896,17,14,7,3,0.4358974358974359,0.358974358974359,0.5,0.2142857142857142,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,mean,0,ok,20.587922931007654
77,bt_SGC4_PP1_ann_log_mean_exdj1,SC203,-2.58974358974359,-19.0,11.307692307692308,20.428571428571427,233.8717948717949,707.0,13.61647105617563,12.686365813384873,11.695905879096149,18.926954108802995,0.2983777695827891,0.3606063771932924,15.292867450932636,26.589471600616665,0.5461040659604741,0.5447431188440839,17,14,7,4,0.4358974358974359,0.358974358974359,0.5,0.2857142857142857,39,39,14,14,SGC4,PP1-DIA,annual,1,mean,1,ok,20.94116952577465
78,bt_SGC2_PP1_all_log_mean_exdj1,SC203,-2.58974358974359,-18.142857142857142,11.307692307692308,19.0,233.8717948717949,715.1428571428571,13.61647105617563,16.264553922125078,11.695905879096149,18.926954108802995,0.2983777695827891,0.3845940983356736,15.292867450932636,26.742155057939087,0.5461040659604741,0.5653451275999305,17,14,8,5,0.4358974358974359,0.358974358974359,0.5714285714285714,0.3571428571428571,39,39,14,14,SGC2,PP1-DIA,all,1,mean,1,ok,21.01751125443586
79,bt_SGC4_PP123_all_log_mean_exdj1,SC203,-2.58974358974359,-18.357142857142858,11.307692307692308,20.071428571428573,233.8717948717949,716.2142857142857,13.61647105617563,17.62882611531697,11.695905879096149,18.926954108802995,0.2983777695827891,0.4342377346329675,15.292867450932636,26.762180137542718,0.5461040659604741,0.5919566147189382,17,14,8,2,0.4358974358974359,0.358974358974359,0.5714285714285714,0.1428571428571428,39,39,14,14,SGC4,PP1-DIA;PP2-NAN;PP3-PIC,all,1,mean,1,ok,21.027523794237677
80,bt_SGC4_PP123_ann_log_mean_exdj1,SC203,-2.58974358974359,-20.285714285714285,11.307692307692308,21.714285714285715,233.8717948717949,728.0,13.61647105617563,11.405557184718226,11.695905879096149,18.926954108802995,0.2983777695827891,0.3979815967850641,15.292867450932636,26.981475126464083,0.5461040659604741,0.5427118929629671,17,14,7,3,0.4358974358974359,0.358974358974359,0.5,0.2142857142857142,39,39,14,14,SGC4,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,mean,1,ok,21.13717128869836
