"year","month","mean"
"1995","7",-0.0198828627999677
"1995","8",-0.0169350217828957
"1995","9",-0.00798105389354166
"1995","10",-0.00265688039539372
"1995","11",0.00077077576904488
"1995","12",-0.0164033611894025
"1996","1",-0.0167174079763247
"1996","2",-0.0278738591761959
"1996","3",-0.0241236391729747
"1996","4",-0.0183306091157997
"1996","5",-0.0335180768038332
"1996","6",-0.0165246275366404
"1996","7",0.0378939968392656
"1996","8",0.0807899956917379
"1996","9",0.106215462453696
"1996","10",0.130846890743276
"1996","11",0.159542856377839
"1996","12",0.167384120772266
"1997","1",0.162000723365276
"1997","2",0.15183218141005
"1997","3",0.152318513025447
"1997","4",0.145761580286681
"1997","5",0.140588831313416
"1997","6",0.122885084413754
"1997","7",0.104677678913674
"1997","8",0.0867493846432598
"1997","9",0.0279515362981156
"1997","10",-0.0755039660774681
"1997","11",-0.135530579924303
"1997","12",-0.153397162767757
"1998","1",-0.154685786781285
"1998","2",-0.1512671212957
"1998","3",-0.165376200052343
"1998","4",-0.166239940006442
"1998","5",-0.168936715473506
"1998","6",-0.164677784244645
"1998","7",-0.161186642957803
"1998","8",-0.149333461467225
"1998","9",-0.125644698763891
"1998","10",-0.0904436825374456
"1998","11",-0.0964136734981479
"1998","12",-0.100126612034949
"1999","1",-0.0932298003100338
"1999","2",-0.11481966864632
"1999","3",-0.141920183141408
"1999","4",-0.137395657593815
"1999","5",-0.113898310738444
"1999","6",-0.0683779561724916
"1999","7",-0.0364942545699791
"1999","8",-0.0166880482766951
"1999","9",0.00705125163069742
"1999","10",0.0412504905177967
"1999","11",0.042397966298921
"1999","12",0.0349369995772266
"2000","1",0.0536312092728298
"2000","2",0.0506592941496215
"2000","3",0.0478382108833951
"2000","4",0.0597166879529715
"2000","5",0.0741418921927847
"2000","6",0.0524893967023675
"2000","7",0.0389825966137864
"2000","8",0.0465638846432598
"2000","9",0.0523217307738766
"2000","10",0.0630872723667257
"2000","11",0.0759287492752456
"2000","12",0.0843834606820744
"2001","1",0.0971066669954904
"2001","2",0.102299835863263
"2001","3",0.117120937489934
"2001","4",0.13388590666774
"2001","5",0.138317938416009
"2001","6",0.127375149802706
"2001","7",0.110972517696086
"2001","8",0.071868268521501
"2001","9",0.0419788976284426
"2001","10",0.0451738580488001
"2001","11",0.0398476788130133
"2001","12",0.0239679020574972
"2002","1",0.0306867290022548
"2002","2",0.0326738939241424
"2002","3",0.035020723284748
"2002","4",0.0415891372201642
"2002","5",0.042939486330327
"2002","6",0.045077986330327
"2002","7",0.0388208936825576
"2002","8",0.0381649658157513
"2002","9",0.0273086879328394
"2002","10",0.0482668529755194
"2002","11",0.070594041270736
"2002","12",0.070951299464487
"2003","1",0.0767716151352875
"2003","2",0.0779361509703656
"2003","3",0.0731909386173297
"2003","4",0.0605946406023514
"2003","5",0.0400988831736189
"2003","6",0.0303647862175874
"2003","7",0.00644783787646959
"2003","8",-0.0176127585359961
"2003","9",-0.0393938881663714
"2003","10",-0.0771141723908842
"2003","11",-0.0854120968352392
"2003","12",-0.0861200421364149
"2004","1",-0.0779535331172491
"2004","2",-0.0732590068650347
"2004","3",-0.0595417457118699
"2004","4",-0.0442536243356419
"2004","5",-0.036935756059752
"2004","6",-0.044654430806088
"2004","7",-0.0598922027097762
"2004","8",-0.07651901276373
"2004","9",-0.0825719236793365
"2004","10",-0.0564545077911097
"2004","11",-0.0352496047270092
"2004","12",-0.0179097704340474
"2005","1",-0.0097066509301015
"2005","2",0.00111261151151549
"2005","3",0.0181320226083105
"2005","4",0.00786913947495565
"2005","5",-0.0194288107384442
"2005","6",-0.0423255762401353
"2005","7",-0.0727605713681753
"2005","8",-0.0875847715010469
"2005","9",-0.0689216773433725
"2005","10",-0.0438849705870511
"2005","11",-0.0250079187067161
"2005","12",-0.0234476464205186
"2006","1",-0.0186571075253664
"2006","2",-0.031090307315993
"2006","3",-0.0458145534909003
"2006","4",-0.0545716547753262
"2006","5",-0.0554251771420519
"2006","6",-0.0462217955186021
"2006","7",-0.0350990161257852
"2006","8",-0.0174708036318248
"2006","9",0.0116583316757932
"2006","10",0.0625216647004349
"2006","11",0.0855632774601385
"2006","12",0.0826786303551296
"2007","1",0.0900081619222096
"2007","2",0.104273844318731
"2007","3",0.0973876894628765
"2007","4",0.0991277482686422
"2007","5",0.0986535460822999
"2007","6",0.092626474492672
"2007","7",0.069047991202287
"2007","8",0.0282772465372846
"2007","9",0.0163416963883073
"2007","10",-0.0154858369906586
"2007","11",-0.0220287400144951
"2007","12",-0.0191475759582864
"2008","1",-0.0204740342446449
"2008","2",-0.0152282086688678
"2008","3",0.0209837108833951
"2008","4",0.0378406084715735
"2008","5",0.0584572608511838
"2008","6",0.0650671700958287
"2008","7",0.0463333750805283
"2008","8",0.0208509737075214
"2008","9",0.0111727200636173
"2008","10",0.0078036742832985
"2008","11",0.0140013332662264
"2008","12",0.0424483124295377
"2009","1",0.0655204341882751
"2009","2",0.0811000399218875
"2009","3",0.0890168985947818
"2009","4",0.103303960782735
"2009","5",0.11862768813416
"2009","6",0.1075429671646
"2009","7",0.0961856112699307
"2009","8",0.0648101050491222
"2009","9",0.036699308564181
"2009","10",0.0376187887139636
"2009","11",0.0334777470204542
"2009","12",0.0345363958568207
"2010","1",0.0446910598928974
"2010","2",0.0425128505194073
"2010","3",0.0395772830367209
"2010","4",0.0243822403768722
"2010","5",0.00100249365839912
"2010","6",-0.01372332764938
"2010","7",-0.0206165104888066
"2010","8",0.000311167055886663
"2010","9",0.00839703066113704
"2010","10",-0.00592515547994846
"2010","11",-0.0234236143098728
"2010","12",-0.031904950253664
"2011","1",-0.0398974085400226
"2011","2",-0.0297721060758577
"2011","3",-0.0486733257569657
"2011","4",-0.0687984050571751
"2011","5",-0.0617112453494927
"2011","6",-0.0488720198703495
"2011","7",-0.0444803120671605
"2011","8",-0.0352194158076985
"2011","9",-0.0270091170277017
"2011","10",-0.0382512090312449
"2011","11",-0.0454520297551941
"2011","12",-0.0284747371758737
"2012","1",-0.0156050066234498
"2012","2",-0.0177925474512804
"2012","3",-0.0173364486430987
"2012","4",-0.0314017415847963
"2012","5",-0.0337773654171364
"2012","6",-0.0397085593291995
"2012","7",-0.044070020635368
"2012","8",-0.0290088718392656
"2012","9",0.00719470540747303
"2012","10",0.0404673772145273
"2012","11",0.032791239692382
"2012","12",0.0162971985625705
"2013","1",0.0270904223506201
"2013","2",0.0462563257167016
"2013","3",0.0665018162948945
"2013","4",0.0872072189563537
"2013","5",0.0933166300732807
"2013","6",0.0985769558906426
"2013","7",0.0965662939080367
"2013","8",0.0935889962554356
"2013","9",0.0826728192744404
"2013","10",0.0582418738323401
"2013","11",0.0875281607746819
"2013","12",0.125891350760992
"2014","1",0.148294039599775
"2014","2",0.162956671827186
"2014","3",0.159886209192302
"2014","4",0.16421910678048
"2014","5",0.152063812711387
"2014","6",0.146803661076663
"2014","7",0.137498186805444
"2014","8",0.126731974271219
"2014","9",0.10593275895877
"2014","10",0.0416627024681914
"2014","11",0.000111708125301969
"2014","12",-0.0294480962514093
"2015","1",-0.023224454199549
"2015","2",-0.0259015948019005
"2015","3",-0.024722479082783
"2015","4",-0.0175113081011435
"2015","5",0.0194591830608793
"2015","6",0.0735838245490417
"2015","7",0.122334218936222
"2015","8",0.130575835037848
"2015","9",0.116975568992591
"2015","10",0.0932110057376389
"2015","11",0.0784948885086165
"2015","12",0.0722212622604284
"2016","1",0.0687259172773394
"2016","2",0.0561032586366564
"2016","3",0.0350454166331133
"2016","4",0.0164974861491383
"2016","5",0.0249223346956031
"2016","6",0.0441585246617813
"2016","7",0.0621100695562892
"2016","8",0.0875568513850862
"2016","9",0.10468088522709
"2016","10",0.053787691757932
"2016","11",-0.00892662276534067
"2016","12",-0.0277380539740699
"2017","1",-0.0252752264656144
"2017","2",-0.0361776782291835
"2017","3",-0.0477828347761314
"2017","4",-0.0635887128362056
"2017","5",-0.0781269759019166
"2017","6",-0.0738652385851184
"2017","7",-0.0403963571629892
"2017","8",0.0207280469882429
"2017","9",0.0495418733894347
"2017","10",0.0687150463238847
"2017","11",0.0641924956112095
"2017","12",0.0566396822153325
"2018","1",0.0629504060033822
"2018","2",0.0565903736310194
"2018","3",0.0662849916049284
"2018","4",0.0665394602190369
"2018","5",0.0772328408962796
"2018","6",0.0994137168827508
"2018","7",0.111619206534869
"2018","8",0.124336201441456
"2018","9",0.126203416230472
"2018","10",0.127931720506523
"2018","11",0.135103418384603
"2018","12",0.130356395856821
