Title,YEAR_,CHIN_H_MT_,COHO_H_MT_,CHUM_H_MT_,SOCKEYE_H_MT_,PINK_H_MT_
Weight,1,1,1,1,1,1
Type,-1,-1,-1,-1,-1,-1
Timestep,Interval,Interval,Interval,Interval,Interval,Interval
53,2003.0,0.0011683333333333333,0.0019391666666666665,0.0005625,0.00020833333333333335,1.7500000000000002e-05
54,2004.0,0.0010723076923076923,0.0014053846153846154,0.00036769230769230764,0.0001430769230769231,4.230769230769231e-05
55,2005.0,0.0009869230769230769,0.0015453846153846154,0.0004376923076923077,0.00014615384615384615,1.153846153846154e-05
56,2006.0,0.00091,0.0011292307692307693,0.0003176923076923077,0.00015307692307692307,5.846153846153847e-05
57,2007.0,0.0009153846153846153,0.0009884615384615385,0.0004107692307692308,0.0001076923076923077,1.3846153846153847e-05
58,2008.0,0.0007976923076923077,0.001063076923076923,0.00026076923076923076,7.538461538461539e-05,0.00011307692307692308
59,2009.0,0.0007584615384615384,0.0011576923076923077,0.0001830769230769231,4.538461538461539e-05,2.4615384615384616e-05
60,2010.0,0.0008333333333333334,0.0015575,0.00017666666666666666,8e-05,4.916666666666667e-05
61,2011.0,0.0006776923076923078,0.0014646153846153845,0.00014076923076923074,0.00012384615384615385,2.3076923076923076e-05
62,2012.0,0.0007538461538461538,0.00116,0.0002646153846153846,8.923076923076924e-05,3.538461538461539e-05
63,2013.0,0.0006107692307692307,0.001003846153846154,0.00032153846153846154,5.0769230769230766e-05,1.9999999999999998e-05
64,2014.0,0.0004861538461538462,0.0010092307692307692,0.0002815384615384615,7.692307692307693e-05,3.538461538461539e-05
65,2015.0,0.0006374999999999999,0.0008700000000000001,0.00018999999999999998,8.25e-05,1.1666666666666668e-05
66,2016.0,0.00033249999999999995,0.00023083333333333332,0.00011250000000000001,2.0833333333333333e-05,8.333333333333334e-06
67,2017.0,0.0,0.0,0.0,0.0,0.0
68,2018.0,0.0,0.0,0.0,0.0,0.0
69,2019.0,0.0,0.0,0.0,0.0,0.0
