group,Orca_WCT,Orca_Resident,Odontoceti,Sea_Lions,Harbour_Seals,Avian_Piscivores,Hake1_0_11,Hake2_juve_12_35,Hake3_mat_36_59,Hake4_old_60up,Pink_Juve,Pink_Adult,Chum_Juve,Chum_Adult,Sockeye_Juve,Sockeye_Adult,Chinook1_H_frsh,Chinook2_H_2_emar1,Chinook3_H_3_emar2,Chinook4_H_4_emar3,Chinook5_H_5_mat,Chinook6_H_6_spwn,Chinook1_WO_frsh,Chinook2_WO_emar1,Chinook3_WO_emar2,Chinook4_WO_emar3,Chinook5_WO_mat,Chinook6_WO_spwn,Chinook7_WO_mori,Chinook1_WS_frsh,Chinook2_WS_emar,Chinook3_WS_mar,Chinook4_WS_spwn,Chinook5_WS_mori,Coho1_H_frsh,Coho2_H_emar,Coho3_H_mar,Coho4_H_spwn,Coho1_W_frsh,Coho2_W_emar,Coho3_W_mar,Coho4_W_spwn,Coho5_W_mori,Herring1_age0,Herring2_juve,Herring3_mat,Offshore_prey,Small_Forage_Fish,ZF1_ICT,ZC1_EUP,ZC2_AMP,ZC3_DEC,ZC4_CLG,ZC5_CSM,ZS1_JEL,ZS2_CTH,ZS3_CHA,ZS4_LAR,PZ1_CIL,PZ2_DIN,PZ3_HNF,Insects,Freshwater_prey,PP1_DIA,PP2_NAN,PP3_PIC,BA1_BAC,DET_Close,DET_Real
Herring1_age0,0,0,0,0,0.0464,0.109368,0,0.01054766,0.2432,0.3644645,0.0010472,0.0149544,0.001217333,0,0.0019536,0,0,0.000111242,0.000274768,4.35E-05,0.000381934,0.000239923,0,0.0004096,0.007602001,0.000640871,0.007556316,0.002629754,0,0,0.0027776,0.00045582,0.000135252,0,0,2.39E-06,2.65E-06,4.39E-06,0,0.00153,0.001223594,0.000471666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.547075
Herring2_juve,0,0,0,0.0264,0.0464,0.2964096,0,0,0,0.8504171,0,0.16884,0,0.098,0,0.126,0,0,0,0,0.004340155,0.002726393,0,0,0,0,0.08586723,0.02988357,0,0,0.029512,0.005179768,0.001536959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.545198
Herring3_mat,0,0,0.48,0.132,0.696,0.4464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007117853,0.004471284,0,0,0,0,0.1408223,0.04900905,0,0,0,0.00849482,0.002520612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.577164
Offshore_prey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01290286,0.1388849,0.08724456,0,0,0,0.1898876,2.747751,0.9562742,0,0,0,0.1657526,0.04918268,0,0,0.000382401,0.000353483,0.00058545,0,0.2448,0.1631458,0.06288875,0,0,16.06254,22.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.06541
Small_Forage_Fish,0,0,0.16,0.04224,0.15312,1.279382,0,1.350101,0.55328,0.3097948,0.0115192,0.28944,0.011869,0.1764,0.0346764,0.2268,0,0,0.00570143,0.000870943,0.007985884,0.005016563,0,0.003072,0.06081601,0.01281742,0.1579957,0.05498576,0,0,0.053816,0.009530774,0.002828004,0,0,3.20E-05,3.71E-05,6.15E-05,0,0.020502,0.01713031,0.006603318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.98657
ZF1_ICT,0,0,0,0,0,0.08526239,0,0.117079,0.023712,0,0.0017952,0,0.002130333,0,0.0029304,0,0,3.71E-05,0.000370936,5.16E-05,0,0,0,0.0006144,0.004105081,0.000759551,0,0,0,0,0.0039928,0,0,0,0,2.87E-06,0,0,0,0.001836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536,2.613333,0.9444444,0,0,0,0,0,0,0,0,0,0,0,3.67821
ZC1_EUP,0,0,0,0,0,0.383904,0.6606565,5.266869,4.31376,7.262562,0.0167552,0.53064,0.009282167,0.147,0.0273504,0.252,0,0.000111242,0.001112809,0.000459664,0.006597034,0.004144117,0,0.0024576,0.01231524,0.006764747,0.1305182,0.04542302,0,0,0.03472,0.007873247,0.002336177,0,0,2.49E-05,2.92E-05,4.83E-05,0,0.015912,0.01345953,0.005188322,0,0.2079109,2.371651,2.64,0,6.65,1.603333,0,12.48,0,0,0,2.68,10.45333,1.888889,0,0,0,0,0,0,0,0,0,0,0,64.80389
ZC2_AMP,0,0,0,0,0,0.0316944,0.2711964,0.4321376,0.176928,0.1980257,0.0275264,0.43416,0.0114125,0.1176,0.043956,0.252,0,0.000927015,0.001827205,0.0002258,0.00253465,0.001592213,0,0.0024576,0.02022132,0.003323034,0.05014646,0.017452,0,0,0.0145824,0.003024985,0.000897584,0,0,1.00E-05,1.19E-05,1.98E-05,0,0.006426,0.005506171,0.002122495,0,0.5197773,1.078023,0.9240001,0,13.3,0.3206666,0,6.24,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,36.54759
ZC3_DEC,0,0,0,0,0,0.0169632,0.1467766,0.2340526,0.071744,0.05345479,0.0187,0.07235999,0.006086667,0.0294,0.0300366,0.0378,0,0.000111242,0.000989164,0.00010161,0.001388849,0.000872446,0,0.00131072,0.01094688,0.001495365,0.02747752,0.009562742,0,0,0.0074648,0.001657526,0.000491827,0,0,5.74E-06,6.63E-06,1.10E-05,0,0.003672,0.003058984,0.001179164,0,0.3118664,0.2156046,0,0,2.66,0.3206666,0,0,0,0,0,1.34,5.226667,0.9444444,0,0,0,0,0,0,0,0,0,0,0,25.81157
ZC4_CLG,0,0,0,0,0,0.0526752,0.4516701,0.527383,0.147744,0.1652239,0.0167552,0.2412,0.01902083,0.098,0.0278388,0.0882,0,0,0.001208978,0.000314507,0.004270712,0.00268277,0,0.0028672,0.01322748,0.004628512,0.08449335,0.02940543,0,0,0.024304,0.005096892,0.001512367,0,0,1.72E-05,0,0,0,0.011016,0,0,0,1.299443,0.6468138,0.264,0,17.29,4.81,0,15.6,0,0,0,2.68,13.06667,9.444445,0,0,0,0,0,0,0,0,0,0,0,69.42074
